event_id,ubid,source_system,source_record_id,event_type,event_date,event_outcome,event_note
EVT-0000687,KA-BLRU-560064-000136,LABOUR,LAB-KA-BLRU-2020-000066,COMPLAINT,2026-04-29,OPEN,citizen/department complaint signal - OPEN
EVT-0000933,KA-BLRU-560037-000189,UDYAM,UDYAM-KR-BLRU-2024-000091,RENEWAL,2026-04-29,EXPIRED,licence/registration renewal event captured - EXPIRED
EVT-0001004,KA-MYS-570016-000205,UDYAM,UDYAM-KR-MYS-2020-000099,INSPECTION,2026-04-29,APPROVED,department inspection or site verification event - APPROVED
EVT-0001083,KA-BLRU-560085-000221,SHOP,KAR-SHOP-BLRU-2021-000145,COMPLAINT,2026-04-29,NOTICE,citizen/department complaint signal - NOTICE
EVT-0000248,KA-BLRU-560043-000049,GST,GST-KA-BLRU-2017-000038,TAX_FILING,2026-04-28,EXPIRED,tax return or filing activity signal - EXPIRED
EVT-0000482,KA-BLRU-560029-000095,FACTORY,KFBIS-FAC-BLRU-2023-000047,ADDRESS_UPDATE,2026-04-28,OK,address correction or amendment signal - OK
EVT-0000692,KA-BLRU-560037-000139,BBMP,BBMP-TL-MAHA-2023-000050,RENEWAL,2026-04-28,NOTICE,licence/registration renewal event captured - NOTICE
EVT-0000721,KA-BLRU-560076-000145,SHOP,KAR-SHOP-BLRU-2022-000098,INSPECTION,2026-04-28,NOTICE,department inspection or site verification event - NOTICE
EVT-0000240,KA-BLRU-560100-000047,KSPCB,PCB/BLRU/CTE/2016/00017,RENEWAL,2026-04-27,EXPIRED,licence/registration renewal event captured - EXPIRED
EVT-0000600,KA-BLRU-560076-000118,SHOP,KAR-SHOP-BLRU-2015-000078,INSPECTION,2026-04-27,EXPIRED,department inspection or site verification event - EXPIRED
EVT-0000857,KA-BLRU-560024-000173,FACTORY,KFBIS-FAC-BLRU-2016-000083,COMPLAINT,2026-04-27,NOTICE,citizen/department complaint signal - NOTICE
EVT-0000898,KA-BLRU-560076-000181,KSPCB,PCB/BLRU/CTE/2018/00082,CONSENT_APPROVAL,2026-04-27,RESOLVED,pollution consent application/approval signal - RESOLVED
EVT-0001036,KA-BLRU-560024-000212,GST,GST-KA-BLRU-2017-000163,RENEWAL,2026-04-27,PENDING,licence/registration renewal event captured - PENDING
EVT-0001457,KA-BLRU-560068-000297,GST,GST-KA-BLRU-2019-000237,INSPECTION,2026-04-27,NOTICE,department inspection or site verification event - NOTICE
EVT-0001490,KA-BLRU-560078-000304,BBMP,BBMP-TL-SOUT-2019-000124,INSPECTION,2026-04-27,APPROVED,department inspection or site verification event - APPROVED
EVT-0001558,KA-MYS-570016-000318,UDYAM,UDYAM-KR-MYS-2018-000161,ADDRESS_UPDATE,2026-04-27,RESOLVED,address correction or amendment signal - RESOLVED
EVT-0000303,KA-MYS-570018-000059,BBMP,BBMP-TL-SOUT-2020-000018,TAX_FILING,2026-04-26,RESOLVED,tax return or filing activity signal - RESOLVED
EVT-0000500,KA-BLRU-560029-000098,KSPCB,PCB/BLRU/CTE/2019/00041,INSPECTION,2026-04-26,RESOLVED,department inspection or site verification event - RESOLVED
EVT-0000685,KA-BLRU-560064-000136,BBMP,BBMP-TL-YELA-2019-000048,INSPECTION,2026-04-26,PENDING,department inspection or site verification event - PENDING
EVT-0000927,KA-BLRU-560037-000189,GST,GST-KA-BLRU-2020-000145,ADDRESS_UPDATE,2026-04-26,OK,address correction or amendment signal - OK
EVT-0001577,KA-BLRU-560078-000324,KSPCB,PCB/BLRU/CTE/2021/00148,ADDRESS_UPDATE,2026-04-26,PENDING,address correction or amendment signal - PENDING
EVT-0000094,KA-BLRU-560066-000018,SHOP,KAR-SHOP-BLRU-2015-000012,INSPECTION,2026-04-25,NOTICE,department inspection or site verification event - NOTICE
EVT-0000263,KA-BLRU-560043-000052,GST,GST-KA-BLRU-2020-000041,ADDRESS_UPDATE,2026-04-25,NOTICE,address correction or amendment signal - NOTICE
EVT-0000308,KA-BLRR-562114-000061,KSPCB,PCB/BLRR/CTO/2024/00025,ADDRESS_UPDATE,2026-04-25,NOTICE,address correction or amendment signal - NOTICE
EVT-0000983,KA-BLRR-562157-000200,SHOP,KAR-SHOP-BLRR-2018-000133,RENEWAL,2026-04-25,PENDING,licence/registration renewal event captured - PENDING
EVT-0001257,KA-BLRR-561203-000253,GST,GST-KA-BLRR-2025-000201,RENEWAL,2026-04-25,NOTICE,licence/registration renewal event captured - NOTICE
EVT-0000086,KA-BLRR-562110-000017,LABOUR,LAB-KA-BLRR-2019-000008,ADDRESS_UPDATE,2026-04-24,RESOLVED,address correction or amendment signal - RESOLVED
EVT-0000145,KA-MYS-570016-000028,SHOP,KAR-SHOP-MYS-2025-000019,TAX_FILING,2026-04-24,PENDING,tax return or filing activity signal - PENDING
EVT-0000841,KA-MYS-570001-000169,KSPCB,PCB/MYS/CTE/2021/00076,ADDRESS_UPDATE,2026-04-24,PENDING,address correction or amendment signal - PENDING
EVT-0001128,KA-TUM-572101-000229,BBMP,BBMP-TL-TUMA-2023-000087,RENEWAL,2026-04-24,NOTICE,licence/registration renewal event captured - NOTICE
EVT-0001129,KA-TUM-572101-000229,LABOUR,LAB-KA-TUM-2024-000116,RENEWAL,2026-04-24,APPROVED,licence/registration renewal event captured - APPROVED
EVT-0000277,KA-BLRU-560059-000055,SHOP,KAR-SHOP-BLRU-2022-000040,TAX_FILING,2026-04-23,PENDING,tax return or filing activity signal - PENDING
EVT-0000863,KA-BLRU-560024-000173,KSPCB,PCB/BLRU/CTO/2015/00079,TAX_FILING,2026-04-23,OK,tax return or filing activity signal - OK
EVT-0001035,KA-BLRU-560024-000212,BBMP,BBMP-TL-YELA-2017-000083,ADDRESS_UPDATE,2026-04-23,PENDING,address correction or amendment signal - PENDING
EVT-0001268,KA-BLRU-560064-000257,SHOP,KAR-SHOP-BLRU-2020-000170,RENEWAL,2026-04-23,RESOLVED,licence/registration renewal event captured - RESOLVED
EVT-0001492,KA-BLRU-560078-000304,SHOP,KAR-SHOP-BLRU-2025-000206,COMPLAINT,2026-04-23,RESOLVED,citizen/department complaint signal - RESOLVED
EVT-0000078,KA-BLRR-561203-000016,SHOP,KAR-SHOP-BLRR-2016-000011,ADDRESS_UPDATE,2026-04-22,APPROVED,address correction or amendment signal - APPROVED
EVT-0000080,KA-BLRR-561203-000016,GST,GST-KA-BLRR-2017-000011,RENEWAL,2026-04-22,RESOLVED,licence/registration renewal event captured - RESOLVED
EVT-0000264,KA-BLRU-560043-000052,UDYAM,UDYAM-KR-BLRU-2018-000029,COMPLAINT,2026-04-22,NOTICE,citizen/department complaint signal - NOTICE
EVT-0000710,KA-BLRU-560064-000144,GST,GST-KA-BLRU-2025-000107,TAX_FILING,2026-04-22,EXPIRED,tax return or filing activity signal - EXPIRED
EVT-0000046,KA-BLRU-560085-000010,UDYAM,UDYAM-KR-BLRU-2015-000005,INSPECTION,2026-04-21,PENDING,department inspection or site verification event - PENDING
EVT-0000126,KA-BLRU-560059-000025,LABOUR,LAB-KA-BLRU-2016-000013,RENEWAL,2026-04-21,EXPIRED,licence/registration renewal event captured - EXPIRED
EVT-0000133,KA-BLRU-560068-000026,KSPCB,PCB/BLRU/CTO/2024/00012,INSPECTION,2026-04-21,OK,department inspection or site verification event - OK
EVT-0000827,KA-BLRU-560024-000167,KSPCB,PCB/BLRU/CTO/2025/00075,ADDRESS_UPDATE,2026-04-21,PENDING,address correction or amendment signal - PENDING
EVT-0001046,KA-BLRU-560064-000215,KSPCB,PCB/BLRU/CTE/2023/00092,RENEWAL,2026-04-21,PENDING,licence/registration renewal event captured - PENDING
EVT-0000088,KA-BLRR-562110-000017,GST,GST-KA-BLRR-2017-000012,TAX_FILING,2026-04-20,APPROVED,tax return or filing activity signal - APPROVED
EVT-0000244,KA-BLRU-560043-000049,GST,GST-KA-BLRU-2017-000038,RENEWAL,2026-04-20,APPROVED,licence/registration renewal event captured - APPROVED
EVT-0000301,KA-MYS-570018-000059,BBMP,BBMP-TL-SOUT-2020-000018,COMPLAINT,2026-04-20,OPEN,citizen/department complaint signal - OPEN
EVT-0000466,KA-BLRU-560029-000090,LABOUR,LAB-KA-BLRU-2020-000042,ADDRESS_UPDATE,2026-04-20,OK,address correction or amendment signal - OK
EVT-0001039,KA-BLRU-560024-000212,BBMP,BBMP-TL-YELA-2017-000083,RENEWAL,2026-04-20,PENDING,licence/registration renewal event captured - PENDING
EVT-0000483,KA-BLRU-560029-000095,KSPCB,PCB/BLRU/CTO/2020/00039,RENEWAL,2026-04-19,EXPIRED,licence/registration renewal event captured - EXPIRED
EVT-0000198,KA-BLRU-560085-000038,GST,GST-KA-BLRU-2021-000030,RENEWAL,2026-04-18,PENDING,licence/registration renewal event captured - PENDING
EVT-0000222,KA-MYS-570016-000044,GST,GST-KA-MYS-2024-000034,INSPECTION,2026-04-18,NOTICE,department inspection or site verification event - NOTICE
EVT-0000471,KA-BLRU-560058-000091,UDYAM,UDYAM-KR-BLRU-2025-000046,COMPLAINT,2026-04-18,RESOLVED,citizen/department complaint signal - RESOLVED
EVT-0000967,KA-BLRU-560068-000197,GST,GST-KA-BLRU-2020-000151,COMPLAINT,2026-04-18,NOTICE,citizen/department complaint signal - NOTICE
EVT-0001100,KA-BLRU-560076-000224,LABOUR,LAB-KA-BLRU-2022-000112,TAX_FILING,2026-04-18,NOTICE,tax return or filing activity signal - NOTICE
EVT-0001277,KA-BLRU-560076-000259,SHOP,KAR-SHOP-BLRU-2016-000171,COMPLAINT,2026-04-18,OPEN,citizen/department complaint signal - OPEN
EVT-0001374,KA-BLRU-560043-000278,SHOP,KAR-SHOP-BLRU-2023-000187,RENEWAL,2026-04-18,EXPIRED,licence/registration renewal event captured - EXPIRED
EVT-0000278,KA-BLRU-560059-000055,LABOUR,LAB-KA-BLRU-2025-000028,TAX_FILING,2026-04-17,EXPIRED,tax return or filing activity signal - EXPIRED
EVT-0000302,KA-MYS-570018-000059,GST,GST-KA-MYS-2024-000047,ADDRESS_UPDATE,2026-04-17,NOTICE,address correction or amendment signal - NOTICE
EVT-0000463,KA-BLRU-560029-000090,GST,GST-KA-BLRU-2017-000067,INSPECTION,2026-04-17,NOTICE,department inspection or site verification event - NOTICE
EVT-0000311,KA-BLRR-562114-000061,GST,GST-KA-BLRR-2018-000049,INSPECTION,2026-04-16,RESOLVED,department inspection or site verification event - RESOLVED
EVT-0000621,KA-BLRU-560024-000123,BBMP,BBMP-TL-YELA-2020-000044,TAX_FILING,2026-04-16,OK,tax return or filing activity signal - OK
EVT-0000901,KA-BLRU-560076-000181,FACTORY,KFBIS-FAC-BLRU-2021-000085,RENEWAL,2026-04-16,NOTICE,licence/registration renewal event captured - NOTICE
EVT-0000944,KA-BLRU-560059-000192,FACTORY,KFBIS-FAC-BLRU-2021-000092,ADDRESS_UPDATE,2026-04-16,EXPIRED,address correction or amendment signal - EXPIRED
EVT-0000960,KA-BLRU-560068-000197,BBMP,BBMP-TL-SOUT-2016-000076,COMPLAINT,2026-04-16,RESOLVED,citizen/department complaint signal - RESOLVED
EVT-0001130,KA-TUM-572101-000229,BBMP,BBMP-TL-TUMA-2023-000087,RENEWAL,2026-04-16,OK,licence/registration renewal event captured - OK
EVT-0001131,KA-TUM-572101-000229,LABOUR,LAB-KA-TUM-2024-000116,INSPECTION,2026-04-16,NOTICE,department inspection or site verification event - NOTICE
EVT-0001279,KA-BLRU-560076-000259,BBMP,BBMP-TL-SOUT-2015-000102,ADDRESS_UPDATE,2026-04-16,RESOLVED,address correction or amendment signal - RESOLVED
EVT-0001096,KA-BLRU-560076-000224,LABOUR,LAB-KA-BLRU-2022-000112,RENEWAL,2026-04-15,RESOLVED,licence/registration renewal event captured - RESOLVED
EVT-0001176,KA-BLRU-560078-000238,UDYAM,UDYAM-KR-BLRU-2024-000117,COMPLAINT,2026-04-15,RESOLVED,citizen/department complaint signal - RESOLVED
EVT-0000092,KA-BLRU-560066-000018,UDYAM,UDYAM-KR-BLRU-2018-000010,ADDRESS_UPDATE,2026-04-14,NOTICE,address correction or amendment signal - NOTICE
EVT-0000603,KA-BLRU-560076-000118,SHOP,KAR-SHOP-BLRU-2015-000078,COMPLAINT,2026-04-14,RESOLVED,citizen/department complaint signal - RESOLVED
EVT-0000995,KA-BLRU-560068-000204,SHOP,KAR-SHOP-BLRU-2024-000136,TAX_FILING,2026-04-14,EXPIRED,tax return or filing activity signal - EXPIRED
EVT-0000236,KA-BLRU-560100-000047,FACTORY,KFBIS-FAC-BLRU-2024-000021,TAX_FILING,2026-04-13,NOTICE,tax return or filing activity signal - NOTICE
EVT-0000697,KA-BLRU-560037-000139,KSPCB,PCB/BLRU/CTO/2020/00061,COMPLAINT,2026-04-13,NOTICE,citizen/department complaint signal - NOTICE
EVT-0000749,KA-BLRU-560066-000152,KSPCB,PCB/BLRU/CTO/2025/00067,COMPLAINT,2026-04-13,NOTICE,citizen/department complaint signal - NOTICE
EVT-0001127,KA-TUM-572101-000229,BBMP,BBMP-TL-TUMA-2023-000087,TAX_FILING,2026-04-13,PENDING,tax return or filing activity signal - PENDING
EVT-0001361,KA-BLRR-562114-000274,GST,GST-KA-BLRR-2017-000217,TAX_FILING,2026-04-13,OK,tax return or filing activity signal - OK
EVT-0000168,KA-MYS-570018-000033,LABOUR,LAB-KA-MYS-2021-000018,TAX_FILING,2026-04-12,OK,tax return or filing activity signal - OK
EVT-0000325,KA-TUM-572101-000063,FACTORY,KFBIS-FAC-TUM-2023-000029,INSPECTION,2026-04-12,NOTICE,department inspection or site verification event - NOTICE
EVT-0000310,KA-BLRR-562114-000061,LABOUR,LAB-KA-BLRR-2021-000031,TAX_FILING,2026-04-11,APPROVED,tax return or filing activity signal - APPROVED
EVT-0000611,KA-BLRU-560102-000121,SHOP,KAR-SHOP-BLRU-2016-000080,COMPLAINT,2026-04-11,NOTICE,citizen/department complaint signal - NOTICE
EVT-0001231,KA-BLRU-560058-000248,KSPCB,PCB/BLRU/CTE/2020/00109,TAX_FILING,2026-04-11,OK,tax return or filing activity signal - OK
EVT-0001456,KA-BLRU-560068-000297,LABOUR,LAB-KA-BLRU-2023-000145,RENEWAL,2026-04-11,EXPIRED,licence/registration renewal event captured - EXPIRED
EVT-0000076,KA-BLRR-561203-000016,GST,GST-KA-BLRR-2017-000011,ADDRESS_UPDATE,2026-04-10,EXPIRED,address correction or amendment signal - EXPIRED
EVT-0000693,KA-BLRU-560037-000139,SHOP,KAR-SHOP-BLRU-2019-000093,RENEWAL,2026-04-10,PENDING,licence/registration renewal event captured - PENDING
EVT-0000713,KA-BLRU-560064-000144,GST,GST-KA-BLRU-2025-000107,RENEWAL,2026-04-10,PENDING,licence/registration renewal event captured - PENDING
EVT-0000896,KA-BLRU-560076-000181,FACTORY,KFBIS-FAC-BLRU-2021-000085,COMPLAINT,2026-04-10,NOTICE,citizen/department complaint signal - NOTICE
EVT-0000902,KA-BLRU-560076-000181,KSPCB,PCB/BLRU/CTE/2018/00082,COMPLAINT,2026-04-10,RESOLVED,citizen/department complaint signal - RESOLVED
EVT-0000146,KA-MYS-570016-000028,BBMP,BBMP-TL-NORT-2025-000010,INSPECTION,2026-04-09,PENDING,department inspection or site verification event - PENDING
EVT-0000261,KA-BLRU-560043-000052,LABOUR,LAB-KA-BLRU-2023-000026,TAX_FILING,2026-04-09,RESOLVED,tax return or filing activity signal - RESOLVED
EVT-0000712,KA-BLRU-560064-000144,SHOP,KAR-SHOP-BLRU-2016-000097,ADDRESS_UPDATE,2026-04-09,OK,address correction or amendment signal - OK
EVT-0001002,KA-MYS-570016-000205,FACTORY,KFBIS-FAC-MYS-2020-000097,TAX_FILING,2026-04-09,APPROVED,tax return or filing activity signal - APPROVED
EVT-0001186,KA-MYS-570018-000240,BBMP,BBMP-TL-SOUT-2023-000092,TAX_FILING,2026-04-09,EXPIRED,tax return or filing activity signal - EXPIRED
EVT-0000166,KA-MYS-570018-000033,GST,GST-KA-MYS-2015-000025,INSPECTION,2026-04-08,PENDING,department inspection or site verification event - PENDING
EVT-0000620,KA-BLRU-560024-000123,BBMP,BBMP-TL-YELA-2020-000044,COMPLAINT,2026-04-08,NOTICE,citizen/department complaint signal - NOTICE
EVT-0001079,KA-BLRU-560085-000221,BBMP,BBMP-TL-SOUT-2025-000086,TAX_FILING,2026-04-08,PENDING,tax return or filing activity signal - PENDING
EVT-0001215,KA-BLRR-562157-000245,KSPCB,PCB/BLRR/CTO/2015/00106,INSPECTION,2026-04-08,RESOLVED,department inspection or site verification event - RESOLVED
EVT-0001420,KA-BLRU-560076-000289,UDYAM,UDYAM-KR-BLRU-2022-000144,COMPLAINT,2026-04-08,RESOLVED,citizen/department complaint signal - RESOLVED
EVT-0000096,KA-BLRU-560066-000018,GST,GST-KA-BLRU-2022-000013,INSPECTION,2026-04-07,APPROVED,department inspection or site verification event - APPROVED
EVT-0001362,KA-BLRR-562114-000274,BBMP,BBMP-TL-BENG-2024-000111,RENEWAL,2026-04-07,NOTICE,licence/registration renewal event captured - NOTICE
EVT-0000601,KA-BLRU-560076-000118,SHOP,KAR-SHOP-BLRU-2015-000078,COMPLAINT,2026-04-06,RESOLVED,citizen/department complaint signal - RESOLVED
EVT-0000751,KA-BLRU-560066-000152,LABOUR,LAB-KA-BLRU-2023-000072,ADDRESS_UPDATE,2026-04-06,OK,address correction or amendment signal - OK
EVT-0000876,KA-BLRU-560102-000176,UDYAM,UDYAM-KR-BLRU-2018-000084,INSPECTION,2026-04-06,PENDING,department inspection or site verification event - PENDING
EVT-0001447,KA-BLRR-561203-000294,LABOUR,LAB-KA-BLRR-2016-000143,INSPECTION,2026-04-06,OK,department inspection or site verification event - OK
EVT-0001491,KA-BLRU-560078-000304,SHOP,KAR-SHOP-BLRU-2025-000206,COMPLAINT,2026-04-06,NOTICE,citizen/department complaint signal - NOTICE
EVT-0000093,KA-BLRU-560066-000018,SHOP,KAR-SHOP-BLRU-2015-000012,ADDRESS_UPDATE,2026-04-05,EXPIRED,address correction or amendment signal - EXPIRED
EVT-0000169,KA-MYS-570018-000033,LABOUR,LAB-KA-MYS-2021-000018,ADDRESS_UPDATE,2026-04-05,OK,address correction or amendment signal - OK
EVT-0000006,KA-BLRU-560068-000002,GST,GST-KA-BLRU-2015-000001,TAX_FILING,2026-04-04,PENDING,tax return or filing activity signal - PENDING
EVT-0000148,KA-MYS-570016-000028,SHOP,KAR-SHOP-MYS-2025-000019,ADDRESS_UPDATE,2026-04-04,RESOLVED,address correction or amendment signal - RESOLVED
EVT-0000171,KA-MYS-570018-000033,LABOUR,LAB-KA-MYS-2021-000018,INSPECTION,2026-04-04,RESOLVED,department inspection or site verification event - RESOLVED
EVT-0000172,KA-MYS-570018-000033,LABOUR,LAB-KA-MYS-2021-000018,COMPLAINT,2026-04-04,RESOLVED,citizen/department complaint signal - RESOLVED
EVT-0000269,KA-BLRU-560059-000053,KSPCB,PCB/BLRU/CTO/2017/00020,CONSENT_APPROVAL,2026-04-04,EXPIRED,pollution consent application/approval signal - EXPIRED
EVT-0000298,KA-BLRU-560043-000058,KSPCB,PCB/BLRU/CTO/2017/00023,CONSENT_APPROVAL,2026-04-04,PENDING,pollution consent application/approval signal - PENDING
EVT-0000465,KA-BLRU-560029-000090,SHOP,KAR-SHOP-BLRU-2019-000062,RENEWAL,2026-04-04,OK,licence/registration renewal event captured - OK
EVT-0000619,KA-BLRU-560024-000123,BBMP,BBMP-TL-YELA-2020-000044,TAX_FILING,2026-04-04,OK,tax return or filing activity signal - OK
EVT-0000718,KA-BLRU-560076-000145,GST,GST-KA-BLRU-2019-000108,TAX_FILING,2026-04-04,NOTICE,tax return or filing activity signal - NOTICE
EVT-0000892,KA-MYS-570018-000179,GST,GST-KA-MYS-2021-000140,TAX_FILING,2026-04-04,APPROVED,tax return or filing activity signal - APPROVED
EVT-0001080,KA-BLRU-560085-000221,LABOUR,LAB-KA-BLRU-2016-000110,ADDRESS_UPDATE,2026-04-04,EXPIRED,address correction or amendment signal - EXPIRED
EVT-0000931,KA-BLRU-560037-000189,FACTORY,KFBIS-FAC-BLRU-2020-000091,INSPECTION,2026-04-03,OK,department inspection or site verification event - OK
EVT-0000964,KA-BLRU-560068-000197,BBMP,BBMP-TL-SOUT-2016-000076,RENEWAL,2026-04-03,EXPIRED,licence/registration renewal event captured - EXPIRED
EVT-0000477,KA-BLRU-560102-000093,GST,GST-KA-BLRU-2024-000069,TAX_FILING,2026-04-02,PENDING,tax return or filing activity signal - PENDING
EVT-0001356,KA-BLRR-562114-000274,BBMP,BBMP-TL-BENG-2024-000111,COMPLAINT,2026-04-02,OPEN,citizen/department complaint signal - OPEN
EVT-0001174,KA-BLRU-560078-000238,GST,GST-KA-BLRU-2021-000186,INSPECTION,2026-04-01,PENDING,department inspection or site verification event - PENDING
EVT-0000129,KA-BLRU-560059-000025,FACTORY,KFBIS-FAC-BLRU-2025-000012,TAX_FILING,2026-03-31,PENDING,tax return or filing activity signal - PENDING
EVT-0000578,KA-BLRU-560058-000114,BBMP,BBMP-TL-DASA-2015-000041,TAX_FILING,2026-03-31,RESOLVED,tax return or filing activity signal - RESOLVED
EVT-0000874,KA-BLRU-560102-000176,GST,GST-KA-BLRU-2019-000137,ADDRESS_UPDATE,2026-03-31,EXPIRED,address correction or amendment signal - EXPIRED
EVT-0000414,KA-BLRU-560058-000081,LABOUR,LAB-KA-BLRU-2023-000038,TAX_FILING,2026-03-30,PENDING,tax return or filing activity signal - PENDING
EVT-0000470,KA-BLRU-560058-000091,GST,GST-KA-BLRU-2025-000068,ADDRESS_UPDATE,2026-03-30,PENDING,address correction or amendment signal - PENDING
EVT-0001027,KA-BLRU-560024-000210,GST,GST-KA-BLRU-2020-000161,COMPLAINT,2026-03-30,NOTICE,citizen/department complaint signal - NOTICE
EVT-0001211,KA-BLRR-562157-000245,UDYAM,UDYAM-KR-BLRR-2021-000120,INSPECTION,2026-03-30,PENDING,department inspection or site verification event - PENDING
EVT-0001280,KA-BLRU-560076-000259,SHOP,KAR-SHOP-BLRU-2016-000171,ADDRESS_UPDATE,2026-03-30,OK,address correction or amendment signal - OK
EVT-0001422,KA-BLRU-560076-000289,LABOUR,LAB-KA-BLRU-2022-000141,TAX_FILING,2026-03-30,NOTICE,tax return or filing activity signal - NOTICE
EVT-0000102,KA-BLRR-562110-000019,GST,GST-KA-BLRR-2017-000014,TAX_FILING,2026-03-29,NOTICE,tax return or filing activity signal - NOTICE
EVT-0001450,KA-BLRU-560024-000295,SHOP,KAR-SHOP-BLRU-2015-000200,INSPECTION,2026-03-29,RESOLVED,department inspection or site verification event - RESOLVED
EVT-0000089,KA-BLRR-562110-000017,GST,GST-KA-BLRR-2017-000012,RENEWAL,2026-03-27,NOTICE,licence/registration renewal event captured - NOTICE
EVT-0000330,KA-BLRU-560034-000064,LABOUR,LAB-KA-BLRU-2020-000032,ADDRESS_UPDATE,2026-03-27,EXPIRED,address correction or amendment signal - EXPIRED
EVT-0001375,KA-BLRU-560043-000278,KSPCB,PCB/BLRU/CTO/2020/00124,INSPECTION,2026-03-27,APPROVED,department inspection or site verification event - APPROVED
EVT-0000365,KA-TUM-572106-000071,FACTORY,KFBIS-FAC-TUM-2018-000031,INSPECTION,2026-03-26,PENDING,department inspection or site verification event - PENDING
EVT-0000932,KA-BLRU-560037-000189,UDYAM,UDYAM-KR-BLRU-2024-000091,COMPLAINT,2026-03-26,NOTICE,citizen/department complaint signal - NOTICE
EVT-0001446,KA-BLRR-561203-000294,FACTORY,KFBIS-FAC-BLRR-2020-000130,INSPECTION,2026-03-26,PENDING,department inspection or site verification event - PENDING
EVT-0000321,KA-TUM-572101-000063,KSPCB,PCB/TUM/CTO/2015/00026,INSPECTION,2026-03-25,NOTICE,department inspection or site verification event - NOTICE
EVT-0001359,KA-BLRR-562114-000274,BBMP,BBMP-TL-BENG-2024-000111,ADDRESS_UPDATE,2026-03-25,RESOLVED,address correction or amendment signal - RESOLVED
EVT-0000147,KA-MYS-570016-000028,BBMP,BBMP-TL-NORT-2025-000010,COMPLAINT,2026-03-24,OPEN,citizen/department complaint signal - OPEN
