reg_id,business_name,address,pincode,pan,gstin,phone,status
SH025,Sahyadri Coffee,Chikmagalur Town,577101,,29AAASC0001V1ZC,8262223300,active
SH026,Deccan Logistics,Whitefield,560066,AAADL0002W,29AAADL0002W1ZD,9035303030,active
SH027,Deccan Logistics Pvt Ltd,Whitefield ITPL Rd,560066,AAADL0002W,29AAADL0002W1ZD,9035303099,active
SH028,Annapoorna Snacks,Davangere,577004,AAAAS0003X,29AAAAS0003X1ZE,8192224455,active
SH029,Annapoorna Snacks Centre,Davanagere City,577004,AAAAS0003X,,8192224400,active
SH030,Zenith Pharma Distributors,Electronic City Phase 1,560100,AAAZP0004Y,29AAAZP0004Y1ZF,9844123456,active
SH031,Zenith Pharma Dist,Electronic City Ph-1 Blr,560100,,29AAAZP0004Y1ZF,9844123499,active
SH032,BlueRiver Textiles,Ramanagara,562159,AAABT0005Z,29AAABT0005Z1ZG,9449011122,active
SH033,Blue River Textiles Ltd,Ramanagara Ind Area,562159,AAABT0005Z,29AAABT0005Z1ZG,9449011199,active
SH034,Everest Steel Traders,Peenya 2nd Stage,560058,AAAES0006A,29AAAES0006A1ZH,9845088888,active
SH035,Everest Steel,Peenya II Stage Bangalore,560058,AAAES0006A,,9845088800,active
SH036,Southern Spices Mart,"Gandhinagar, Ballari",583101,AAASS0007B,29AAASS0007B1ZI,8392225566,active
SH037,Southern Spices,Gandhinagar Ballari,583101,,29AAASS0007B1ZI,8392225500,active
SH038,Metro Cold Storage,Yeshwanthpur,560022,AAAMC0008C,29AAAMC0008C1ZJ,8023456789,active
SH039,Metro Cold Storage Pvt Ltd,Yeshwanthpur Ind Suburb,560022,AAAMC0008C,29AAAMC0008C1ZJ,8023456700,active
SH040,Bright Future Education,Jayanagar 4th Block,560041,AAABF0009D,29AAABF0009D1ZK,9845099999,active
SH041,Bright Future Edu Services,Jayanagar 4th Blk Blr,560041,AAABF0009D,,9845099900,active
SH042,Crystal Glass Works,Rajajinagar,560010,AAACG0010E,29AAACG0010E1ZL,9342123456,active
SH043,Crystal Glass,Rajajinagar 2nd Main,560010,,29AAACG0010E1ZL,9342123499,active
SH044,Orchid Florists,Koramangala 5th Block,560095,AAAOF0011F,29AAAOF0011F1ZM,9886767676,active
SH045,Orchid Flowers,Koramangala 5th Blk,560095,AAAOF0011F,29AAAOF0011F1ZM,9886767600,active
SH046,Unrelated Pizza Corner,Indiranagar,560038,AAAPZ0012G,29AAAPZ0012G1ZN,9986020202,active
SH047,Northwind Automobiles,Hebbal,560024,AAANA0013H,29AAANA0013H1ZO,9845012345,active
SH048,Northwind Auto,Hebbal Flyover Rd,560024,AAANA0013H,,9845012399,active
SH049,Silverline Jewellers,Commercial Street,560001,AAASJ0014I,29AAASJ0014I1ZP,8022223333,active
SH050,Silverline Jewellers LLP,Comm St Bangalore,560001,AAASJ0014I,29AAASJ0014I1ZP,8022223399,active
