gst_record_id,legal_name,trade_name,principal_place_address,district,pin_code,state_code,taxpayer_type,registration_date,gst_status,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
GST-KA-BLRR-2017-000011,M/S Nandi Trans Solutions,Nandi Trans Solutions,"#162, Sector, Doddaballapura, B'luru Rural, K'taka - 561203",Bengaluru Rural,561203,29,Casual Taxable Person,2017-10-20,Active,PAN_D072F79BB809F27C,,GST-KA-BLRR-2017-000011,ENT-00016
GST-KA-BLRR-2017-000012,Mysore Cafe Traders,,"No 202, D Service Road, Devanahalli, Bangalore Rural, Karnataka - 562110",Bengaluru Rural,562110,29,Casual Taxable Person,2017-06-13,Cancelled,,,GST-KA-BLRR-2017-000012,ENT-00017
GST-KA-BLRU-2022-000013,MYSORE MOLD SOLUTIONS,Mysore Mold Solutions,"No. 215, A Main Rd, Whitefield Main Rd, Bengaluru Urban, K'taka - 560066",Bengaluru Urban,560066,29,Regular,2022-12-05,Active,PAN_9B87F77784FF0445,GSTIN_3EF37A7E82305EDA,GST-KA-BLRU-2022-000013,ENT-00018
GST-KA-BLRR-2017-000014,Veda Coatings Works,Veda Coatings Works,"No 201, B Service Road, Devanahalli, B'luru Rural, K'taka - 562110",Bengaluru Rural,562110,29,Regular,2017-09-13,Suspended,,,GST-KA-BLRR-2017-000014,ENT-00019
GST-KA-BLRU-2021-000015,Navya Devices Co,Navya Devices Co,"No. 51, A Behind Metro, Bommanahalli, Bangalore Urban, Karnataka - 560068",Bengaluru Urban,560068,29,SEZ Unit,2021-04-21,Suspended,PAN_A8B2B46C51047944,GSTIN_AC08044DB415531C,GST-KA-BLRU-2021-000015,ENT-00020
GST-KA-MYS-2022-000016,Prakruthi Packaging Solutions,,"#45, A Service Road, Hebbal Industrial Area, Mysuru, K'taka - 570016",Mysuru,570016,29,Composition,2022-03-07,Cancelled,PAN_1DDA954E2B3349CC,,GST-KA-MYS-2022-000016,ENT-00021
GST-KA-BLRU-2017-000017,Sri Devices Solutions,M/S Sri Devices Solutions,"104, Shed Industrial Layout, HSR Layout, B'luru Urban, KA - 560102",Bengaluru Urban,560102,29,Casual Taxable Person,2017-12-29,Active,PAN_2593B925C4CC393A,GSTIN_258B8656D131FB3A,GST-KA-BLRU-2017-000017,ENT-00023
GST-KA-BLRU-2018-000018,SREE SOLUTIONS,Sree Solutions,"101, A Extension, Banashankari, Bengaluru Urban, KA",Bengaluru Urban,560085,29,SEZ Unit,2018-12-19,Active,PAN_9E53C1A7284D0EC7,,GST-KA-BLRU-2018-000018,ENT-00024
GST-KA-BLRU-2023-000019,Bangalore Moulding Assocites,Bangalore Moulding Associates,"266, Shed Sector, Bommanahalli, B'luru Urban, Karnataka - 560068",Bengaluru Urban,560068,29,Regular,2023-03-04,Active,PAN_8C25986E2674A596,,GST-KA-BLRU-2023-000019,ENT-00026
GST-KA-BLRU-2017-000020,Sree Elec Inds,,"No. 50, B Industrial Layout, Rajajinagar Industrial Suburb, B'luru Urban, Karnataka - 560059",Bengaluru Urban,560059,29,Regular,2017-09-02,Cancelled,PAN_289FA3331D4CA2D0,,GST-KA-BLRU-2017-000020,ENT-00027
GST-KA-BLRU-2025-000021,Asha Co,,"No. 177, C 2nd Main, Yelahanka, Bangalore Urban, KA",Bengaluru Urban,560064,29,Casual Taxable Person,2025-07-15,Active,PAN_70AD3CC61D3D7815,GSTIN_DBD5853B2650B25F,GST-KA-BLRU-2025-000021,ENT-00029
GST-KA-BLRR-2020-000022,BHARATH GARMENTS TRADERS,M/S BHAATH GARMENTS TRADERS,"18, Plot Extension, Devanahalli, Bengaluru Rural, Karnataka - 562110",Bengaluru Rural,562110,29,Casual Taxable Person,2020-02-08,Active,PAN_F9056F6DC2DB582C,GSTIN_5B1E02F6F738BA0B,GST-KA-BLRR-2020-000022,ENT-00030
GST-KA-BLRU-2016-000023,M/S Mysore Enterprises,,"No. 256, B Main Rd, HSR Layout, B'luru Urban, Karnataka - 560102",Bengaluru Urban,560102,29,Regular,2016-05-08,Cancelled,PAN_8895582F81504CB2,GSTIN_FEC2468239B9CC01,GST-KA-BLRU-2016-000023,ENT-00031
GST-KA-BLRR-2019-000024,OMKAR LLP,Omkar,"161, Shed Near Bus Stop, Doddaballapura, Bangalore Rural, KA - 561203",Bengaluru Rural,561203,29,SEZ Unit,2019-07-16,Active,PAN_539CA18DBEA6A496,GSTIN_3B5BA39EC3C6F8CF,GST-KA-BLRR-2019-000024,ENT-00032
GST-KA-MYS-2015-000025,Deccan Industries,,"No. 125, D Industrial Layout, Nanjangud Road, Mysuru, Karnataka - 570018",Mysuru,570001,29,SEZ Unit,2015-12-13,Active,PAN_173C0F7D4925D38A,GSTIN_AA5A050C78BFB4EF,GST-KA-MYS-2015-000025,ENT-00033
GST-KA-BLRU-2018-000026,M/S Nandi Cargo Co,Nandi Cargo Company,"No 2, A Near Bus Stop, Banashankari, B'luru Urban, K'taka - 560085",Bengaluru Urban,560085,29,Composition,2018-01-09,Cancelled,PAN_8CFB12363662E99D,GSTIN_7F22EAE7CB2DAA54,GST-KA-BLRU-2018-000026,ENT-00034
GST-KA-BLRU-2024-000027,Kaveri Components Pvt Ltd,KAVERI COMPONENTS,"#106, Plot Behind Metro, HSR Layout, Bengaluru Urban, K'taka - 560102",Bengaluru Urban,560102,29,SEZ Unit,2024-11-05,Active,,,GST-KA-BLRU-2024-000027,ENT-00035
GST-KA-TUM-2015-000028,NANDI STORES LLP,Nandi Stores,"4, Main Road, BH Road, Tumakuru, KA - 572101",Tumakuru,572101,29,Casual Taxable Person,2015-06-12,Active,PAN_73F217E94D5B05BC,GSTIN_309C75F94A9082F1,GST-KA-TUM-2015-000028,ENT-00036
GST-KA-BLRR-2024-000029,M/S Kaveri Cafe LLP,KAVERI CAFE,"No. 144, Mn Rd, Hoskote, Bangalore Rural, K'taka - 562114",Bengaluru Rural,562114,29,Casual Taxable Person,2024-12-05,Cancelled,PAN_D0431C59929A66AA,GSTIN_07235E6F9DBD73DE,GST-KA-BLRR-2024-000029,ENT-00037
GST-KA-BLRU-2021-000030,Meghana Bites Associates,Meghana Bites Assciates,"#2, D Sector, Banashankari, Bangalore Urban, KA - 560085",Bengaluru Urban,560085,29,Regular,2021-08-04,Active,PAN_908053A6F6D1D89A,GSTIN_6BAE0AD36F8F1AC5,GST-KA-BLRU-2021-000030,ENT-00038
GST-KA-BLRU-2018-000031,Varun Textiles Industries,VARUN TEXTILES INDUSTRIES,"No 252, B Near Bus Stop, Bommanahalli, Bengaluru Urban, K'taka - 560068",Bengaluru Urban,560068,29,Casual Taxable Person,2018-09-04,Suspended,,,GST-KA-BLRU-2018-000031,ENT-00040
GST-KA-MYS-2023-000032,ADITYA CIRCUITS WORKS,ADITYA CIRCUITS WORKS,"157, B Extension, Hebbal Industrial Area, Mysuru, K'taka - 570016",Mysuru,570016,29,Regular,2023-11-26,Active,PAN_89974A6C9040BC8F,,GST-KA-MYS-2023-000032,ENT-00042
GST-KA-TUM-2018-000033,Kaveri Press Entp,Kaveri Press Enterprises,"#151, D 2nd Main, BH Road, Tumakuru, Karnataka",Tumakuru,572101,29,Casual Taxable Person,2018-12-17,Cancelled,PAN_4EA33D307B0EDD36,GSTIN_B374BEA30B507783,GST-KA-TUM-2018-000033,ENT-00043
GST-KA-MYS-2024-000034,M/S Aarohi Solutions,AAROHI SOLUTIONS,"37, Behind Metro, Hebbal Industrial Area, Mysuru, K'taka - 570016",Mysuru,570016,29,Casual Taxable Person,2024-01-04,Active,,,GST-KA-MYS-2024-000034,ENT-00044
GST-KA-TUM-2019-000035,Bangalore Garments Solutions,BANGALORE GARMENTS SOLUTIONS,"232, A Behind Metro, Antharasanahalli Industrial Estate, Tumakuru, Karnataka - 572106",Tumakuru,572106,29,Regular,2019-07-09,Cancelled,,,GST-KA-TUM-2019-000035,ENT-00045
GST-KA-BLRU-2018-000036,Ravi LLP,M/S Ravi,"No 232, Shed Industrial Layout, Kalyan Nagar, Bengaluru Urban, K'taka - 560043",Bengaluru Urban,560043,29,Regular,2018-01-12,Suspended,PAN_7500201471E3B7BA,GSTIN_287B100709456FB0,GST-KA-BLRU-2018-000036,ENT-00046
GST-KA-BLRU-2024-000037,Nandi Solvents LLP,Nandi Solvents,"No. 219, B 3rd Phase, Electronic City, Bengaluru Urban, KA - 560100",Bengaluru Urban,560100,29,Composition,2024-07-29,Active,,GSTIN_BDF0531A1AC60E9E,GST-KA-BLRU-2024-000037,ENT-00047
GST-KA-BLRU-2017-000038,Omkar Pvt Ld,Omkar,"No. 146, D 3rd Phase, Kalyan Nagar, Bangalore Urban, KA",Bengaluru Urban,560043,29,Casual Taxable Person,2017-07-19,Active,PAN_70288CFE80E73E3E,GSTIN_551ED194D61A3A39,GST-KA-BLRU-2017-000038,ENT-00049
GST-KA-BLRU-2025-000039,Ananya Print Works,ANANYA PRINT WORKS,"No 259, Plot Sector, HSR Layout, B'luru Urban, KA - 560102",Bengaluru Urban,560102,29,SEZ Unit,2025-09-23,Active,PAN_1824862865ABF30F,GSTIN_ACAA7D7367A1CA14,GST-KA-BLRU-2025-000039,ENT-00050
GST-KA-BLRU-2021-000040,M/S Varun Entp,,"#144, Plot Service Road, Bannerghatta Road, B'luru Urban, Karnataka - 560076",Bengaluru Urban,560076,29,Composition,2021-12-15,Suspended,,,GST-KA-BLRU-2021-000040,ENT-00051
GST-KA-BLRU-2020-000041,M/S Naveen Company,M/S Naveen Company,"150, Shed Service Road, Kalyan Nagar, Bengaluru Urban, KA - 560043",Bengaluru Urban,560043,29,Regular,2020-06-05,Cancelled,PAN_7F27AB95BD05A4AD,,GST-KA-BLRU-2020-000041,ENT-00052
GST-KA-BLRU-2020-000042,Srinidhi Milling Traders,Srinidhi Milling Traders,"224, Shed Behind Metro, Whitefield, Bangalore Urban, Karnataka - 560037",Bengaluru Urban,560037,29,Composition,2020-10-26,Suspended,,GSTIN_968D82CA0AD4A1F7,GST-KA-BLRU-2020-000042,ENT-00054
GST-KA-BLRU-2016-000043,Bharath Machining Company,M/S Bharath Machining Company,"No 114, Plot Extension, Rajajinagar Industrial Suburb, Bangalore Urban, KA - 560059",Bengaluru Urban,560059,29,Composition,2016-06-09,Cancelled,PAN_68D96D53458F1A0C,GSTIN_E2E13346CEC78FD1,GST-KA-BLRU-2016-000043,ENT-00055
GST-KA-BLRU-2016-000044,BHARATH GRAPHICS SOLUTIONS,Bharath Grahics Solutions,"No. 262, Sector, Jayanagar, Bengaluru Urban, Karnataka - 560078",Bengaluru Urban,560078,29,Regular,2016-01-01,Active,PAN_322CC0EAA89F2696,,GST-KA-BLRU-2016-000044,ENT-00056
GST-KA-MYS-2023-000045,Pakruthi Electronics Industries,Prakruthi Electronics Inds,"#8, Plot Main Rd, Hebbal Industrial Estate, Mysuru, KA - 570016",Mysuru,570016,29,SEZ Unit,2023-08-09,Cancelled,PAN_DEC80A701A04C393,GSTIN_487CE3E3650EC8AB,GST-KA-MYS-2023-000045,ENT-00057
GST-KA-BLRU-2015-000046,Siddhi Systems LLP,Siddhi Systems,"No 285, D Extension, Kalyan Nagar, Bengaluru Urban, KA - 560043",Bengaluru Urban,560059,29,Composition,2015-01-01,Cancelled,PAN_61DDEBCDB1F47867,GSTIN_F539CE4A9173FAE5,GST-KA-BLRU-2015-000046,ENT-00058
GST-KA-MYS-2024-000047,Bangalore Apparels Company,BANGALORE APPARELS COMPANY,"No. 249, D 3rd Phase, Nanjangud Road, Mysuru, Karnataka - 570018",Mysuru,570018,29,Regular,2024-10-18,Active,,,GST-KA-MYS-2024-000047,ENT-00059
GST-KA-BLRR-2025-000048,Veda Stitch LLP,Veda Stitch,"147, A Main Road, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,29,SEZ Unit,2025-05-24,Active,PAN_53DFB287DCA51FAF,GSTIN_EA2375D973EC6B1C,GST-KA-BLRR-2025-000048,ENT-00060
GST-KA-BLRR-2018-000049,M/S Srinidhi Labs Industries,,"#287, A Main Rd, Hoskote, Bengaluru Rural, KA - 562114",Bengaluru Rural,562114,29,Casual Taxable Person,2018-11-13,Suspended,PAN_77A5109E48B40F39,,GST-KA-BLRR-2018-000049,ENT-00061
GST-KA-TUM-2020-000050,M/S Lakshmi Graphics Works,,"No 278, Plot Near Bus Stop, BH Road, Tumakuru, KA - 572101",Tumakuru,572101,29,Regular,2020-05-16,Suspended,,,GST-KA-TUM-2020-000050,ENT-00063
GST-KA-BLRU-2021-000051,M/S Veda Devices Co,Veda Devices Co,"No 236, B Industrial Layout, Koramangala, Bengaluru Urban, K'taka - 560034",Bengaluru Urban,560034,29,Casual Taxable Person,2021-12-22,Active,PAN_351DA89F823C2212,GSTIN_7194B9F03832CED0,GST-KA-BLRU-2021-000051,ENT-00064
GST-KA-BLRU-2020-000052,M/S Sri Agro Industries,M/S Sri Agro Inds,"No 275, 1st Cross, Bannerghatta Road, Bangalore Urban, Karnataka - 560076",Bengaluru Urban,560076,29,Casual Taxable Person,2020-09-28,Cancelled,PAN_3951A0735074896F,GSTIN_1B382335B1118E29,GST-KA-BLRU-2020-000052,ENT-00065
GST-KA-BLRU-2020-000053,Sahana Meds Enterprises,SAHANA MEDS ENTERPRISES,"No 28, D 1st Cr, BTM Layout, B'luru Urban, K'taka - 560029",Bengaluru Urban,560102,29,SEZ Unit,2020-12-24,Cancelled,,,GST-KA-BLRU-2020-000053,ENT-00067
GST-KA-BLRU-2016-000054,Sri Spices Solutions,M/S SRI SPICES SOLUTIONS,"No. 22, Sector, MG Road, B'luru Urban, KA - 560001",Bengaluru Urban,560001,29,SEZ Unit,2016-07-18,Suspended,,GSTIN_6C62F1DB040BC3E6,GST-KA-BLRU-2016-000054,ENT-00070
GST-KA-TUM-2025-000055,M/S Prakruthi CNC LLP,PRAKRUTHI CNC,"No. 3, A Behind Metro, Antharasanahalli Indl Area, Tumakuru, Karnataka - 572106",Tumakuru,572106,29,Casual Taxable Person,2025-01-08,Active,,GSTIN_06336E828E872AF8,GST-KA-TUM-2025-000055,ENT-00071
GST-KA-BLRU-2020-000056,SIDDHI BAKERY LLP,M/S Siddhi Bakery,"#83, A Main Rd, Bannerghatta Road, Bengaluru Urban, KA - 560076",Bengaluru Urban,560076,29,Casual Taxable Person,2020-11-17,Cancelled,PAN_1C5AC8317B27E0E0,,GST-KA-BLRU-2020-000056,ENT-00072
GST-KA-BLRU-2023-000057,Srinidhi Co,SRINIDHI COMPANY,"#297, D 1st Cr, Whitefield, B'luru Urban, K'taka - 560037",Bengaluru Urban,560037,29,Composition,2023-01-17,Suspended,PAN_16FFF79FDBB72FE8,,GST-KA-BLRU-2023-000057,ENT-00073
GST-KA-BLRU-2016-000058,Ravi Tech Associates,Ravi Tech Associates,"No. 84, A Sector, Whitefield Main Road, Bangalore Urban, Karnataka - 560066",Bengaluru Urban,560066,29,Casual Taxable Person,2016-09-02,Cancelled,PAN_4835302AA2861E40,GSTIN_71882A0932EC0D09,GST-KA-BLRU-2016-000058,ENT-00075
GST-KA-BLRR-2017-000059,Aditya Medical Pvt. Ltd.,Aditya Medical,"No. 282, Extension, Hoskote, B'luru Rural, Karnataka - 562114",Bengaluru Rural,562114,29,Casual Taxable Person,2017-05-09,Active,PAN_2CD068317D61C1B7,GSTIN_9EC6267250B25E31,GST-KA-BLRR-2017-000059,ENT-00078
GST-KA-MYS-2015-000060,M/S Ravi Co,Ravi Co,"271, A 1st Cr, Hebbal Indl Area, Mysuru, KA - 570016",Mysuru,570016,29,SEZ Unit,2015-03-03,Active,PAN_9896AA9AD3A89621,,GST-KA-MYS-2015-000060,ENT-00079
GST-KA-BLRU-2020-000061,MEGHANA COATINGS TRADERS,,"No 203, B Behind Metro, Bommanahalli, Bengaluru Urban, KA - 560068",Bengaluru Urban,560068,29,SEZ Unit,2020-01-28,Suspended,PAN_ED5E7F18A4978A5D,,GST-KA-BLRU-2020-000061,ENT-00080
GST-KA-BLRU-2015-000062,M/S Meghana Wear Traders,,"No 120, Plot Sector, Peenya Indl Area, B'luru Urban, Karnataka - 560058",Bengaluru Urban,560058,29,Regular,2015-08-29,Active,,,GST-KA-BLRU-2015-000062,ENT-00081
GST-KA-BLRU-2024-000063,Nandi Electronics Solutions,Nandi Electronics Solutions,"No 271, A Extension, Electronic City, Bengaluru Urban, K'taka - 560100",Bengaluru Urban,560100,29,Composition,2024-07-28,Active,,,GST-KA-BLRU-2024-000063,ENT-00083
GST-KA-MYS-2018-000064,Mysore Works,Mysoe Works,"No 280, C Industrial Layout, Nanjangud Road, Mysuru, K'taka - 570018",Mysuru,570018,29,Regular,2018-09-20,Active,,,GST-KA-MYS-2018-000064,ENT-00085
GST-KA-TUM-2022-000065,BANGALORE CO,M/S Bangalore Co,"No 217, Near Bus Stop, Antharasanahalli Industrial Area, Tumakuru, K'taka - 572106",Tumakuru,572106,29,Composition,2022-11-15,Active,PAN_762BAECD437BE21F,GSTIN_815619CCA2182AD8,GST-KA-TUM-2022-000065,ENT-00087
GST-KA-MYS-2019-000066,Bangalore Works,M/S BANGALORE WORKS,"139, D 2nd Main, Hebbal Industrial Estate, Mysuru, Karnataka - 570016",Mysuru,570016,29,Regular,2019-04-11,Active,PAN_89B983630B42A1A9,GSTIN_5BB93A896805D600,GST-KA-MYS-2019-000066,ENT-00089
GST-KA-BLRU-2017-000067,Bharath Tech Asociates,BHARATH TECH ASSOCIATES,"No 54, D 3rd Phase, BTM Layout, Bengaluru Urban, K'taka - 560029",Bengaluru Urban,560029,29,SEZ Unit,2017-07-05,Cancelled,PAN_2DA615F179254D21,GSTIN_095CC47503753CCB,GST-KA-BLRU-2017-000067,ENT-00090
GST-KA-BLRU-2025-000068,Sharma Stitch Entp,M/S Sharma Stitch Enterprises,"No 142, D 3rd Phase, Peenya Industrial Area, Bengaluru Urban, KA - 560058",Bengaluru Urban,560058,29,SEZ Unit,2025-12-16,Active,,,GST-KA-BLRU-2025-000068,ENT-00091
GST-KA-BLRU-2024-000069,Kaveri Systems Pvt Ltd,M/S KAVERI SYSTES,"51, B 3rd Phase, HSR Layout, Bengaluru Urban, KA - 560102",Bengaluru Urban,560102,29,Casual Taxable Person,2024-09-08,Active,PAN_0752B7A29DDA5077,,GST-KA-BLRU-2024-000069,ENT-00093
GST-KA-BLRU-2024-000070,Sharma Biryani Pvt. Ltd.,Sharma Biryani,"#52, Plot 2nd Main, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bengaluru Urban,560068,29,Casual Taxable Person,2024-01-23,Active,,,GST-KA-BLRU-2024-000070,ENT-00094
GST-KA-BLRU-2025-000071,M/S DECCAN PACKAGING TRADERS,M/S Deccan Packaging Traders,"#211, C 1st Cross, BTM Layout, Bengaluru Urban, K'taka - 560029",Bengaluru Urban,560029,29,SEZ Unit,2025-01-20,Active,,,GST-KA-BLRU-2025-000071,ENT-00095
GST-KA-MYS-2017-000072,M/S Ananya Devices Solutions,,"250, D Extension, Hebbal Industrial Area, Mysuru, K'taka - 570016",Mysuru,570016,29,Casual Taxable Person,2017-11-05,Active,,GSTIN_3B0B225DA27E5FC2,GST-KA-MYS-2017-000072,ENT-00096
GST-KA-BLRR-2018-000073,Mysore Cargo Solutions,Mysore Cargo Solutions,"62, Shed 1st Crs, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,29,SEZ Unit,2018-04-04,Suspended,PAN_E9BD68AFABFF1B32,GSTIN_9D23D1FC7C1597DC,GST-KA-BLRR-2018-000073,ENT-00099
GST-KA-BLRU-2024-000074,M/S Srinidhi Traders,Srinidhi Traders,"235, D Extension, Kalyan Nagar, B'luru Urban, KA - 560043",Bengaluru Urban,560043,29,Regular,2024-07-13,Active,,,GST-KA-BLRU-2024-000074,ENT-00100
GST-KA-BLRU-2019-000075,M/S Srinidhi Enterprises,Srinidhi Entp,"#195, B Behind Metro, Banashankari, B'luru Urban, KA",Bengaluru Urban,560085,29,Regular,2019-05-01,Cancelled,,,GST-KA-BLRU-2019-000075,ENT-00101
GST-KA-TUM-2020-000076,SHARMA CNC ENTERPRISES,Sharma CNC Enterprises,"#68, A Mn Rd, Antharasanahalli Indl Area, Tumakuru, KA - 572106",Tumakuru,572106,29,Casual Taxable Person,2020-09-25,Suspended,PAN_CF3D72FC68ACC925,GSTIN_D9A2F57AD6276796,GST-KA-TUM-2020-000076,ENT-00102
GST-KA-BLRU-2024-000077,ADITYA GARMENTS INDUSTRIES,Aditya Garments Industries,"No 90, Plot Main Road, Yelahanka, B'luru Urban, KA - 560064",Bengaluru Urban,560064,29,SEZ Unit,2024-09-09,Active,PAN_AAFF359F4A465DD0,GSTIN_690CD349B1174245,GST-KA-BLRU-2024-000077,ENT-00103
GST-KA-BLRU-2020-000078,M/S Navya Printers Traders,,"No 18, Shed Main Road, Electronic City, Bangalore Urban, Karnataka - 560100",Bengaluru Urban,560100,29,Regular,2020-09-09,Suspended,PAN_0EA235E6595FDA7C,GSTIN_F472A00481267E66,GST-KA-BLRU-2020-000078,ENT-00104
GST-KA-BLRU-2021-000079,Kaveri Pvt Ltd,M/S Kaveri,"#86, Behind Metro, BTM Layout, Bangalore Urban, KA - 560029",Bengaluru Urban,560029,29,Regular,2021-02-16,Cancelled,PAN_45FE265FDFB35DE8,GSTIN_EB267CF53746D512,GST-KA-BLRU-2021-000079,ENT-00105
GST-KA-BLRU-2019-000080,M/S Mysore Fashions Enterprises,Mysore Fashions Enterprises,"No 287, D Service Road, Yelahanka, Bengaluru Urban, K'taka - 560064",Bengaluru Urban,560064,29,SEZ Unit,2019-08-02,Active,PAN_B5EF6E45EB57FE76,,GST-KA-BLRU-2019-000080,ENT-00108
GST-KA-TUM-2023-000081,Bangalore Packaging Works,,"No. 135, A 1st Cr, BH Road, Tumakuru, KA - 572101",Tumakuru,572101,29,Regular,2023-05-28,Suspended,PAN_DBCC763950F285C5,,GST-KA-TUM-2023-000081,ENT-00109
GST-KA-BLRU-2025-000082,Sharma Chem LLP,,"#218, B Industrial Layout, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,29,Casual Taxable Person,2025-11-28,Active,PAN_1DABC2C1FF2E9BCB,GSTIN_64543AC915709F68,GST-KA-BLRU-2025-000082,ENT-00110
GST-KA-BLRU-2015-000083,Naveen Polymers Solutions,,"No 64, Shed Sector, HSR Layout, B'luru Urban, Karnataka",Bengaluru Urban,560102,29,Composition,2015-03-01,Active,PAN_92F3E575771488A9,,GST-KA-BLRU-2015-000083,ENT-00111
GST-KA-BLRU-2016-000084,Nandi Bakery Pvt Ltd,Nandi Bakery,"No 99, A 3rd Phase, Peenya Indl Area, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,29,Composition,2016-07-17,Suspended,,,GST-KA-BLRU-2016-000084,ENT-00114
GST-KA-BLRU-2015-000085,M/S BANGALORE CARE WORKS,Bangalore Care Works,"No. 185, C Service Road, Bannerghatta Road, B'luru Urban, Karnataka - 560076",Bengaluru Urban,560076,29,Casual Taxable Person,2015-09-04,Active,,,GST-KA-BLRU-2015-000085,ENT-00115
GST-KA-BLRU-2025-000086,PRAKRUTHI PACKAGING INDUSTRIES,,"No 259, Industrial Layout, Kalyan Nagar, Bangalore Urban, KA - 560043",Bengaluru Urban,560043,29,Composition,2025-09-15,Active,PAN_48CB936EB630942B,,GST-KA-BLRU-2025-000086,ENT-00116
GST-KA-BLRU-2019-000087,Prakruthi Electronics Industries,,"No 121, Shed 3rd Phase, Bannerghatta Road, Bangalore Urban, KA - 560076",Bengaluru Urban,560076,29,SEZ Unit,2019-05-24,Cancelled,,,GST-KA-BLRU-2019-000087,ENT-00118
GST-KA-BLRU-2017-000088,Ravi Solutions,M/S RAVI SOLUTIONS,"#122, 1st Crs, Koramangala, Bangalore Urban, KA - 560034",Bengaluru Urban,560034,29,Casual Taxable Person,2017-06-08,Cancelled,,,GST-KA-BLRU-2017-000088,ENT-00119
GST-KA-BLRR-2022-000089,Aarohi Medical Works,Aarohi Medical Works,"281, A 3rd Phase, Devanahalli, Bangalore Rural, KA - 562110",Bengaluru Rural,562110,29,Regular,2022-04-15,Active,PAN_3426BF4E10BA99AA,,GST-KA-BLRR-2022-000089,ENT-00120
GST-KA-BLRU-2020-000090,M/S Sree Clini Industries,SREE CLINIC INDUSTRIES,"No. 36, Sector, HSR Layout, Bangalore Urban, KA - 560102",Bengaluru Urban,560102,29,SEZ Unit,2020-09-19,Suspended,PAN_994EE32A438CF116,,GST-KA-BLRU-2020-000090,ENT-00121
