shop_license_no,establishment_name,owner_name_masked,address,district,pin_code,registration_date,renewal_due_date,employee_count,status,phone,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
KAR-SHOP-BLRR-2016-000013,Veda Coatings Works,Partner 1,"201, B Service Road, Devanahalli, B'luru Rural, Karnataka",Bengaluru Rural,562110,2016-05-14,2019-05-14,3,CLOSED,,,,KAR-SHOP-BLRR-2016-000013,ENT-00019
KAR-SHOP-MYS-2015-000014,Ravi lastics Works,Managing Partner,"No. 65, B Near Bus Stop, Hebbal Indl Area, Mysuru, KA",Mysuru,570016,2015-02-16,2016-02-16,18,CLOSED,,PAN_52B1F2FB98A9B305,GSTIN_4CD6D2E925B25B01,KAR-SHOP-MYS-2015-000014,ENT-00022
KAR-SHOP-BLRU-2025-000015,Sri Devices Solutions,Managing Partner,"No. 104, Shed Industrial Layout, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,2025-11-26,2030-11-25,12,ACTIVE,,,GSTIN_258B8656D131FB3A,KAR-SHOP-BLRU-2025-000015,ENT-00023
KAR-SHOP-BLRU-2018-000016,Sree Solutions,Partner 1,"#101, A Extension, Banashankari, B'luru Urban, KA - 560085",Bengaluru Urban,560085,2018-08-30,2021-08-29,,CLOSED,,,,KAR-SHOP-BLRU-2018-000016,ENT-00024
KAR-SHOP-BLRU-2022-000017,Harsha Biryani Works,Partner 1,"No. 136, C 1st Cross, Rajajinagar Industrial Suburb, B'luru Urban, Karnataka",Bengaluru Urban,560059,2022-03-25,2027-03-24,8,CLOSED,,PAN_7999756AA132CF9C,,KAR-SHOP-BLRU-2022-000017,ENT-00025
KAR-SHOP-BLRU-2022-000018,Bangalore Moulding Associates,Partner 1,"266, Shed Sector, Bommanahalli, B'luru Urban, Karnataka - 560068",Bengaluru Urban,560068,2022-03-29,2025-03-28,,CLOSED,9000206031,,,KAR-SHOP-BLRU-2022-000018,ENT-00026
KAR-SHOP-MYS-2025-000019,Bangalore Solutions,Partner 1,"No. 108, B Near Bus Stop, Hebbal Industrial Estate, Mysuru, Karnataka - 570016",Mysuru,570016,2025-09-30,2030-09-29,12,ACTIVE,,,,KAR-SHOP-MYS-2025-000019,ENT-00028
KAR-SHOP-BLRR-2017-000020,Bharath Garments Traders,Managing Partner,"18, Plot Extension, Devanahalli, Bengaluru Rural, K'taka - 562110",Bengaluru Rural,562110,2017-03-12,2018-03-12,8,DORMANT,,PAN_F9056F6DC2DB582C,,KAR-SHOP-BLRR-2017-000020,ENT-00030
KAR-SHOP-BLRU-2016-000021,M/S Mysore Entp,Partner 1,"No 256, B Mn Rd, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,2016-04-05,2017-04-05,2,CLOSED,,,,KAR-SHOP-BLRU-2016-000021,ENT-00031
KAR-SHOP-BLRR-2022-000022,Omkar LLP,Managing Partner,"No. 161, Shed Near Bus Stop, Doddaballapura, Bangalore Rural, Karnataka - 561203",Bengaluru Rural,561203,2022-04-25,2025-04-24,85,ACTIVE,,,GSTIN_3B5BA39EC3C6F8CF,KAR-SHOP-BLRR-2022-000022,ENT-00032
KAR-SHOP-MYS-2021-000023,Deccan Industries,Partner 1,"No. 125, D Industrial Layout, Nanjangud Road, Mysuru, KA - 570018",Mysuru,570018,2021-07-17,2022-07-17,,CLOSED,,,,KAR-SHOP-MYS-2021-000023,ENT-00033
KAR-SHOP-BLRU-2022-000024,Kaveri Components Pvt. Ltd.,Owner B,"No 106, Plot Behind Metro, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,2022-02-11,2025-02-10,18,CLOSED,,,,KAR-SHOP-BLRU-2022-000024,ENT-00035
KAR-SHOP-BLRR-2024-000025,Kaveri Cafe LLP,Managing Partner,"144, Mn Rd, Hoskote, Bangalore Rural, K'taka - 562114",Bengaluru Rural,562114,2024-02-29,2025-02-28,,ACTIVE,,PAN_D0431C59929A66AA,,KAR-SHOP-BLRR-2024-000025,ENT-00037
KAR-SHOP-BLRU-2018-000026,M/S Meghana Bites Associates,Owner A,"No. 2, D Sector, Banashankari, B'luru Urban, Karnataka - 560085",Bengaluru Urban,560085,2018-03-10,2023-03-09,,CLOSED,,,,KAR-SHOP-BLRU-2018-000026,ENT-00038
KAR-SHOP-BLRU-2016-000027,M/S Varun Textiles Industries,,"#252, B Near Bus Stop, Bommanahalli, Bengaluru Urban, KA - 560068",Bengaluru Urban,560068,2016-10-08,2019-10-08,,CLOSED,,,,KAR-SHOP-BLRU-2016-000027,ENT-00040
KAR-SHOP-BLRU-2018-000028,Meghana Bites Associates,Managing Partner,"No. 283, A 1st Crs, Banashankari, B'luru Urban, Karnataka - 560085",Bengaluru Urban,560085,2018-03-06,2019-03-06,18,DORMANT,9000324816,,,KAR-SHOP-BLRU-2018-000028,ENT-00041
KAR-SHOP-MYS-2025-000029,M/S Aditya Circuits Works,Director Masked,"No 157, B Extension, Hebbal Indl Area, Mysuru, Karnataka - 570016",Mysuru,570016,2025-01-19,2030-01-18,,ACTIVE,9000332735,,,KAR-SHOP-MYS-2025-000029,ENT-00042
KAR-SHOP-TUM-2024-000030,M/S Kaveri Press Entp,Director Masked,"No 151, D 2nd Main, BH Road, Tumakuru, KA - 572101",Tumakuru,572101,2024-10-10,2027-10-10,10,ACTIVE,,,,KAR-SHOP-TUM-2024-000030,ENT-00043
KAR-SHOP-TUM-2017-000031,Bangalore Garments Solutions,Owner A,"No. 232, A Behind Metro, Antharasanahalli Industrial Area, Tumakuru, KA - 572106",Tumakuru,572106,2017-01-14,2018-01-14,18,ACTIVE,,,,KAR-SHOP-TUM-2017-000031,ENT-00045
KAR-SHOP-BLRU-2023-000032,Ravi LLP,Owner B,"232, Shed Industrial Layout, Kalyan Nagar, Bengaluru Urban, KA - 560043",Bengaluru Urban,560043,2023-06-11,2026-06-10,180,DORMANT,,PAN_7500201471E3B7BA,,KAR-SHOP-BLRU-2023-000032,ENT-00046
KAR-SHOP-TUM-2017-000033,M/S Bangalore Dine Associates,Managing Partner,"#65, A Near Bus Stop, Antharasanahalli Indl Area, Tumakuru, K'taka - 572106",Tumakuru,572106,2017-09-17,2022-09-16,,CLOSED,,,,KAR-SHOP-TUM-2017-000033,ENT-00048
KAR-SHOP-BLRU-2021-000034,Omkar Pvt Ltd,Managing Partner,"No 146, D 3rd Phase, Kalyan Nagar, B'luru Urban, Karnataka - 560043",Bengaluru Urban,560043,2021-09-14,2026-09-13,,CLOSED,9000388168,PAN_70288CFE80E73E3E,GSTIN_551ED194D61A3A39,KAR-SHOP-BLRU-2021-000034,ENT-00049
KAR-SHOP-BLRU-2025-000035,Ananya Print Works,Owner A,"No. 259, Plot Sector, HSR Layout, B'luru Urban, KA - 560102",Bengaluru Urban,560102,2025-07-07,2028-07-06,25,ACTIVE,9000396087,,GSTIN_ACAA7D7367A1CA14,KAR-SHOP-BLRU-2025-000035,ENT-00050
KAR-SHOP-BLRU-2025-000036,M/S Varun Enterprises,Owner A,"No. 144, Plot Service Road, Bannerghatta Road, Bengaluru Urban, K'taka - 560076",Bengaluru Urban,560076,2025-08-03,2028-08-02,18,ACTIVE,,,,KAR-SHOP-BLRU-2025-000036,ENT-00051
KAR-SHOP-BLRU-2019-000037,M/S Naveen Company,Managing Partner,"150, Shed Service Road, Kalyan Nagar, B'luru Urban, K'taka - 560043",Bengaluru Urban,560043,2019-01-21,2022-01-20,10,CLOSED,,PAN_7F27AB95BD05A4AD,,KAR-SHOP-BLRU-2019-000037,ENT-00052
KAR-SHOP-BLRU-2021-000038,Harsha Packaging Enterprises,Director Masked,"No. 28, Plot 1st Crs, Rajajinagar Industrial Suburb, Bangalore Urban, KA",Bengaluru Urban,560059,2021-02-10,2022-02-10,,ACTIVE,,,,KAR-SHOP-BLRU-2021-000038,ENT-00053
KAR-SHOP-BLRU-2022-000039,Srinidhi Milling Traders,,"224, Shed Behind Metro, Whitefield, B'luru Urban, KA - 560037",Bengaluru Urban,560037,2022-12-15,2025-12-14,,DORMANT,9000427763,,,KAR-SHOP-BLRU-2022-000039,ENT-00054
KAR-SHOP-BLRU-2022-000040,Bharath Machining Company,Managing Partner,"#114, Plot Extension, Rajajinagar Industrial Suburb, B'luru Urban, KA",Bengaluru Urban,560059,2022-08-23,2025-08-22,,ACTIVE,,PAN_68D96D53458F1A0C,,KAR-SHOP-BLRU-2022-000040,ENT-00055
KAR-SHOP-BLRU-2015-000041,Bharath Graphics Solutions,Partner 1,"No 262, Sector, Jayanagar, Bangalore Urban, Karnataka",Bengaluru Urban,560078,2015-10-24,2020-10-22,3,CLOSED,,,,KAR-SHOP-BLRU-2015-000041,ENT-00056
KAR-SHOP-MYS-2016-000042,M/S Prakruthi Electronics Industries,,"No 8, Plot Main Rd, Hebbal Industrial Estate, Mysuru, KA - 570016",Mysuru,570016,2016-03-18,2019-03-18,52,DORMANT,,,GSTIN_487CE3E3650EC8AB,KAR-SHOP-MYS-2016-000042,ENT-00057
KAR-SHOP-BLRU-2019-000043,M/S Siddhi Systems LLP,,"285, D Extension, Kalyan Nagar, Bengaluru Urban, KA - 560043",Bengaluru Urban,560043,2019-01-13,2020-01-13,180,DORMANT,9000459439,PAN_61DDEBCDB1F47867,,KAR-SHOP-BLRU-2019-000043,ENT-00058
KAR-SHOP-BLRR-2017-000044,Veda Stitch LLP,Managing Partner,"No 147, A Mn Rd, Hoskote, Bengaluru Rural, KA - 562114",Bengaluru Rural,562114,2017-08-29,2020-08-28,52,CLOSED,9000475277,PAN_53DFB287DCA51FAF,,KAR-SHOP-BLRR-2017-000044,ENT-00060
KAR-SHOP-BLRU-2017-000045,Veda Devices Co,Owner A,"No 236, B Industrial Layout, Koramangala, Bangalore Urban, Karnataka - 560034",Bengaluru Urban,560034,2017-10-17,2020-10-16,,DORMANT,,PAN_351DA89F823C2212,,KAR-SHOP-BLRU-2017-000045,ENT-00064
KAR-SHOP-BLRU-2018-000046,M/S Sri Agro Industries,Partner 1,"275, 1st Crs, Bannerghatta Road, Bengaluru Urban, K'taka - 560076",Bengaluru Urban,560076,2018-03-17,2023-03-16,,DORMANT,,PAN_3951A0735074896F,,KAR-SHOP-BLRU-2018-000046,ENT-00065
KAR-SHOP-BLRU-2017-000047,Sree Dine Co,Director Masked,"152, B Main Road, HSR Layout, Bangalore Urban, KA - 560102",Bengaluru Urban,560102,2017-06-28,2022-06-27,25,CLOSED,,,,KAR-SHOP-BLRU-2017-000047,ENT-00066
KAR-SHOP-BLRU-2018-000048,M/S Sahana Meds Entp,Owner A,"#28, D 1st Cr, BTM Layout, Bengaluru Urban, Karnataka - 560029",Bengaluru Urban,560029,2018-08-06,2021-08-05,18,CLOSED,9000530710,,,KAR-SHOP-BLRU-2018-000048,ENT-00067
KAR-SHOP-MYS-2022-000049,Vijaya Bites Idustries,Director Masked,"100, Plot 1st Cr, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,2022-08-15,2025-08-14,8,DORMANT,9000538629,,,KAR-SHOP-MYS-2022-000049,ENT-00068
KAR-SHOP-BLRU-2017-000050,Sri Spices Solutions,Owner B,"No. 22, Sector, MG Road, B'luru Urban, KA - 560001",Bengaluru Urban,560001,2017-08-21,2022-08-20,,CLOSED,,,,KAR-SHOP-BLRU-2017-000050,ENT-00070
KAR-SHOP-TUM-2015-000051,Prakruth CNC LLP,Managing Partner,"No 3, A Behind Metro, Antharasanahalli Industrial Area, Tumakuru, KA",Tumakuru,572106,2015-11-06,2020-11-04,,ACTIVE,9000562386,,GSTIN_06336E828E872AF8,KAR-SHOP-TUM-2015-000051,ENT-00071
KAR-SHOP-BLRU-2021-000052,M/S Srinidhi Co,,"No. 297, D 1st Crs, Whitefield, B'luru Urban, K'taka - 560037",Bengaluru Urban,560037,2021-09-02,2024-09-01,52,DORMANT,9000578224,PAN_16FFF79FDBB72FE8,,KAR-SHOP-BLRU-2021-000052,ENT-00073
KAR-SHOP-BLRU-2015-000053,M/S Ravi Tech Associates,Owner A,"#84, A Sector, Whitefield Main Rd, B'luru Urban, K'taka - 560066",Bengaluru Urban,560058,2015-02-08,2020-02-07,18,CLOSED,,PAN_4835302AA2861E40,,KAR-SHOP-BLRU-2015-000053,ENT-00075
KAR-SHOP-MYS-2020-000054,Ananya Pharma Traders,Managing Partner,"#262, A 1st Cr, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,2020-02-05,2023-02-04,3,DORMANT,,,,KAR-SHOP-MYS-2020-000054,ENT-00077
KAR-SHOP-BLRR-2019-000055,M/S Aditya Medical Pvt. Ltd.,Partner 1,"282, Extension, Hoskote, Bangalore Rural, Karnataka - 562114",Bengaluru Rural,562114,2019-10-10,2022-10-09,,DORMANT,,,,KAR-SHOP-BLRR-2019-000055,ENT-00078
KAR-SHOP-MYS-2023-000056,Ravi Co,Partner 1,"No 271, A 1st Crs, Hebbal Industrial Estate, Mysuru, KA - 570016",Mysuru,570016,2023-06-29,2028-06-27,3,DORMANT,,,,KAR-SHOP-MYS-2023-000056,ENT-00079
KAR-SHOP-BLRU-2024-000057,Meghana Wear Traders,Managing Partner,"No 120, Plot Sector, Peenya Indl Area, Bangalore Urban, KA - 560058",Bengaluru Urban,560058,2024-09-27,2029-09-26,,ACTIVE,,,,KAR-SHOP-BLRU-2024-000057,ENT-00081
KAR-SHOP-BLRU-2022-000058,M/S Nandi Electronics Solutions,Director Masked,"271, A Extension, Electronic City, B'luru Urban, Karnataka - 560100",Bengaluru Urban,560100,2022-08-27,2027-08-26,8,CLOSED,,,,KAR-SHOP-BLRU-2022-000058,ENT-00083
KAR-SHOP-BLRU-2023-000059,Veda Kitchen Industries,Partner 1,"No 275, Shed 1st Crs, Yelahanka, Bengaluru Urban, K'taka - 560064",Bengaluru Urban,560064,2023-09-23,2028-09-21,25,ACTIVE,9000665333,,GSTIN_8BFD86A7E4C94C5A,KAR-SHOP-BLRU-2023-000059,ENT-00084
KAR-SHOP-MYS-2016-000060,Mysore Works,Owner A,"280, C Industrial Layout, Nanjangud Road, Mysuru, Karnataka - 570018",Mysuru,570018,2016-04-18,2017-04-18,3,CLOSED,,,,KAR-SHOP-MYS-2016-000060,ENT-00085
KAR-SHOP-BLRU-2015-000061,Bharath Biryani Pvt Ltd,Owner A,"94, D Industrial Layout, Bannerghatta Road, B'luru Urban, KA - 560076",Bengaluru Urban,560076,2015-11-04,2018-11-03,10,CLOSED,9000697009,PAN_6B3CF6A834CD32BE,,KAR-SHOP-BLRU-2015-000061,ENT-00088
KAR-SHOP-BLRU-2019-000062,Bharath Tech Associats,Partner 1,"54, D 3rd Phase, BTM Layout, B'luru Urban, Karnataka",Bengaluru Urban,560029,2019-08-16,2024-08-14,,DORMANT,9000712847,PAN_2DA615F179254D21,GSTIN_095CC47503753CCB,KAR-SHOP-BLRU-2019-000062,ENT-00090
KAR-SHOP-BLRU-2021-000063,M/S Sharma Stitch Enterprises,,"No 142, D 3rd Phase, Peenya Industrial Area, Bengaluru Urban, KA - 560058",Bengaluru Urban,560058,2021-06-06,2022-06-06,25,CLOSED,,,,KAR-SHOP-BLRU-2021-000063,ENT-00091
KAR-SHOP-BLRU-2023-000064,Prakruthi Care Industries,Director Masked,"42, C Behind Metro, Rajajinagar Industrial Suburb, Bangalore Urban, Karnataka - 560059",Bengaluru Urban,560059,2023-03-17,2028-03-15,52,DORMANT,,,,KAR-SHOP-BLRU-2023-000064,ENT-00092
KAR-SHOP-BLRU-2015-000065,Sharma Biryani Pv Ltd,Owner B,"52, Plot 2nd Main, Bommanahalli, Bengaluru Urban, K'taka - 560068",Bengaluru Urban,560068,2015-05-06,2020-05-04,4,CLOSED,,,,KAR-SHOP-BLRU-2015-000065,ENT-00094
KAR-SHOP-BLRU-2016-000066,Decan Packaging Traders,Managing Partner,"No. 211, C 1st Cr, BTM Layout, B'luru Urban, Karnataka - 560029",Bengaluru Urban,560029,2016-12-18,2017-12-18,52,CLOSED,9000752442,,,KAR-SHOP-BLRU-2016-000066,ENT-00095
KAR-SHOP-MYS-2023-000067,M/S Ananya Devices Solutions,Owner A,"250, D Extension, Hebbal Indl Area, Mysuru, KA - 570016",Mysuru,570016,2023-01-07,2024-01-07,,DORMANT,9000760361,,,KAR-SHOP-MYS-2023-000067,ENT-00096
KAR-SHOP-BLRU-2025-000068,Ganesh Works,,"76, B Industrial Layout, BTM Layout, Bangalore Urban, K'taka - 560029",Bengaluru Urban,560029,2025-09-06,2026-09-06,,ACTIVE,9000776199,,GSTIN_21E1AB5D76E10596,KAR-SHOP-BLRU-2025-000068,ENT-00098
KAR-SHOP-BLRR-2019-000069,Mysore Cargo Solutions,Partner 1,"No 62, Shed 1st Cr, Hoskote, Bengaluru Rural, KA - 562114",Bengaluru Rural,562114,2019-11-26,2024-11-24,120,CLOSED,,,GSTIN_9D23D1FC7C1597DC,KAR-SHOP-BLRR-2019-000069,ENT-00099
KAR-SHOP-BLRU-2018-000070,Srinidhi Enterprises,Owner A,"No 195, B Behind Metro, Banashankari, Bangalore Urban, K'taka - 560085",Bengaluru Urban,560085,2018-09-08,2023-09-07,8,CLOSED,,,,KAR-SHOP-BLRU-2018-000070,ENT-00101
KAR-SHOP-TUM-2021-000071,Sharma CNC Entp,Owner B,"No 68, A Main Rd, Antharasanahalli Industrial Estate, Tumakuru, K'taka - 572106",Tumakuru,572106,2021-05-15,2024-05-14,12,DORMANT,,,,KAR-SHOP-TUM-2021-000071,ENT-00102
KAR-SHOP-BLRU-2019-000072,Navya Printers Traders,Director Masked,"#18, Shed Main Rd, Electronic City, Bangalore Urban, K'taka - 560100",Bengaluru Urban,560100,2019-04-24,2022-04-23,5,DORMANT,,,,KAR-SHOP-BLRU-2019-000072,ENT-00104
KAR-SHOP-MYS-2015-000073,M/S Harsha Industries,Owner A,"#45, Extension, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,2015-09-21,2020-09-19,4,CLOSED,,,,KAR-SHOP-MYS-2015-000073,ENT-00107
KAR-SHOP-BLRU-2024-000074,Harsha Tools Associates,Director Masked,"No 299, C Industrial Layout, MG Road, Bengaluru Urban, KA - 560001",Bengaluru Urban,560001,2024-03-04,2029-03-03,,DORMANT,,PAN_1ED35C49BCEF6450,,KAR-SHOP-BLRU-2024-000074,ENT-00113
KAR-SHOP-BLRU-2022-000075,Nandi Bakery Pvt Ltd,Owner A,"No 99, A 3rd Phase, Peenya Indl Area, B'luru Urban, K'taka - 560058",Bengaluru Urban,560058,2022-08-23,2027-08-22,52,ACTIVE,,,,KAR-SHOP-BLRU-2022-000075,ENT-00114
KAR-SHOP-BLRU-2016-000076,Bangalore Care Works,Director Masked,"185, C Service Road, Bannerghatta Road, B'luru Urban, KA - 560076",Bengaluru Urban,560076,2016-12-11,2019-12-11,180,CLOSED,9000910822,,,KAR-SHOP-BLRU-2016-000076,ENT-00115
KAR-SHOP-BLRU-2025-000077,M/S Prakruthi Packaging Industries,Managing Partner,"#259, Industrial Layout, Kalyan Nagar, B'luru Urban, Karnataka - 560043",Bengaluru Urban,560043,2025-07-18,2030-07-17,18,ACTIVE,,PAN_48CB936EB630942B,,KAR-SHOP-BLRU-2025-000077,ENT-00116
KAR-SHOP-BLRU-2015-000078,M/S Prakruthi Electronics Industries,Partner 1,"No. 121, Shed 3rd Phase, Bannerghatta Road, Bangalore Urban, KA - 560076",Bengaluru Urban,560076,2015-05-30,2016-05-29,12,CLOSED,,,,KAR-SHOP-BLRU-2015-000078,ENT-00118
KAR-SHOP-BLRR-2016-000079,M/S Aarohi Medical Works,Director Masked,"No 281, A 3rd Phase, Devanahalli, Bengaluru Rural, K'taka",Bengaluru Rural,562110,2016-08-23,2019-08-23,,CLOSED,,PAN_3426BF4E10BA99AA,,KAR-SHOP-BLRR-2016-000079,ENT-00120
KAR-SHOP-BLRU-2016-000080,Sree Clinic Industries,,"No 36, Sector, HSR Layout, Bangalore Urban, K'taka - 560102",Bengaluru Urban,560102,2016-05-16,2021-05-15,4,CLOSED,9000958336,,,KAR-SHOP-BLRU-2016-000080,ENT-00121
KAR-SHOP-BLRU-2022-000081,Aarohi Apparels Company,Managing Partner,"136, D 3rd Phase, Bannerghatta Road, B'luru Urban, Karnataka - 560076",Bengaluru Urban,560076,2022-06-24,2023-06-24,120,DORMANT,9000966255,,,KAR-SHOP-BLRU-2022-000081,ENT-00122
KAR-SHOP-BLRU-2020-000082,Nisarga Industrial Co,Managing Partner,"#194, A Behind Metro, Hebbal, Bangalore Urban, KA - 560024",Bengaluru Urban,560024,2020-02-12,2023-02-11,12,ACTIVE,,,,KAR-SHOP-BLRU-2020-000082,ENT-00123
KAR-SHOP-BLRU-2023-000083,Sahana Works Company,Managing Partner,"No 50, Sector, Rajajinagar Industrial Suburb, Bengaluru Urban, KA - 560059",Bengaluru Urban,560059,2023-01-06,2024-01-06,10,DORMANT,9000982093,,,KAR-SHOP-BLRU-2023-000083,ENT-00124
KAR-SHOP-BLRU-2015-000084,M/S Navya Snacks Industries,Director Masked,"No. 87, Plot 2nd Main, Electronic City, B'luru Urban, K'taka - 560100",Bengaluru Urban,560100,2015-02-02,2018-02-01,,CLOSED,,,,KAR-SHOP-BLRU-2015-000084,ENT-00125
KAR-SHOP-MYS-2018-000085,Sahana Garments Co,,"98, D Extension, Nanjangud Road, Mysuru, K'taka - 570018",Mysuru,570018,2018-10-24,2023-10-23,5,DORMANT,,,,KAR-SHOP-MYS-2018-000085,ENT-00126
KAR-SHOP-BLRR-2021-000086,Srinidhi Co,,"144, 3rd Phase, Devanahalli, Bangalore Rural, Karnataka - 562110",Bengaluru Rural,562110,2021-11-29,2026-11-28,120,DORMANT,9001013769,,,KAR-SHOP-BLRR-2021-000086,ENT-00128
KAR-SHOP-BLRU-2024-000087,Kaveri Cargo Solutions,,"No 1, 2nd Main, Peenya Indl Area, B'luru Urban, K'taka",Bengaluru Urban,560058,2024-12-13,2025-12-13,180,ACTIVE,,,,KAR-SHOP-BLRU-2024-000087,ENT-00130
KAR-SHOP-BLRR-2017-000088,Sri Kitchen Entp,Owner B,"#128, A Extension, Hoskote, Bangalore Rural, Karnataka",Bengaluru Rural,562114,2017-09-13,2022-09-12,12,CLOSED,9001045445,,,KAR-SHOP-BLRR-2017-000088,ENT-00132
KAR-SHOP-MYS-2021-000089,Sri Moulding Works,Director Masked,"#257, B Service Road, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,2021-10-01,2026-09-30,,DORMANT,,,,KAR-SHOP-MYS-2021-000089,ENT-00133
KAR-SHOP-BLRR-2020-000090,M/S Kaveri Textiles Enterprises,Partner 1,"282, D 3rd Phase, Devanahalli, B'luru Rural, Karnataka - 562110",Bengaluru Rural,562110,2020-09-19,2023-09-19,,ACTIVE,,,,KAR-SHOP-BLRR-2020-000090,ENT-00135
KAR-SHOP-BLRU-2021-000091,Omkar Agro Co,Director Masked,"No. 138, 1st Cross, Electronic City, B'luru Urban, K'taka - 560100",Bengaluru Urban,560100,2021-12-29,2026-12-28,,ACTIVE,9001085040,,,KAR-SHOP-BLRU-2021-000091,ENT-00137
KAR-SHOP-MYS-2022-000092,Meghana Meals Industries,Managing Partner,"244, B 1st Crs, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,2022-11-30,2023-11-30,85,DORMANT,9001092959,,,KAR-SHOP-MYS-2022-000092,ENT-00138
KAR-SHOP-BLRU-2019-000093,M/S Harsha Works Co,Managing Partner,"No. 1, D 2nd Main, Whitefield, Bengaluru Urban, KA",Bengaluru Urban,560037,2019-01-13,2022-01-12,25,DORMANT,,,,KAR-SHOP-BLRU-2019-000093,ENT-00139
KAR-SHOP-BLRU-2017-000094,Omkar Agro Company,Partner 1,"No 114, B Behind Metro, Bommanahalli, B'luru Urban, Karnataka - 560068",Bengaluru Urban,560068,2017-11-16,2018-11-16,18,DORMANT,,,,KAR-SHOP-BLRU-2017-000094,ENT-00140
