factory_license_no,factory_name,occupier_name_masked,factory_address,district,pin_code,industry_type,nic_code,workers_count,registration_year,last_inspection_date,status,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
KFBIS-FAC-BLRU-2021-000011,M/S Sri Devices Solutions,Owner A,"104, Shed Industrial Layout, HSR Layout, B'luru Urban, Karnataka - 560102",Bengaluru Urban,560102,Electronics Assembly,2610,,2021,2026-01-08,ACTIVE,,,KFBIS-FAC-BLRU-2021-000011,ENT-00023
KFBIS-FAC-BLRU-2025-000012,Harsha Biryani Works,Director Masked,"136, C 1st Crs, Rajajinagar Industrial Suburb, B'luru Urban, KA - 560059",Bengaluru Urban,560059,Restaurant / Cafe,5610,,2025,2026-02-12,ACTIVE,,,KFBIS-FAC-BLRU-2025-000012,ENT-00025
KFBIS-FAC-BLRU-2025-000013,Bangalore Moulding Associates,,"266, Shed Sector, Bommanahalli, B'luru Urban, K'taka - 560068",Bengaluru Urban,560068,Plastic Moulding,2220,18,2025,2026-04-26,ACTIVE,,,KFBIS-FAC-BLRU-2025-000013,ENT-00026
KFBIS-FAC-BLRU-2016-000014,Sree Electronics Industries,,"50, B Industrial Layout, Rajajinagar Industrial Suburb, Bangalore Urban, KA - 560059",Bengaluru Urban,560059,Electronics Assembly,2610,36,2016,2019-12-05,CLOSED,,,KFBIS-FAC-BLRU-2016-000014,ENT-00027
KFBIS-FAC-BLRU-2019-000015,Asha Co,Director Masked,"No 177, C 2nd Main, Yelahanka, Bangalore Urban, K'taka - 560064",Bengaluru Urban,560064,Textile / Garments,1410,120,2019,2026-01-06,ACTIVE,,,KFBIS-FAC-BLRU-2019-000015,ENT-00029
KFBIS-FAC-BLRR-2022-000016,Bharath Garments Traders,Partner 1,"#18, Plot Extension, Devanahalli, Bengaluru Rural, K'taka - 562110",Bengaluru Rural,562110,Textile / Garments,1410,,2022,2023-06-26,DORMANT,PAN_F9056F6DC2DB582C,,KFBIS-FAC-BLRR-2022-000016,ENT-00030
KFBIS-FAC-BLRU-2015-000017,Mysore Enterprises,Owner B,"No. 256, B Mn Rd, HSR Layout, B'luru Urban, Karnataka - 560102",Bengaluru Urban,560102,Machine Tools,2819,2,2015,2020-07-02,CLOSED,PAN_8895582F81504CB2,,KFBIS-FAC-BLRU-2015-000017,ENT-00031
KFBIS-FAC-BLRR-2025-000018,M/S Kaveri Cafe LLP,Owner A,"144, Mn Rd, Hoskote, Bangalore Rural, KA - 562114",Bengaluru Rural,562114,Restaurant / Cafe,5610,,2025,2025-12-30,ACTIVE,,GSTIN_07235E6F9DBD73DE,KFBIS-FAC-BLRR-2025-000018,ENT-00037
KFBIS-FAC-BLRU-2022-000019,Nisarga Industrial Co,,"#203, C Service Road, Hebbal, Bengaluru Urban, Karnataka - 560024",Bengaluru Urban,560024,Chemical Blending,2029,,2022,2024-03-27,DORMANT,PAN_7A63FC27AAA81041,GSTIN_3A93BE22DF25C0F1,KFBIS-FAC-BLRU-2022-000019,ENT-00039
KFBIS-FAC-TUM-2018-000020,Bangalore Garments Solutions,Partner 1,"#232, A Behind Metro, Antharasanahalli Indl Area, Tumakuru, KA - 572106",Tumakuru,572106,Textile / Garments,1410,18,2018,2023-12-15,DORMANT,,,KFBIS-FAC-TUM-2018-000020,ENT-00045
KFBIS-FAC-BLRU-2024-000021,Nandi Solvents LLP,,"No. 219, B 3rd Phase, Electronic City, Bengaluru Urban, Karnataka - 560100",Bengaluru Urban,560100,Chemical Blending,2029,52,2024,2025-04-08,DORMANT,PAN_E7B290F18067E2B8,,KFBIS-FAC-BLRU-2024-000021,ENT-00047
KFBIS-FAC-BLRU-2016-000022,M/S Omkar Pvt Ltd,,"146, D 3rd Phase, Kalyan Nagar, Bangalore Urban, KA - 560043",Bengaluru Urban,560043,Plastic Moulding,2220,180,2016,2018-06-28,CLOSED,PAN_70288CFE80E73E3E,,KFBIS-FAC-BLRU-2016-000022,ENT-00049
KFBIS-FAC-BLRU-2015-000023,M/S Harsha Packaging Enterprises,Owner B,"28, Plot 1st Cross, Rajajinagar Industrial Suburb, Bangalore Urban, KA - 560059",Bengaluru Urban,560059,Plastic Moulding,2220,18,2015,2017-04-06,CLOSED,PAN_C2E0BB3AE997AD15,,KFBIS-FAC-BLRU-2015-000023,ENT-00053
KFBIS-FAC-BLRU-2019-000024,Bharath Machining Company,Director Masked,"#114, Plot Extension, Rajajinagar Industrial Suburb, Bangalore Urban, K'taka - 560059",Bengaluru Urban,560029,Machine Tools,2819,25,2019,2021-09-24,CLOSED,PAN_68D96D53458F1A0C,GSTIN_E2E13346CEC78FD1,KFBIS-FAC-BLRU-2019-000024,ENT-00055
KFBIS-FAC-MYS-2018-000025,M/S Prakruthi Electronics Industries,Owner B,"No 8, Plot Main Road, Hebbal Industrial Area, Mysuru, K'taka - 570016",Mysuru,570016,Electronics Assembly,2610,,2018,2023-12-13,DORMANT,,,KFBIS-FAC-MYS-2018-000025,ENT-00057
KFBIS-FAC-MYS-2019-000026,Bangalore Apparels Company,Owner A,"No. 249, D 3rd Phase, Nanjangud Road, Mysuru, Karnataka - 570018",Mysuru,570018,Textile / Garments,1410,4,2019,2020-09-28,CLOSED,,,KFBIS-FAC-MYS-2019-000026,ENT-00059
KFBIS-FAC-BLRR-2022-000027,Veda Stitch LLP,Director Masked,"147, A Mn Rd, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Textile / Garments,1410,52,2022,2023-06-02,DORMANT,,,KFBIS-FAC-BLRR-2022-000027,ENT-00060
KFBIS-FAC-BLRR-2025-000028,Srinidhi Labs Industries,,"No. 287, A Main Rd, Hoskote, Bengaluru Rural, KA - 562114",Bengaluru Rural,562114,Chemical Blending,2029,12,2025,2026-02-26,CLOSED,,,KFBIS-FAC-BLRR-2025-000028,ENT-00061
KFBIS-FAC-TUM-2023-000029,Lakshmi Graphics Works,,"#278, Plot Near Bus Stop, BH Road, Tumakuru, KA - 572101",Tumakuru,572101,Printing / Packaging,1811,52,2023,2026-02-11,ACTIVE,,,KFBIS-FAC-TUM-2023-000029,ENT-00063
KFBIS-FAC-BLRU-2023-000030,M/S Veda Devices Co,,"No 236, B Industrial Layout, Koramangala, Bengaluru Urban, Karnataka - 560034",Bengaluru Urban,560034,Electronics Assembly,2610,180,2023,2024-11-01,DORMANT,,,KFBIS-FAC-BLRU-2023-000030,ENT-00064
KFBIS-FAC-TUM-2018-000031,Prakruthi CNC LLP,,"3, A Behind Metro, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",Tumakuru,572106,Machine Tools,2819,8,2018,2021-11-05,CLOSED,,,KFBIS-FAC-TUM-2018-000031,ENT-00071
KFBIS-FAC-BLRU-2019-000032,Siddhi Bakery LLP,Partner 1,"No. 83, A Main Road, Bannerghatta Road, Bangalore Urban, Karnataka - 560076",Bengaluru Urban,560076,Food Processing,1030,8,2019,2021-05-22,CLOSED,,,KFBIS-FAC-BLRU-2019-000032,ENT-00072
KFBIS-FAC-BLRU-2022-000033,Srinidhi Company,Managing Partner,"#297, D 1st Cr, Whitefield, Bangalore Urban, Karnataka - 560037",Bengaluru Urban,560037,Plastic Moulding,2220,,2022,2024-01-05,DORMANT,PAN_16FFF79FDBB72FE8,,KFBIS-FAC-BLRU-2022-000033,ENT-00073
KFBIS-FAC-BLRU-2018-000034,M/S Kaveri Labels Traders,Director Masked,"No 129, B Sector, Banashankari, B'luru Urban, KA - 560085",Bengaluru Urban,560085,Printing / Packaging,1811,5,2018,2020-05-13,CLOSED,,,KFBIS-FAC-BLRU-2018-000034,ENT-00074
KFBIS-FAC-BLRU-2015-000035,Rai Tech Associates,Director Masked,"No 84, A Sector, Whitefield Main Rd, Bengaluru Urban, K'taka - 560066",Bengaluru Urban,560066,Electronics Assembly,2610,18,2015,2020-10-01,CLOSED,PAN_4835302AA2861E40,GSTIN_71882A0932EC0D09,KFBIS-FAC-BLRU-2015-000035,ENT-00075
KFBIS-FAC-TUM-2016-000036,M/S Bangalore Coatings Co,Owner B,"No 165, C Main Road, Antharasanahalli Indl Area, Tumakuru, K'taka - 572106",Tumakuru,572106,Chemical Blending,2029,,2016,2018-05-24,CLOSED,PAN_516B5EF3CF48BF46,GSTIN_11E6F7435D81D109,KFBIS-FAC-TUM-2016-000036,ENT-00076
KFBIS-FAC-BLRU-2017-000037,Meghana Coatings Traders,,"#203, B Behind Metro, Bommanahalli, Bangalore Urban, Karnataka - 560068",Bengaluru Urban,560068,Chemical Blending,2029,,2017,2020-01-15,CLOSED,PAN_ED5E7F18A4978A5D,,KFBIS-FAC-BLRU-2017-000037,ENT-00080
KFBIS-FAC-BLRU-2022-000038,Meghana Wear Traders,,"No. 120, Plot Sector, Peenya Indl Area, Bangalore Urban, Karnataka - 560058",Bengaluru Urban,560058,Textile / Garments,1410,5,2022,2023-10-25,DORMANT,,,KFBIS-FAC-BLRU-2022-000038,ENT-00081
KFBIS-FAC-MYS-2021-000039,Prakruthi Packaging Solutins,Partner 1,"No. 142, B Behind Metro, Hebbal Indl Area, Mysuru, Karnataka - 570016",Mysuru,570016,Plastic Moulding,2220,,2021,2024-07-30,DORMANT,PAN_5CC67906073C93C3,GSTIN_06A775EFABA058E4,KFBIS-FAC-MYS-2021-000039,ENT-00082
KFBIS-FAC-BLRU-2020-000040,Nandi Electronics Solutions,,"#271, A Extension, Electronic City, Bengaluru Urban, Karnataka",Bengaluru Urban,560100,Electronics Assembly,2610,,2020,2022-08-22,CLOSED,,,KFBIS-FAC-BLRU-2020-000040,ENT-00083
KFBIS-FAC-MYS-2018-000041,M/S Mysore Works,Managing Partner,"280, C Industrial Layout, Nanjangud Road, Mysuru, KA - 570018",Mysuru,570018,Electronics Assembly,2610,3,2018,2023-02-10,CLOSED,,,KFBIS-FAC-MYS-2018-000041,ENT-00085
KFBIS-FAC-BLRU-2017-000042,M/S Kaveri Labs Pvt Ltd,Partner 1,"No. 71, A Near Bus Stop, Whitefield, Bangalore Urban, KA - 560037",Bengaluru Urban,560037,Chemical Blending,2029,,2017,2020-06-11,CLOSED,,,KFBIS-FAC-BLRU-2017-000042,ENT-00086
KFBIS-FAC-MYS-2023-000043,M/S Bangalore Works,Director Masked,"No. 139, D 2nd Main, Hebbal Industrial Estate, Mysuru, KA - 570016",Mysuru,570016,Printing / Packaging,1811,,2023,2024-12-14,DORMANT,,GSTIN_5BB93A896805D600,KFBIS-FAC-MYS-2023-000043,ENT-00089
KFBIS-FAC-BLRU-2015-000044,Bharath Tech Associates,,"No. 54, D 3rd Phase, BTM Layout, Bangalore Urban, Karnataka - 560029",Bengaluru Urban,560029,Electronics Assembly,2610,18,2015,2024-12-16,DORMANT,,,KFBIS-FAC-BLRU-2015-000044,ENT-00090
KFBIS-FAC-BLRU-2017-000045,Sharma Stitch Enterprises,Partner 1,"#142, D 3rd Phase, Peenya Indl Area, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,Textile / Garments,1410,,2017,2021-08-15,CLOSED,,,KFBIS-FAC-BLRU-2017-000045,ENT-00091
KFBIS-FAC-BLRU-2017-000046,Kaveri Systems Pvt Ltd,Owner A,"No. 51, B 3rd Phase, HSR Layout, B'luru Urban, K'taka - 560102",Bengaluru Urban,560102,Electronics Assembly,2610,,2017,2017-08-26,CLOSED,,,KFBIS-FAC-BLRU-2017-000046,ENT-00093
KFBIS-FAC-BLRU-2023-000047,M/S Deccan Packaging Traders,Managing Partner,"#211, C 1st Crs, BTM Layout, Bangalore Urban, Karnataka - 560029",Bengaluru Urban,560029,Printing / Packaging,1811,,2023,2024-06-08,DORMANT,,,KFBIS-FAC-BLRU-2023-000047,ENT-00095
KFBIS-FAC-MYS-2024-000048,Ananya Devices Solutions,Managing Partner,"No. 250, D Extension, Hebbal Industrial Area, Mysuru, KA - 570016",Mysuru,570016,Electronics Assembly,2610,18,2024,2025-09-28,ACTIVE,,GSTIN_3B0B225DA27E5FC2,KFBIS-FAC-MYS-2024-000048,ENT-00096
KFBIS-FAC-BLRU-2017-000049,M/S Ananya Labs Pvt Ltd,,"No 216, Shed Behind Metro, Banashankari, Bangalore Urban, Karnataka - 560085",Bengaluru Urban,560085,Chemical Blending,2029,2,2017,2020-11-05,CLOSED,PAN_F23A85C0426F601B,GSTIN_86D7D7F0675821B5,KFBIS-FAC-BLRU-2017-000049,ENT-00097
KFBIS-FAC-BLRU-2022-000050,Srinidhi Enterprises,Owner B,"#195, B Behind Metro, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Machine Tools,2819,,2022,2023-02-10,CLOSED,,,KFBIS-FAC-BLRU-2022-000050,ENT-00101
KFBIS-FAC-BLRU-2015-000051,Navya Printers Traders,,"#18, Shed Main Road, Electronic City, Bangalore Urban, K'taka - 560100",Bengaluru Urban,560100,Printing / Packaging,1811,5,2015,2022-01-08,CLOSED,PAN_0EA235E6595FDA7C,,KFBIS-FAC-BLRU-2015-000051,ENT-00104
KFBIS-FAC-BLRU-2022-000052,Kaveri Pvt Ltd,Partner 1,"No. 86, Behind Metro, BTM Layout, Bengaluru Urban, K'taka - 560029",Bengaluru Urban,560029,Plastic Moulding,2220,18,2022,2023-12-10,DORMANT,PAN_45FE265FDFB35DE8,,KFBIS-FAC-BLRU-2022-000052,ENT-00105
KFBIS-FAC-BLRU-2023-000053,Mysore Fashions Entp,Owner A,"#287, D Service Road, Yelahanka, Bengaluru Urban, Karnataka - 560064",Bengaluru Urban,560064,Textile / Garments,1410,3,2023,2024-08-22,DORMANT,PAN_B5EF6E45EB57FE76,,KFBIS-FAC-BLRU-2023-000053,ENT-00108
KFBIS-FAC-TUM-2019-000054,Bangalore Packaging Works,,"No. 135, A 1st Crs, BH Road, Tumakuru, Karnataka - 572101",Tumakuru,572101,Plastic Moulding,2220,,2019,2019-11-22,CLOSED,,,KFBIS-FAC-TUM-2019-000054,ENT-00109
KFBIS-FAC-BLRU-2018-000055,M/S Sharma Chem LP,Director Masked,"#218, B Industrial Layout, Banashankari, Bengaluru Urban, Karnataka",Bengaluru Urban,560085,Chemical Blending,2029,,2018,2018-12-25,CLOSED,PAN_1DABC2C1FF2E9BCB,GSTIN_64543AC915709F68,KFBIS-FAC-BLRU-2018-000055,ENT-00110
KFBIS-FAC-BLRU-2021-000056,Naveen Polymers Solutions,Partner 1,"No. 64, Shed Sector, HSR Layout, B'luru Urban, Karnataka - 560102",Bengaluru Urban,560102,Plastic Moulding,2220,,2021,2024-03-25,DORMANT,,,KFBIS-FAC-BLRU-2021-000056,ENT-00111
KFBIS-FAC-BLRU-2022-000057,Ananya Solutions,,"No. 218, B Industrial Layout, Hebbal, Bangalore Urban, K'taka - 560024",Bengaluru Urban,560024,Chemical Blending,2029,,2022,2023-04-01,CLOSED,,GSTIN_BB797D1DB0FEF6B9,KFBIS-FAC-BLRU-2022-000057,ENT-00112
KFBIS-FAC-BLRU-2022-000058,Harsha Tools Associates,Managing Partner,"#299, C Industrial Layout, MG Road, Bengaluru Urban, Karnataka - 560001",Bengaluru Urban,560001,Machine Tools,2819,36,2022,2026-03-20,ACTIVE,PAN_1ED35C49BCEF6450,,KFBIS-FAC-BLRU-2022-000058,ENT-00113
KFBIS-FAC-BLRU-2023-000059,Nandi Bakery Pvt Ltd,Owner B,"No. 99, A 3rd Phase, Peenya Indl Area, Bangalore Urban, KA - 560058",Bengaluru Urban,560058,Food Processing,1030,52,2023,2025-02-01,DORMANT,,,KFBIS-FAC-BLRU-2023-000059,ENT-00114
KFBIS-FAC-TUM-2015-000060,Mysore Printers Company,Managing Partner,"No. 229, Industrial Layout, Antharasanahalli Industrial Area, Tumakuru, KA - 572106",Tumakuru,572106,Printing / Packaging,1811,4,2015,2020-11-12,CLOSED,,,KFBIS-FAC-TUM-2015-000060,ENT-00117
KFBIS-FAC-BLRU-2025-000061,Prakruthi Electonics Industries,Partner 1,"No. 121, Shed 3rd Phase, Bannerghatta Road, Bangalore Urban, Karnataka - 560076",Bengaluru Urban,560076,Electronics Assembly,2610,,2025,2026-03-16,ACTIVE,,,KFBIS-FAC-BLRU-2025-000061,ENT-00118
KFBIS-FAC-BLRR-2016-000062,Aarohi Medical Works,Partner 1,"No. 281, A 3rd Phase, Devanahalli, Bengaluru Rural, K'taka - 562110",Bengaluru Rural,562110,Pharmacy / Medical Retail,4772,4,2016,2019-09-09,CLOSED,,,KFBIS-FAC-BLRR-2016-000062,ENT-00120
KFBIS-FAC-BLRU-2020-000063,M/S Sree Clinic Industries,Owner A,"#36, Sector, HSR Layout, Bangalore Urban, Karnataka - 560102",Bengaluru Urban,560102,Pharmacy / Medical Retail,4772,4,2020,2025-08-13,ACTIVE,,GSTIN_9BFDA5A314E1227A,KFBIS-FAC-BLRU-2020-000063,ENT-00121
KFBIS-FAC-BLRU-2018-000064,Aarohi Aparels Co,,"136, D 3rd Phase, Bannerghatta Road, B'luru Urban, KA - 560076",Bengaluru Urban,560076,Textile / Garments,1410,120,2018,2022-01-31,CLOSED,,GSTIN_4C0AA1E5E21474CB,KFBIS-FAC-BLRU-2018-000064,ENT-00122
KFBIS-FAC-BLRU-2024-000065,Sahana Works Company,Owner A,"50, Sector, Rajajinagar Industrial Suburb, B'luru Urban, KA",Bengaluru Urban,560059,Machine Tools,2819,10,2024,2025-11-12,ACTIVE,,,KFBIS-FAC-BLRU-2024-000065,ENT-00124
KFBIS-FAC-BLRU-2018-000066,Navya Snacks Industries,Owner A,"No 87, Plot 2nd Main, Electronic City, Bengaluru Urban, Karnataka - 560100",Bengaluru Urban,560100,Food Processing,1030,52,2018,2023-01-20,CLOSED,,,KFBIS-FAC-BLRU-2018-000066,ENT-00125
KFBIS-FAC-MYS-2025-000067,M/S Sri Moulding Works,Partner 1,"257, B Service Road, Devaraja Mohalla, Mysuru, K'taka - 570001",Mysuru,570001,Plastic Moulding,2220,18,2025,2025-11-11,ACTIVE,,,KFBIS-FAC-MYS-2025-000067,ENT-00133
KFBIS-FAC-BLRR-2021-000068,Kaveri Textiles Enterprises,Director Masked,"#282, D 3rd Phase, Devanahalli, B'luru Rural, KA - 562110",Bengaluru Rural,562110,Textile / Garments,1410,,2021,2022-04-14,CLOSED,PAN_23C81105E0EECC7E,,KFBIS-FAC-BLRR-2021-000068,ENT-00135
KFBIS-FAC-BLRU-2017-000069,Aarohi Bakery Industries,Owner B,"#294, D Extension, Yelahanka, Bengaluru Urban, KA - 560064",Bengaluru Urban,560064,Food Processing,1030,25,2017,2025-07-07,ACTIVE,PAN_A883E527E0C56927,,KFBIS-FAC-BLRU-2017-000069,ENT-00136
KFBIS-FAC-BLRU-2021-000070,Omkar Agro Company,Director Masked,"#114, B Behind Metro, Bommanahalli, Bangalore Urban, K'taka - 560068",Bengaluru Urban,560068,Food Processing,1030,18,2021,2025-05-25,ACTIVE,,,KFBIS-FAC-BLRU-2021-000070,ENT-00140
KFBIS-FAC-MYS-2025-000071,Nisarga Packaging Traders,Director Masked,"No. 249, Shed Industrial Layout, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,Plastic Moulding,2220,5,2025,2025-12-29,ACTIVE,PAN_9242B1A8BB94D8E6,GSTIN_29D9D9B3327F96E0,KFBIS-FAC-MYS-2025-000071,ENT-00141
KFBIS-FAC-BLRU-2024-000072,Siddhi Pvt Ltd,,"#57, Shed 1st Cr, Jayanagar, Bengaluru Urban, K'taka - 560078",Bengaluru Urban,560078,Electronics Assembly,2610,36,2024,2025-11-01,ACTIVE,PAN_E7BA1C541B523007,,KFBIS-FAC-BLRU-2024-000072,ENT-00143
KFBIS-FAC-BLRU-2018-000073,M/S Udupi Circuits LLP,Managing Partner,"No. 155, Behind Metro, Kalyan Nagar, Bengaluru Urban, K'taka - 560043",Bengaluru Urban,560043,Electronics Assembly,2610,10,2018,2020-03-18,CLOSED,,,KFBIS-FAC-BLRU-2018-000073,ENT-00146
KFBIS-FAC-BLRU-2022-000074,Vijaya Tools Solutions,Partner 1,"No. 219, Plot Sector, Banashankari, B'luru Urban, KA - 560085",Bengaluru Urban,560085,Machine Tools,2819,36,2022,2024-09-01,DORMANT,,,KFBIS-FAC-BLRU-2022-000074,ENT-00148
KFBIS-FAC-BLRR-2024-000075,Lakshmi Graphics Solutions,Owner A,"No. 176, A Extension, Hoskote, Bengaluru Rural, Karnataka",Bengaluru Rural,562114,Printing / Packaging,1811,,2024,2025-01-05,DORMANT,,,KFBIS-FAC-BLRR-2024-000075,ENT-00151
KFBIS-FAC-BLRR-2024-000076,M/S Aditya Chem Co,Owner A,"No 57, C 3rd Phase, Doddaballapura, Bangalore Rural, Karnataka - 561203",Bengaluru Rural,561203,Chemical Blending,2029,5,2024,2024-11-02,DORMANT,,GSTIN_CCFB376977FBAAC0,KFBIS-FAC-BLRR-2024-000076,ENT-00155
KFBIS-FAC-BLRU-2020-000077,M/S Naveen Coatings Co,Partner 1,"No 154, A Behind Metro, Rajajinagar Industrial Suburb, B'luru Urban, Karnataka - 560059",Bengaluru Urban,560059,Chemical Blending,2029,,2020,2023-01-19,CLOSED,,GSTIN_7F5BC7ED3E39D58B,KFBIS-FAC-BLRU-2020-000077,ENT-00157
KFBIS-FAC-BLRU-2020-000078,Omkar Labs Co,Owner A,"#94, Shed 3rd Phase, Bommanahalli, Bangalore Urban, K'taka - 560068",Bengaluru Urban,560068,Chemical Blending,2029,5,2020,2023-04-24,CLOSED,,GSTIN_3657D3C65B08B549,KFBIS-FAC-BLRU-2020-000078,ENT-00158
KFBIS-FAC-TUM-2025-000079,Bangalore Machining Co,Owner A,"No. 257, D Industrial Layout, Antharasanahalli Indl Area, Tumakuru, KA - 572106",Tumakuru,572106,Machine Tools,2819,18,2025,2025-11-30,ACTIVE,,GSTIN_389B4747CEC72983,KFBIS-FAC-TUM-2025-000079,ENT-00159
KFBIS-FAC-BLRU-2022-000080,Sahana Kitchen Solutions,,"#49, C 2nd Main, Peenya Industrial Estate, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,Electronics Assembly,2610,8,2022,2025-06-29,ACTIVE,,,KFBIS-FAC-BLRU-2022-000080,ENT-00164
KFBIS-FAC-BLRU-2019-000081,Bharath Spices LLP,Owner A,"#172, D 2nd Main, Whitefield Mn Rd, B'luru Urban, K'taka - 560066",Bengaluru Urban,560066,Food Processing,1030,4,2019,2023-09-15,DORMANT,,,KFBIS-FAC-BLRU-2019-000081,ENT-00170
KFBIS-FAC-TUM-2021-000082,Vijaya Fashions Works,Partner 1,"#16, Shed Extension, Antharasanahalli Industrial Estate, Tumakuru, K'taka - 572106",Tumakuru,572106,Textile / Garments,1410,,2021,2023-12-22,DORMANT,PAN_EA6738D6060A4803,,KFBIS-FAC-TUM-2021-000082,ENT-00171
KFBIS-FAC-BLRU-2016-000083,Nisarga Trans Enterprises,,"#28, D Mn Rd, Hebbal, Bangalore Urban, KA",Bengaluru Urban,560102,Logistics / Warehouse,5210,3,2016,2018-11-03,CLOSED,,,KFBIS-FAC-BLRU-2016-000083,ENT-00173
KFBIS-FAC-MYS-2016-000084,M/S Varun Industrial Associates,Owner B,"No 6, Shed Sector, Nanjangud Road, Mysuru, K'taka - 570018",Mysuru,570018,Chemical Blending,2029,10,2016,2023-12-28,DORMANT,,,KFBIS-FAC-MYS-2016-000084,ENT-00180
KFBIS-FAC-BLRU-2021-000085,M/S Srinidhi Injection Enterprises,Owner B,"No 49, Service Road, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",Bengaluru Urban,560076,Plastic Moulding,2220,5,2021,2025-11-13,ACTIVE,PAN_42A380FB9E72991F,,KFBIS-FAC-BLRU-2021-000085,ENT-00181
KFBIS-FAC-BLRU-2022-000086,Sri Pvt Ltd,Director Masked,"No. 207, Plot 1st Cross, HSR Layout, Bengaluru Urban, K'taka - 560102",Bengaluru Urban,560102,Printing / Packaging,1811,,2022,2024-02-03,DORMANT,,,KFBIS-FAC-BLRU-2022-000086,ENT-00182
KFBIS-FAC-BLRU-2015-000087,M/S Varun Components LLP,Managing Partner,"221, B Behind Metro, Whitefield Main Road, B'luru Urban, Karnataka - 560066",Bengaluru Urban,560066,Electronics Assembly,2610,120,2015,2025-01-30,DORMANT,,,KFBIS-FAC-BLRU-2015-000087,ENT-00184
KFBIS-FAC-MYS-2019-000088,Sharma Pvt. Ltd.,Partner 1,"117, C 2nd Main, Nanjangud Road, Mysuru, K'taka - 570018",Mysuru,570018,Plastic Moulding,2220,180,2019,2019-07-30,CLOSED,,GSTIN_F900BAE2A1B73BEE,KFBIS-FAC-MYS-2019-000088,ENT-00185
