consent_no,industry_name,industry_address,district,pin_code,industry_colour,regional_office,inward_type,inward_status,validity_date,last_event_date,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
PCB/BLRU/CTO/2020/00015,Nisarga Industrial Co,"203, C Service Road, Hebbal, Bengaluru Urban, Karnataka - 560024",Bengaluru Urban,560024,Red,Peenya,CTE,Returned for Clarification,2028-05-13,2025-08-11,,GSTIN_3A93BE22DF25C0F1,PCB/BLRU/CTO/2020/00015,ENT-00039
PCB/TUM/CTE/2016/00016,Bangalore Garmens Solutions,"No 232, A Behind Metro, Antharasanahalli Industrial Area, Tumakuru, K'taka - 572106",Tumakuru,572106,Green,Peenya,CTE,Returned for Clarification,2023-12-10,2023-03-06,,,PCB/TUM/CTE/2016/00016,ENT-00045
PCB/BLRU/CTE/2016/00017,Nandi Solvents LLP,"No 219, B 3rd Phase, Electronic City, B'luru Urban, K'taka - 560100",Bengaluru Urban,560100,Red,Bengaluru North,Renewal,Approved,2027-08-20,2020-01-01,,,PCB/BLRU/CTE/2016/00017,ENT-00047
PCB/BLRU/CTE/2024/00018,Omkar Pvt Ltd,"No. 146, D 3rd Phase, Kalyan Nagar, Bangalore Urban, KA - 560043",Bengaluru Urban,560043,Red,Peenya,CTO,Rejected,2026-11-20,2025-08-24,PAN_70288CFE80E73E3E,,PCB/BLRU/CTE/2024/00018,ENT-00049
PCB/BLRU/CTO/2021/00019,Varun Enterprises,"No. 144, Plot Service Road, Bannerghatta Road, Bangalore Urban, KA - 560076",Bengaluru Urban,560076,Orange,Bengaluru South,CTE,Returned for Clarification,2024-04-07,2023-07-04,,,PCB/BLRU/CTO/2021/00019,ENT-00051
PCB/BLRU/CTO/2017/00020,Harsha Packaging Enterprises,"No. 28, Plot 1st Crs, Rajajinagar Industrial Suburb, Bangalore Urban, K'taka - 560059",Bengaluru Urban,560059,Red,Bengaluru South,CTE,Rejected,2028-10-15,2022-08-11,,GSTIN_5C0684CC9D7E8ED6,PCB/BLRU/CTO/2017/00020,ENT-00053
PCB/BLRU/CTE/2018/00021,M/S Srinidhi Milling Traders,"No 224, Shed Behind Metro, Whitefield, B'luru Urban, Karnataka - 560037",Bengaluru Urban,560037,Orange,Bengaluru South,CTE,Rejected,2028-03-07,2025-09-07,,,PCB/BLRU/CTE/2018/00021,ENT-00054
PCB/BLRU/CTO/2018/00022,Bharath Machining Co,"No 114, Plot Extension, Rajajinagar Industrial Suburb, B'luru Urban, K'taka",Bengaluru Urban,560059,Orange,Peenya,CTO,Pending,2028-06-22,2022-02-08,,GSTIN_E2E13346CEC78FD1,PCB/BLRU/CTO/2018/00022,ENT-00055
PCB/BLRU/CTO/2017/00023,Siddhi Systems LLP,"No 285, D Extension, Kalyan Nagar, Bangalore Urban, Karnataka - 560043",Bengaluru Urban,560043,Orange,Tumakuru,CTE,Pending,2027-09-17,2019-07-08,,GSTIN_F539CE4A9173FAE5,PCB/BLRU/CTO/2017/00023,ENT-00058
PCB/BLRR/CTE/2019/00024,M/S Veda Stitch LLP,"#147, A Mn Rd, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Green,Mysuru,Renewal,Pending,2024-05-22,2021-07-16,PAN_53DFB287DCA51FAF,,PCB/BLRR/CTE/2019/00024,ENT-00060
PCB/BLRR/CTO/2024/00025,Srinidhi Labs Industries,"No. 287, A Main Road, Hoskote, B'luru Rural, K'taka",Bengaluru Rural,562114,Red,Mysuru,Renewal,Rejected,2026-07-15,2024-06-11,,,PCB/BLRR/CTO/2024/00025,ENT-00061
PCB/TUM/CTO/2015/00026,M/S Lakshmi Graphics Works,"278, Plot Near Bus Stop, BH Road, Tumakuru, Karnataka - 572101",Tumakuru,572106,Orange,Tumakuru,Renewal,Rejected,2024-05-12,2015-07-27,,,PCB/TUM/CTO/2015/00026,ENT-00063
PCB/BLRU/CTO/2025/00027,Veda Devices Co,"#236, B Industrial Layout, Koramangala, Bangalore Urban, Karnataka - 560034",Bengaluru Urban,560034,Orange,Peenya,Renewal,Approved,2027-03-31,2025-10-05,PAN_351DA89F823C2212,GSTIN_7194B9F03832CED0,PCB/BLRU/CTO/2025/00027,ENT-00064
PCB/BLRU/CTE/2020/00028,Sri Spices Solutions,"No 22, Sector, MG Road, Bangalore Urban, K'taka - 560001",Bengaluru Urban,560001,Orange,Bengaluru South,CTO,Approved,2027-01-18,2024-01-05,PAN_044439DBFC5F5D89,,PCB/BLRU/CTE/2020/00028,ENT-00070
PCB/TUM/CTO/2024/00029,Prakruthi CNC LLP,"No. 3, A Behind Metro, Antharasanahalli Industrial Area, Tumakuru, KA - 572106",Tumakuru,572106,Orange,Bengaluru South,CTE,Pending,2023-12-29,2026-03-19,PAN_F70D36755C5937CA,,PCB/TUM/CTO/2024/00029,ENT-00071
PCB/BLRU/CTE/2023/00030,M/S Srinidhi Co,"No 297, D 1st Cr, Whitefield, Bengaluru Urban, Karnataka",Bengaluru Urban,560037,Red,Peenya,Renewal,Returned for Clarification,2026-02-09,2024-08-11,PAN_16FFF79FDBB72FE8,,PCB/BLRU/CTE/2023/00030,ENT-00073
PCB/BLRU/CTE/2019/00031,Kaveri Labels Traders,"No. 129, B Sector, Banashankari, Bengaluru Urban, K'taka - 560085",Bengaluru Urban,560085,Orange,Bengaluru South,CTE,Rejected,2027-12-25,2026-04-21,,,PCB/BLRU/CTE/2019/00031,ENT-00074
PCB/BLRU/CTE/2019/00032,Ravi Tech Associates,"No 84, A Sector, Whitefield Main Road, B'luru Urban, KA - 560066",Bengaluru Urban,560066,Orange,Bengaluru North,CTO,Pending,2024-03-18,2022-08-14,,GSTIN_71882A0932EC0D09,PCB/BLRU/CTE/2019/00032,ENT-00075
PCB/TUM/CTE/2023/00033,Bangalore Coatings Co,"#165, C Main Rd, Antharasanahalli Industrial Estate, Tumakuru, Karnataka - 572106",Tumakuru,572106,Red,Bengaluru South,Renewal,Approved,2025-03-06,2025-11-23,PAN_516B5EF3CF48BF46,GSTIN_11E6F7435D81D109,PCB/TUM/CTE/2023/00033,ENT-00076
PCB/BLRU/CTO/2016/00034,Meghana Coatings Traders,"No. 203, B Behind Metro, Bommanahalli, Bengaluru Urban, K'taka - 560068",Bengaluru Urban,560068,Red,Tumakuru,Expansion,Pending,2024-02-14,2023-07-22,PAN_ED5E7F18A4978A5D,,PCB/BLRU/CTO/2016/00034,ENT-00080
PCB/MYS/CTE/2023/00035,Prakruthi Packaging Solutions,"No 142, B Behind Metro, Hebbal Industrial Estate, Mysuru, KA - 570016",Mysuru,570016,Red,Bengaluru South,Renewal,Rejected,2027-09-02,2023-12-13,,GSTIN_06A775EFABA058E4,PCB/MYS/CTE/2023/00035,ENT-00082
PCB/BLRU/CTO/2023/00036,M/S Kaveri Labs Pvt Ltd,"71, A Near Bus Stop, Whitefield, Bengaluru Urban, KA - 560037",Bengaluru Urban,560037,Red,Tumakuru,Renewal,Pending,2024-07-23,2025-11-21,,,PCB/BLRU/CTO/2023/00036,ENT-00086
PCB/BLRU/CTE/2025/00037,M/S Bharath Biryani Pvt Ltd,"No 94, D Industrial Layout, Bannerghatta Road, Bengaluru Urban, K'taka - 560076",Bengaluru Urban,560076,Green,Tumakuru,Renewal,Rejected,2027-11-22,2025-08-28,,,PCB/BLRU/CTE/2025/00037,ENT-00088
PCB/BLRU/CTO/2018/00038,M/S Kaveri Systems Pvt Ltd,"No. 51, B 3rd Phase, HSR Layout, B'luru Urban, K'taka - 560102",Bengaluru Urban,560102,Orange,Bengaluru South,CTE,Approved,2025-08-23,2021-08-20,,,PCB/BLRU/CTO/2018/00038,ENT-00093
PCB/BLRU/CTO/2020/00039,Deccan Packaging Traders,"211, C 1st Cross, BTM Layout, B'luru Urban, KA",Bengaluru Urban,560029,Orange,Tumakuru,Renewal,Pending,2028-07-09,2023-05-31,,,PCB/BLRU/CTO/2020/00039,ENT-00095
PCB/BLRU/CTE/2016/00040,M/S Ananya Labs Pvt Ltd,"No 216, Shed Behind Metro, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Red,Bengaluru North,CTE,Approved,2026-11-07,2017-02-15,,,PCB/BLRU/CTE/2016/00040,ENT-00097
PCB/BLRU/CTE/2019/00041,Ganesh Works,"No. 76, B Industrial Layout, BTM Layout, Bangalore Urban, K'taka - 560029",Bengaluru Urban,560029,Orange,Tumakuru,Renewal,Approved,2025-12-08,2025-03-22,PAN_0BE0ABA78E98D584,,PCB/BLRU/CTE/2019/00041,ENT-00098
PCB/BLRU/CTE/2020/00042,Srinidhi Traders,"No. 235, D Extension, Kalyan Nagar, Bangalore Urban, Karnataka - 560043",Bengaluru Urban,560043,Orange,Tumakuru,CTE,Pending,2024-11-15,2023-01-09,,,PCB/BLRU/CTE/2020/00042,ENT-00100
PCB/BLRU/CTO/2022/00043,M/S Srinidhi Enterprises,"#195, B Behind Metro, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Orange,Tumakuru,Renewal,Pending,2024-06-11,2024-07-18,,,PCB/BLRU/CTO/2022/00043,ENT-00101
PCB/TUM/CTE/2023/00044,M/S Sharma CNC Enterprises,"No 68, A Main Rd, Antharasanahalli Industrial Area, Tumakuru, K'taka - 572106",Tumakuru,572106,Orange,Peenya,Expansion,Approved,2027-09-17,2024-05-26,PAN_CF3D72FC68ACC925,,PCB/TUM/CTE/2023/00044,ENT-00102
PCB/BLRU/CTE/2021/00045,Navya Printers Traders,"No. 18, Shed Main Road, Electronic City, Bengaluru Urban, K'taka - 560100",Bengaluru Urban,560100,Orange,Tumakuru,Expansion,Approved,2024-09-28,2025-08-12,,GSTIN_F472A00481267E66,PCB/BLRU/CTE/2021/00045,ENT-00104
PCB/BLRU/CTO/2022/00046,Kaveri Pvt Ltd,"No 86, Behind Metro, BTM Layout, Bangalore Urban, KA - 560029",Bengaluru Urban,560029,Red,Bengaluru South,Renewal,Approved,2026-02-01,2022-08-11,,GSTIN_EB267CF53746D512,PCB/BLRU/CTO/2022/00046,ENT-00105
PCB/TUM/CTE/2023/00047,Bangalore ackaging Works,"No. 135, A 1st Cross, BH Road, Tumakuru, KA - 572101",Tumakuru,572101,Red,Peenya,CTE,Pending,2027-05-04,2023-08-03,,,PCB/TUM/CTE/2023/00047,ENT-00109
PCB/BLRU/CTE/2021/00048,Sharma Chem LLP,"No. 218, B Industrial Layout, Banashankari, Bangalore Urban, Karnataka - 560085",Bengaluru Urban,560085,Red,Bengaluru North,Renewal,Approved,2028-03-14,2025-11-30,PAN_1DABC2C1FF2E9BCB,,PCB/BLRU/CTE/2021/00048,ENT-00110
PCB/BLRU/CTE/2025/00049,Naveen Polymers Solutions,"#64, Shed Sector, HSR Layout, B'luru Urban, KA - 560102",Bengaluru Urban,560102,Red,Peenya,CTE,Rejected,2027-07-17,2025-11-02,PAN_92F3E575771488A9,,PCB/BLRU/CTE/2025/00049,ENT-00111
PCB/BLRU/CTE/2018/00050,Ananya Solutions,"No 218, B Industrial Layout, Hebbal, Bengaluru Urban, KA - 560024",Bengaluru Urban,560024,Red,Mysuru,Expansion,Returned for Clarification,2024-06-16,2020-01-28,PAN_4A21AB8C004EEBFF,,PCB/BLRU/CTE/2018/00050,ENT-00112
PCB/BLRU/CTE/2023/00051,Harsha Tools Associates,"299, C Industrial Layout, MG Road, Bengaluru Urban, Karnataka - 560001",Bengaluru Urban,560001,Orange,Peenya,Expansion,Returned for Clarification,2024-09-29,2024-11-28,,,PCB/BLRU/CTE/2023/00051,ENT-00113
PCB/BLRU/CTE/2022/00052,Prakruthi Packaging Industries,"259, Industrial Layout, Kalyan Nagar, Bangalore Urban, Karnataka - 560043",Bengaluru Urban,560043,Orange,Tumakuru,CTO,Pending,2025-03-08,2023-05-20,PAN_48CB936EB630942B,,PCB/BLRU/CTE/2022/00052,ENT-00116
PCB/BLRU/CTE/2022/00053,Ravi Solutions,"122, 1st Cr, Koramangala, Bengaluru Urban, K'taka - 560034",Bengaluru Urban,560034,Orange,Peenya,Expansion,Approved,2027-07-29,2026-03-12,,,PCB/BLRU/CTE/2022/00053,ENT-00119
PCB/BLRU/CTE/2022/00054,Nisarga Industrial Co,"#194, A Behind Metro, Hebbal, B'luru Urban, Karnataka - 560024",Bengaluru Urban,560024,Green,Bengaluru South,Renewal,Approved,2026-01-05,2023-06-04,,,PCB/BLRU/CTE/2022/00054,ENT-00123
PCB/BLRU/CTE/2023/00055,Sahna Works Company,"No 50, Sector, Rajajinagar Industrial Suburb, B'luru Urban, K'taka - 560059",Bengaluru Urban,560059,Orange,Bengaluru South,CTE,Approved,2028-02-23,2023-12-20,,,PCB/BLRU/CTE/2023/00055,ENT-00124
PCB/MYS/CTO/2020/00056,Omkar Graphics Indstries,"#160, A Extension, Hebbal Industrial Area, Mysuru, KA - 570016",Mysuru,570016,Orange,Bengaluru North,CTE,Rejected,2025-08-29,2025-06-26,PAN_CA44E0E20A38F7EF,,PCB/MYS/CTO/2020/00056,ENT-00127
PCB/BLRU/CTO/2022/00057,M/S Sri Devices LLP,"2, A Sector, Kalyan Nagar, Bangalore Urban, Karnataka - 560043",Bengaluru Urban,560043,Orange,Peenya,Renewal,Approved,2028-02-08,2025-01-03,,,PCB/BLRU/CTO/2022/00057,ENT-00129
PCB/MYS/CTO/2021/00058,Aditya Systems LLP,"No. 181, Shed Extension, Devaraja Mohalla, Mysuru, K'taka - 570001",Mysuru,570001,Orange,Peenya,CTO,Returned for Clarification,2025-09-19,2025-07-25,PAN_231E8E36881D713A,,PCB/MYS/CTO/2021/00058,ENT-00131
PCB/MYS/CTE/2017/00059,Sri Moulding Works,"No. 257, B Service Road, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,Red,Tumakuru,Renewal,Pending,2025-05-13,2020-06-18,,,PCB/MYS/CTE/2017/00059,ENT-00133
PCB/BLRU/CTE/2019/00060,Omkar Agro Co,"138, 1st Cross, Electronic City, B'luru Urban, Karnataka - 560100",Bengaluru Urban,560100,Orange,Peenya,Renewal,Returned for Clarification,2028-10-15,2025-07-26,PAN_02F50B1E99975C3B,GSTIN_32A53961B54C9C79,PCB/BLRU/CTE/2019/00060,ENT-00137
PCB/BLRU/CTO/2020/00061,Harsha Works Co,"No 1, D 2nd Main, Whitefield, B'luru Urban, K'taka - 560037",Bengaluru Urban,560037,Orange,Peenya,Expansion,Approved,2027-04-09,2023-06-19,,,PCB/BLRU/CTO/2020/00061,ENT-00139
PCB/BLRU/CTO/2022/00062,Omkar Agro Co,"#114, B Behind Metro, Bommanahalli, Bangalore Urban, K'taka - 560068",Bengaluru Urban,560068,Orange,Peenya,Renewal,Pending,2027-04-06,2024-01-22,,,PCB/BLRU/CTO/2022/00062,ENT-00140
PCB/MYS/CTE/2025/00063,Nisarga Packaging Traders,"No. 249, Shed Industrial Layout, Devaraja Mohalla, Mysuru, KA",Mysuru,570001,Red,Mysuru,CTE,Pending,2028-08-17,2026-03-13,PAN_9242B1A8BB94D8E6,GSTIN_29D9D9B3327F96E0,PCB/MYS/CTE/2025/00063,ENT-00141
PCB/BLRU/CTO/2018/00064,Veda Works,"No 37, C Sector, Bannerghatta Road, B'luru Urban, K'taka - 560076",Bengaluru Urban,560076,Orange,Bengaluru North,CTO,Returned for Clarification,2024-05-09,2026-02-11,,,PCB/BLRU/CTO/2018/00064,ENT-00145
PCB/MYS/CTO/2017/00065,M/S Bangalore Company,"No. 129, C 1st Cr, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Orange,Bengaluru South,CTO,Approved,2028-06-30,2021-05-02,,,PCB/MYS/CTO/2017/00065,ENT-00150
PCB/BLRR/CTO/2019/00066,Lakshmi Graphics Solutions,"No 176, A Extension, Hoskote, Bangalore Rural, Karnataka - 562114",Bengaluru Rural,562114,Orange,Bengaluru North,CTO,Rejected,2028-05-27,2020-04-16,,GSTIN_A70451773FBA83C8,PCB/BLRR/CTO/2019/00066,ENT-00151
PCB/BLRU/CTO/2025/00067,Meghana Machining Works,"No. 182, B Main Rd, Whitefield Main Rd, B'luru Urban, K'taka - 560066",Bengaluru Urban,560066,Orange,Bengaluru North,Renewal,Returned for Clarification,2025-01-17,2025-06-16,PAN_0192D2CF32EDE07B,GSTIN_165B67D7C09F2F11,PCB/BLRU/CTO/2025/00067,ENT-00152
PCB/BLRR/CTE/2015/00068,M/S Aditya Chem Co,"57, C 3rd Phase, Doddaballapura, Bangalore Rural, K'taka - 561203",Bengaluru Rural,561203,Red,Tumakuru,Expansion,Pending,2026-06-15,2023-02-16,PAN_EE1E19D51BFC0853,,PCB/BLRR/CTE/2015/00068,ENT-00155
PCB/BLRU/CTE/2018/00069,Mysore Inds,"23, Near Bus Stop, Banashankari, Bangalore Urban, KA - 560085",Bengaluru Urban,560085,Orange,Peenya,CTO,Returned for Clarification,2028-01-12,2020-07-21,,GSTIN_0DCC70D3FA4F33EB,PCB/BLRU/CTE/2018/00069,ENT-00156
PCB/BLRU/CTE/2025/00070,Naveen Coatngs Co,"#154, A Behind Metro, Rajajinagar Industrial Suburb, Bengaluru Urban, K'taka - 560059",Bengaluru Urban,560059,Red,Bengaluru South,Expansion,Pending,2027-04-07,2026-02-25,,GSTIN_7F5BC7ED3E39D58B,PCB/BLRU/CTE/2025/00070,ENT-00157
PCB/BLRU/CTE/2023/00071,M/S Omkar Labs Co,"94, Shed 3rd Phase, Bommanahalli, B'luru Urban, KA - 560068",Bengaluru Urban,560068,Red,Mysuru,Expansion,Pending,2025-11-24,2025-11-10,,,PCB/BLRU/CTE/2023/00071,ENT-00158
PCB/TUM/CTE/2025/00072,Bangalore Machining Co,"#257, D Industrial Layout, Antharasanahalli Indl Area, Tumakuru, K'taka - 572106",Tumakuru,572106,Orange,Peenya,Expansion,Rejected,2024-06-29,2025-12-28,,,PCB/TUM/CTE/2025/00072,ENT-00159
PCB/BLRU/CTO/2020/00073,Ananya CNC LLP,"No. 279, Mn Rd, Whitefield, B'luru Urban, Karnataka - 560037",Bengaluru Urban,560037,Orange,Peenya,CTO,Rejected,2026-12-25,2026-03-30,PAN_B48DAB13DA2391E4,GSTIN_B25AA9056E3DE320,PCB/BLRU/CTO/2020/00073,ENT-00162
PCB/BLRU/CTE/2023/00074,Sharma Electronics Solutions,"No 75, C Behind Metro, MG Road, B'luru Urban, K'taka - 560001",Bengaluru Urban,560001,Orange,Mysuru,Renewal,Returned for Clarification,2026-09-16,2025-10-02,PAN_84F7688E85795BE8,,PCB/BLRU/CTE/2023/00074,ENT-00166
PCB/BLRU/CTO/2025/00075,M/S Asha Labs Solutions,"No. 94, B 3rd Phase, Hebbal, B'luru Urban, K'taka",Bengaluru Urban,560024,Red,Peenya,Renewal,Returned for Clarification,2024-06-01,2026-03-23,PAN_265833F26CD00F77,,PCB/BLRU/CTO/2025/00075,ENT-00167
PCB/MYS/CTE/2021/00076,Asha Bakery Co,"#164, Shed Near Bus Stop, Devaraja Mohalla, Mysuru, K'taka - 570001",Mysuru,570001,Orange,Bengaluru North,Expansion,Returned for Clarification,2024-10-09,2025-10-20,PAN_12B94F06E81BCB0C,GSTIN_6C6D3034F7785EC9,PCB/MYS/CTE/2021/00076,ENT-00169
PCB/BLRU/CTO/2023/00077,Bharath Spices LLP,"172, D 2nd Main, Whitefield Main Road, Bangalore Urban, Karnataka - 560066",Bengaluru Urban,560066,Orange,Peenya,Expansion,Rejected,2026-10-24,2026-02-10,,,PCB/BLRU/CTO/2023/00077,ENT-00170
PCB/BLRU/CTE/2018/00078,Asha Solutions,"#145, D Main Rd, Hebbal, B'luru Urban, K'taka - 560024",Bengaluru Urban,560024,Orange,Tumakuru,Expansion,Returned for Clarification,2028-03-17,2020-05-30,PAN_7E0AFBC218C19E04,,PCB/BLRU/CTE/2018/00078,ENT-00172
PCB/BLRU/CTO/2015/00079,M/S Nisarga Trans Entp,"No. 28, D Main Rd, Hebbal, B'luru Urban, K'taka - 560024",Bengaluru Urban,560024,Green,Bengaluru North,CTO,Approved,2026-09-18,2024-05-18,PAN_6FA5D102B0802FD2,,PCB/BLRU/CTO/2015/00079,ENT-00173
PCB/MYS/CTO/2020/00080,M/S Sree Associates,"No. 100, D Behind Metro, Nanjangud Road, Mysuru, K'taka - 570018",Mysuru,570018,Orange,Bengaluru North,CTO,Rejected,2024-08-29,2023-03-19,,,PCB/MYS/CTO/2020/00080,ENT-00179
PCB/MYS/CTO/2020/00081,M/S Varun Industrial Associates,"No 6, Shed Sector, Nanjangud Road, Mysuru, K'taka - 570018",Mysuru,570018,Red,Mysuru,Renewal,Returned for Clarification,2028-03-09,2022-12-06,PAN_DEACB0B71AC5AC17,GSTIN_37D541549F79EC13,PCB/MYS/CTO/2020/00081,ENT-00180
PCB/BLRU/CTE/2018/00082,Srinidhi Injection Enterprises,"No. 49, Service Road, Bannerghatta Road, Bangalore Urban, KA - 560076",Bengaluru Urban,560076,Red,Bengaluru North,Expansion,Rejected,2027-05-26,2026-02-27,PAN_42A380FB9E72991F,GSTIN_40F797D77A68121F,PCB/BLRU/CTE/2018/00082,ENT-00181
PCB/BLRR/CTO/2021/00083,Rav Agro Associates,"No. 247, Shed Main Rd, Hoskote, Bangalore Rural, Karnataka",Bengaluru Rural,562114,Orange,Mysuru,Renewal,Pending,2027-05-13,2026-05-01,PAN_E7299C62BC6CC897,GSTIN_A85500D8880D9924,PCB/BLRR/CTO/2021/00083,ENT-00183
PCB/MYS/CTE/2016/00084,Sharma Pvt Ltd,"No 117, C 2nd Main, Nanjangud Road, Mysuru, K'taka - 570018",Mysuru,570001,Red,Peenya,Expansion,Approved,2028-03-05,2024-04-06,,,PCB/MYS/CTE/2016/00084,ENT-00185
PCB/BLRU/CTE/2022/00085,Navya Solvents Pvt Ltd,"105, B Service Road, Rajajinagar Industrial Suburb, B'luru Urban, KA - 560059",Bengaluru Urban,560059,Red,Tumakuru,Expansion,Approved,2024-07-25,2024-12-04,PAN_BA965A612193B3F3,GSTIN_B507AFC6DD5E4ACD,PCB/BLRU/CTE/2022/00085,ENT-00192
PCB/BLRU/CTO/2020/00086,Meghana Moulding Industries,"No. 26, B Extension, Peenya Indl Area, B'luru Urban, KA - 560058",Bengaluru Urban,560058,Red,Tumakuru,CTO,Approved,2027-07-02,2024-10-11,,,PCB/BLRU/CTO/2020/00086,ENT-00195
PCB/BLRR/CTO/2015/00087,Udupi Electronics LLP,"No 192, C Industrial Layout, Devanahalli, B'luru Rural, KA - 562110",Bengaluru Rural,562110,Orange,Bengaluru North,CTO,Rejected,2028-08-20,2022-10-13,PAN_18ED267DC38F0CDD,,PCB/BLRR/CTO/2015/00087,ENT-00199
PCB/BLRR/CTE/2025/00088,Sri Moulding Works,"256, Plot Extension, Bagalur, Bengaluru Rural, K'taka - 562157",Bengaluru Rural,562157,Red,Bengaluru South,CTE,Pending,2027-09-04,2026-02-23,PAN_BE42AD4FEE81560A,GSTIN_94AD8B47A12A9F0A,PCB/BLRR/CTE/2025/00088,ENT-00200
PCB/BLRU/CTE/2020/00089,Deccan Coatings Associates,"#59, Plot Behind Metro, HSR Layout, B'luru Urban, KA - 560102",Bengaluru Urban,560102,Red,Peenya,Expansion,Pending,2025-02-16,2023-11-29,,,PCB/BLRU/CTE/2020/00089,ENT-00207
PCB/BLRU/CTE/2024/00090,M/S Lakshmi Electronics LLP,"1, C Main Road, Hebbal, Bangalore Urban, KA - 560024",Bengaluru Urban,560024,Orange,Tumakuru,CTE,Returned for Clarification,2024-01-27,2024-12-22,,,PCB/BLRU/CTE/2024/00090,ENT-00210
