entity_id,legal_name,trade_name,business_type,business_category,nic_code,pollution_category,district,district_code,pin_code,locality,zone,ward,canonical_address,pan_hash,gstin_hash,udyam_hash,phone,email,incorporation_date,employee_count,turnover_band_lakh
ENT-00011,Naveen Fashions Traders,Naveen Fashions Traders,Textile / Garments,Manufacturing,1410,Green,Bengaluru Urban,BLRU,560076,Bannerghatta Road,South,Ward-177,"No 34, B Main Road, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",PAN_8C7374FD50D77AA2,GSTIN_4EC2C607A831562B,UDYAM_89BECB8C05549B04,9000087246,,2020-07-29,180,25-50
ENT-00012,Naveen Systems Pvt Ltd,Naveen Systems,Electronics Assembly,Manufacturing,2610,Orange,Mysuru,MYS,570001,Devaraja Mohalla,Central,Ward-M01,"No 291, D Sector, Devaraja Mohalla, Mysuru, Karnataka - 570001",PAN_BE1A19570FE9AE0F,GSTIN_F4E00424CB03A26C,,9000095165,contact0012@examplebiz.in,2016-10-27,18,10-25
ENT-00013,Mysore Bites Works,Mysore Bites Works,Restaurant / Cafe,Service,5610,Green,Mysuru,MYS,570001,Devaraja Mohalla,Central,Ward-M01,"No 4, D 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",PAN_7EA7B232D0E1064D,GSTIN_66B07237543C6EDC,,9000103084,,2017-09-23,180,500+
ENT-00014,Siddhi Industrial Industries,Siddhi Industrial Industries,Chemical Blending,Manufacturing,2029,Red,Bengaluru Urban,BLRU,560100,Electronic City,Bommanahalli,Ward-192,"No 243, B Extension, Electronic City, Bengaluru Urban, Karnataka - 560100",PAN_58C0287F2DFBF4D1,GSTIN_4CBBAC49634564E0,UDYAM_98AA4B4C505E9FA1,9000111003,,2018-05-05,2,10-25
ENT-00015,Meghana Warehouse Traders,Meghana Warehouse Traders,Logistics / Warehouse,Service,5210,Green,Bengaluru Rural,BLRR,562110,Devanahalli,Bengaluru Rural,Ward-R01,"No 57, D Near Bus Stop, Devanahalli, Bengaluru Rural, Karnataka - 562110",PAN_BB5B3071AA21F9A0,,UDYAM_3B4A84F61A4AA029,,contact0015@examplebiz.in,2019-09-23,8,25-50
ENT-00016,Nandi Trans Solutions,Nandi Trans Solutions,Logistics / Warehouse,Service,5210,Green,Bengaluru Rural,BLRR,561203,Doddaballapura,Bengaluru Rural,Ward-R09,"No 162, Sector, Doddaballapura, Bengaluru Rural, Karnataka - 561203",PAN_D072F79BB809F27C,,UDYAM_8E5622D776BB2C2B,9000126841,contact0016@examplebiz.in,2017-04-16,52,100-500
ENT-00017,Mysore Cafe Traders,Mysore Cafe Traders,Restaurant / Cafe,Service,5610,Green,Bengaluru Rural,BLRR,562110,Devanahalli,Bengaluru Rural,Ward-R01,"No 202, D Service Road, Devanahalli, Bengaluru Rural, Karnataka - 562110",,,,,,2021-02-18,3,0-10
ENT-00018,Mysore Mold Solutions,Mysore Mold Solutions,Plastic Moulding,Manufacturing,2220,Red,Bengaluru Urban,BLRU,560066,Whitefield Main Road,Mahadevapura,Ward-083,"No 215, A Main Road, Whitefield Main Road, Bengaluru Urban, Karnataka - 560066",PAN_9B87F77784FF0445,GSTIN_3EF37A7E82305EDA,UDYAM_23B1E80E5A874B4C,9000142679,contact0018@examplebiz.in,2020-07-30,180,25-50
ENT-00019,Veda Coatings Works,Veda Coatings Works,Chemical Blending,Manufacturing,2029,Red,Bengaluru Rural,BLRR,562110,Devanahalli,Bengaluru Rural,Ward-R01,"No 201, B Service Road, Devanahalli, Bengaluru Rural, Karnataka - 562110",,,UDYAM_F54BADA100F1DA9C,9000150598,,2022-12-29,3,0-10
ENT-00020,Navya Devices Co,Navya Devices Co,Electronics Assembly,Manufacturing,2610,Orange,Bengaluru Urban,BLRU,560068,Bommanahalli,South,Ward-175,"No 51, A Behind Metro, Bommanahalli, Bengaluru Urban, Karnataka - 560068",PAN_A8B2B46C51047944,GSTIN_AC08044DB415531C,UDYAM_4D83CEBA4239C745,9000158517,,2014-12-14,180,100-500
ENT-00021,Prakruthi Packaging Solutions,Prakruthi Packaging Solutions,Printing / Packaging,Manufacturing,1811,Orange,Mysuru,MYS,570016,Hebbal Industrial Area,North,Ward-M21,"No 45, A Service Road, Hebbal Industrial Area, Mysuru, Karnataka - 570016",PAN_1DDA954E2B3349CC,,UDYAM_7529CCCBE3EA145B,9000166436,,2018-08-29,25,500+
ENT-00022,Ravi Plastics Works,Ravi Plastics Works,Plastic Moulding,Manufacturing,2220,Red,Mysuru,MYS,570016,Hebbal Industrial Area,North,Ward-M21,"No 65, B Near Bus Stop, Hebbal Industrial Area, Mysuru, Karnataka - 570016",PAN_52B1F2FB98A9B305,GSTIN_4CD6D2E925B25B01,,9000174355,,2015-05-16,18,10-25
ENT-00023,Sri Devices Solutions,Sri Devices Solutions,Electronics Assembly,Manufacturing,2610,Orange,Bengaluru Urban,BLRU,560102,HSR Layout,Bommanahalli,Ward-174,"No 104, Shed Industrial Layout, HSR Layout, Bengaluru Urban, Karnataka - 560102",PAN_2593B925C4CC393A,GSTIN_258B8656D131FB3A,UDYAM_17AB19F9CF64732D,,contact0023@examplebiz.in,2022-11-10,12,0-10
ENT-00024,Sree Solutions,Sree Solutions,Food Processing,Manufacturing,1030,Orange,Bengaluru Urban,BLRU,560085,Banashankari,South,Ward-182,"No 101, A Extension, Banashankari, Bengaluru Urban, Karnataka - 560085",PAN_9E53C1A7284D0EC7,,,9000190193,,2016-03-18,52,500+
ENT-00025,Harsha Biryani Works,Harsha Biryani Works,Restaurant / Cafe,Service,5610,Green,Bengaluru Urban,BLRU,560059,Rajajinagar Industrial Suburb,West,Ward-067,"No 136, C 1st Cross, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",PAN_7999756AA132CF9C,GSTIN_B41F10842E700D44,UDYAM_8AF7B6E6F2A8EC33,9000198112,,2014-12-24,8,10-25
ENT-00026,Bangalore Moulding Associates,Bangalore Moulding Associates,Plastic Moulding,Manufacturing,2220,Red,Bengaluru Urban,BLRU,560068,Bommanahalli,South,Ward-175,"No 266, Shed Sector, Bommanahalli, Bengaluru Urban, Karnataka - 560068",PAN_8C25986E2674A596,,UDYAM_212EC31FCD0E9121,9000206031,contact0026@examplebiz.in,2021-09-08,18,50-100
ENT-00027,Sree Electronics Industries,Sree Electronics Industries,Electronics Assembly,Manufacturing,2610,Orange,Bengaluru Urban,BLRU,560059,Rajajinagar Industrial Suburb,West,Ward-067,"No 50, B Industrial Layout, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",PAN_289FA3331D4CA2D0,,UDYAM_CDB45DAED972E75A,9000213950,,2015-06-25,36,100-500
ENT-00028,Bangalore Solutions,Bangalore Solutions,Pharmacy / Medical Retail,Retail,4772,Green,Mysuru,MYS,570016,Hebbal Industrial Area,North,Ward-M21,"No 108, B Near Bus Stop, Hebbal Industrial Area, Mysuru, Karnataka - 570016",,,,,contact0028@examplebiz.in,2015-04-13,12,10-25
ENT-00029,Asha Co,Asha Co,Textile / Garments,Manufacturing,1410,Green,Bengaluru Urban,BLRU,560064,Yelahanka,Yelahanka,Ward-004,"No 177, C 2nd Main, Yelahanka, Bengaluru Urban, Karnataka - 560064",PAN_70AD3CC61D3D7815,GSTIN_DBD5853B2650B25F,,,,2021-06-17,120,0-10
ENT-00030,Bharath Garments Traders,Bharath Garments Traders,Textile / Garments,Manufacturing,1410,Green,Bengaluru Rural,BLRR,562110,Devanahalli,Bengaluru Rural,Ward-R01,"No 18, Plot Extension, Devanahalli, Bengaluru Rural, Karnataka - 562110",PAN_F9056F6DC2DB582C,GSTIN_5B1E02F6F738BA0B,UDYAM_62FBD736C61D9422,9000237707,,2017-11-11,8,0-10
ENT-00031,Mysore Enterprises,Mysore Enterprises,Machine Tools,Manufacturing,2819,Orange,Bengaluru Urban,BLRU,560102,HSR Layout,Bommanahalli,Ward-174,"No 256, B Main Road, HSR Layout, Bengaluru Urban, Karnataka - 560102",PAN_8895582F81504CB2,GSTIN_FEC2468239B9CC01,,,contact0031@examplebiz.in,2021-08-29,2,50-100
ENT-00032,Omkar LLP,Omkar,Pharmacy / Medical Retail,Retail,4772,Green,Bengaluru Rural,BLRR,561203,Doddaballapura,Bengaluru Rural,Ward-R09,"No 161, Shed Near Bus Stop, Doddaballapura, Bengaluru Rural, Karnataka - 561203",PAN_539CA18DBEA6A496,GSTIN_3B5BA39EC3C6F8CF,,9000253545,,2023-08-27,85,100-500
ENT-00033,Deccan Industries,Deccan Industries,Textile / Garments,Manufacturing,1410,Green,Mysuru,MYS,570018,Nanjangud Road,South,Ward-M32,"No 125, D Industrial Layout, Nanjangud Road, Mysuru, Karnataka - 570018",PAN_173C0F7D4925D38A,GSTIN_AA5A050C78BFB4EF,,,,2025-02-06,10,10-25
ENT-00034,Nandi Cargo Company,Nandi Cargo Company,Logistics / Warehouse,Service,5210,Green,Bengaluru Urban,BLRU,560085,Banashankari,South,Ward-182,"No 2, A Near Bus Stop, Banashankari, Bengaluru Urban, Karnataka - 560085",PAN_8CFB12363662E99D,GSTIN_7F22EAE7CB2DAA54,UDYAM_D796BCE8301DC6FA,9000269383,,2016-04-10,25,500+
ENT-00035,Kaveri Components Pvt Ltd,Kaveri Components,Electronics Assembly,Manufacturing,2610,Orange,Bengaluru Urban,BLRU,560102,HSR Layout,Bommanahalli,Ward-174,"No 106, Plot Behind Metro, HSR Layout, Bengaluru Urban, Karnataka - 560102",,,,,,2023-09-28,18,0-10
ENT-00036,Nandi Stores LLP,Nandi Stores,Logistics / Warehouse,Service,5210,Green,Tumakuru,TUM,572101,BH Road,Tumakuru,Ward-T01,"No 4, Main Road, BH Road, Tumakuru, Karnataka - 572101",PAN_73F217E94D5B05BC,GSTIN_309C75F94A9082F1,,,,2019-03-17,52,100-500
ENT-00037,Kaveri Cafe LLP,Kaveri Cafe,Restaurant / Cafe,Service,5610,Green,Bengaluru Rural,BLRR,562114,Hoskote,Bengaluru Rural,Ward-R04,"No 144, Main Road, Hoskote, Bengaluru Rural, Karnataka - 562114",PAN_D0431C59929A66AA,GSTIN_07235E6F9DBD73DE,,9000293140,,2013-04-09,3,10-25
ENT-00038,Meghana Bites Associates,Meghana Bites Associates,Restaurant / Cafe,Service,5610,Green,Bengaluru Urban,BLRU,560085,Banashankari,South,Ward-182,"No 2, D Sector, Banashankari, Bengaluru Urban, Karnataka - 560085",PAN_908053A6F6D1D89A,GSTIN_6BAE0AD36F8F1AC5,UDYAM_2ECCD801DD0C79ED,,,2015-07-27,52,10-25
ENT-00039,Nisarga Industrial Co,Nisarga Industrial Co,Chemical Blending,Manufacturing,2029,Red,Bengaluru Urban,BLRU,560024,Hebbal,Yelahanka,Ward-021,"No 203, C Service Road, Hebbal, Bengaluru Urban, Karnataka - 560024",PAN_7A63FC27AAA81041,GSTIN_3A93BE22DF25C0F1,UDYAM_FC670B9F4390955E,9000308978,,2014-08-23,120,10-25
ENT-00040,Varun Textiles Industries,Varun Textiles Industries,Textile / Garments,Manufacturing,1410,Green,Bengaluru Urban,BLRU,560068,Bommanahalli,South,Ward-175,"No 252, B Near Bus Stop, Bommanahalli, Bengaluru Urban, Karnataka - 560068",,,UDYAM_E9B6359557804507,9000316897,contact0040@examplebiz.in,2016-01-14,52,25-50
ENT-00041,Meghana Bites Associates,Meghana Bites Associates,Pharmacy / Medical Retail,Retail,4772,Green,Bengaluru Urban,BLRU,560085,Banashankari,South,Ward-182,"No 283, A 1st Cross, Banashankari, Bengaluru Urban, Karnataka - 560085",PAN_AB43D864A161549A,GSTIN_8F3229B92705BAAF,,9000324816,contact0041@examplebiz.in,2023-03-04,18,0-10
ENT-00042,Aditya Circuits Works,Aditya Circuits Works,Electronics Assembly,Manufacturing,2610,Orange,Mysuru,MYS,570016,Hebbal Industrial Area,North,Ward-M21,"No 157, B Extension, Hebbal Industrial Area, Mysuru, Karnataka - 570016",PAN_89974A6C9040BC8F,,,9000332735,contact0042@examplebiz.in,2025-04-26,3,0-10
ENT-00043,Kaveri Press Enterprises,Kaveri Press Enterprises,Printing / Packaging,Manufacturing,1811,Orange,Tumakuru,TUM,572101,BH Road,Tumakuru,Ward-T01,"No 151, D 2nd Main, BH Road, Tumakuru, Karnataka - 572101",PAN_4EA33D307B0EDD36,GSTIN_B374BEA30B507783,,9000340654,contact0043@examplebiz.in,2022-02-24,10,100-500
ENT-00044,Aarohi Solutions,Aarohi Solutions,Pharmacy / Medical Retail,Retail,4772,Green,Mysuru,MYS,570016,Hebbal Industrial Area,North,Ward-M21,"No 37, Behind Metro, Hebbal Industrial Area, Mysuru, Karnataka - 570016",,,,9000348573,contact0044@examplebiz.in,2025-02-17,12,10-25
ENT-00045,Bangalore Garments Solutions,Bangalore Garments Solutions,Textile / Garments,Manufacturing,1410,Green,Tumakuru,TUM,572106,Antharasanahalli Industrial Area,Tumakuru,Ward-T12,"No 232, A Behind Metro, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",,,,,contact0045@examplebiz.in,2018-01-06,18,500+
ENT-00046,Ravi LLP,Ravi,Pharmacy / Medical Retail,Retail,4772,Green,Bengaluru Urban,BLRU,560043,Kalyan Nagar,East,Ward-025,"No 232, Shed Industrial Layout, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",PAN_7500201471E3B7BA,GSTIN_287B100709456FB0,UDYAM_036CD26004F91949,,,2022-03-18,180,100-500
ENT-00047,Nandi Solvents LLP,Nandi Solvents,Chemical Blending,Manufacturing,2029,Red,Bengaluru Urban,BLRU,560100,Electronic City,Bommanahalli,Ward-192,"No 219, B 3rd Phase, Electronic City, Bengaluru Urban, Karnataka - 560100",PAN_E7B290F18067E2B8,GSTIN_BDF0531A1AC60E9E,UDYAM_82F0CC3315A119FC,9000372330,contact0047@examplebiz.in,2016-02-21,52,0-10
ENT-00048,Bangalore Dine Associates,Bangalore Dine Associates,Restaurant / Cafe,Service,5610,Green,Tumakuru,TUM,572106,Antharasanahalli Industrial Area,Tumakuru,Ward-T12,"No 65, A Near Bus Stop, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",PAN_FA025D9591F67634,GSTIN_61C9CE29292E03A4,UDYAM_89B488EB4F7B809B,,contact0048@examplebiz.in,2021-07-01,180,0-10
ENT-00049,Omkar Pvt Ltd,Omkar,Plastic Moulding,Manufacturing,2220,Red,Bengaluru Urban,BLRU,560043,Kalyan Nagar,East,Ward-025,"No 146, D 3rd Phase, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",PAN_70288CFE80E73E3E,GSTIN_551ED194D61A3A39,UDYAM_9257BA41FA821053,9000388168,contact0049@examplebiz.in,2022-01-29,180,50-100
ENT-00050,Ananya Print Works,Ananya Print Works,Printing / Packaging,Manufacturing,1811,Orange,Bengaluru Urban,BLRU,560102,HSR Layout,Bommanahalli,Ward-174,"No 259, Plot Sector, HSR Layout, Bengaluru Urban, Karnataka - 560102",PAN_1824862865ABF30F,GSTIN_ACAA7D7367A1CA14,,9000396087,contact0050@examplebiz.in,2022-02-12,25,0-10
ENT-00051,Varun Enterprises,Varun Enterprises,Electronics Assembly,Manufacturing,2610,Orange,Bengaluru Urban,BLRU,560076,Bannerghatta Road,South,Ward-177,"No 144, Plot Service Road, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",,,,,,2017-05-10,18,500+
ENT-00052,Naveen Company,Naveen Company,Textile / Garments,Manufacturing,1410,Green,Bengaluru Urban,BLRU,560043,Kalyan Nagar,East,Ward-025,"No 150, Shed Service Road, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",PAN_7F27AB95BD05A4AD,,,,contact0052@examplebiz.in,2020-09-18,10,25-50
ENT-00053,Harsha Packaging Enterprises,Harsha Packaging Enterprises,Plastic Moulding,Manufacturing,2220,Red,Bengaluru Urban,BLRU,560059,Rajajinagar Industrial Suburb,West,Ward-067,"No 28, Plot 1st Cross, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",PAN_C2E0BB3AE997AD15,GSTIN_5C0684CC9D7E8ED6,UDYAM_9F5950A77EE90291,,contact0053@examplebiz.in,2017-05-12,18,100-500
ENT-00054,Srinidhi Milling Traders,Srinidhi Milling Traders,Food Processing,Manufacturing,1030,Orange,Bengaluru Urban,BLRU,560037,Whitefield,Mahadevapura,Ward-085,"No 224, Shed Behind Metro, Whitefield, Bengaluru Urban, Karnataka - 560037",PAN_5D5976C5B30E49A1,GSTIN_968D82CA0AD4A1F7,UDYAM_CCC56ABB7315DBB3,9000427763,contact0054@examplebiz.in,2015-10-01,52,50-100
ENT-00055,Bharath Machining Company,Bharath Machining Company,Machine Tools,Manufacturing,2819,Orange,Bengaluru Urban,BLRU,560059,Rajajinagar Industrial Suburb,West,Ward-067,"No 114, Plot Extension, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",PAN_68D96D53458F1A0C,GSTIN_E2E13346CEC78FD1,UDYAM_5E6C9B4E0F32F3FD,9000435682,contact0055@examplebiz.in,2014-10-14,25,0-10
ENT-00056,Bharath Graphics Solutions,Bharath Graphics Solutions,Printing / Packaging,Manufacturing,1811,Orange,Bengaluru Urban,BLRU,560078,Jayanagar,South,Ward-168,"No 262, Sector, Jayanagar, Bengaluru Urban, Karnataka - 560078",PAN_322CC0EAA89F2696,,,,,2025-06-22,3,500+
ENT-00057,Prakruthi Electronics Industries,Prakruthi Electronics Industries,Electronics Assembly,Manufacturing,2610,Orange,Mysuru,MYS,570016,Hebbal Industrial Area,North,Ward-M21,"No 8, Plot Main Road, Hebbal Industrial Area, Mysuru, Karnataka - 570016",PAN_DEC80A701A04C393,GSTIN_487CE3E3650EC8AB,,9000451520,contact0057@examplebiz.in,2018-08-22,52,10-25
ENT-00058,Siddhi Systems LLP,Siddhi Systems,Electronics Assembly,Manufacturing,2610,Orange,Bengaluru Urban,BLRU,560043,Kalyan Nagar,East,Ward-025,"No 285, D Extension, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",PAN_61DDEBCDB1F47867,GSTIN_F539CE4A9173FAE5,UDYAM_AA29C8091FE94621,9000459439,,2025-05-31,180,0-10
ENT-00059,Bangalore Apparels Company,Bangalore Apparels Company,Textile / Garments,Manufacturing,1410,Green,Mysuru,MYS,570018,Nanjangud Road,South,Ward-M32,"No 249, D 3rd Phase, Nanjangud Road, Mysuru, Karnataka - 570018",,,UDYAM_7EA77ABFB15DDB00,,contact0059@examplebiz.in,2022-12-01,4,10-25
ENT-00060,Veda Stitch LLP,Veda Stitch,Textile / Garments,Manufacturing,1410,Green,Bengaluru Rural,BLRR,562114,Hoskote,Bengaluru Rural,Ward-R04,"No 147, A Main Road, Hoskote, Bengaluru Rural, Karnataka - 562114",PAN_53DFB287DCA51FAF,GSTIN_EA2375D973EC6B1C,,9000475277,contact0060@examplebiz.in,2012-12-23,52,50-100
ENT-00061,Srinidhi Labs Industries,Srinidhi Labs Industries,Chemical Blending,Manufacturing,2029,Red,Bengaluru Rural,BLRR,562114,Hoskote,Bengaluru Rural,Ward-R04,"No 287, A Main Road, Hoskote, Bengaluru Rural, Karnataka - 562114",PAN_77A5109E48B40F39,,UDYAM_A50694DD57023F70,9000483196,,2014-12-16,12,25-50
ENT-00062,Veda Pharma Associates,Veda Pharma Associates,Pharmacy / Medical Retail,Retail,4772,Green,Bengaluru Urban,BLRU,560058,Peenya Industrial Area,Dasarahalli,Ward-038,"No 152, Main Road, Peenya Industrial Area, Bengaluru Urban, Karnataka - 560058",PAN_0B4A08BC3363755D,GSTIN_AE43FA27C2AF5156,,9000491115,,2023-08-08,12,25-50
ENT-00063,Lakshmi Graphics Works,Lakshmi Graphics Works,Printing / Packaging,Manufacturing,1811,Orange,Tumakuru,TUM,572101,BH Road,Tumakuru,Ward-T01,"No 278, Plot Near Bus Stop, BH Road, Tumakuru, Karnataka - 572101",,,UDYAM_BF0319BF84A28799,,,2019-11-23,52,100-500
ENT-00064,Veda Devices Co,Veda Devices Co,Electronics Assembly,Manufacturing,2610,Orange,Bengaluru Urban,BLRU,560034,Koramangala,South-East,Ward-151,"No 236, B Industrial Layout, Koramangala, Bengaluru Urban, Karnataka - 560034",PAN_351DA89F823C2212,GSTIN_7194B9F03832CED0,,,contact0064@examplebiz.in,2018-01-07,180,10-25
ENT-00065,Sri Agro Industries,Sri Agro Industries,Food Processing,Manufacturing,1030,Orange,Bengaluru Urban,BLRU,560076,Bannerghatta Road,South,Ward-177,"No 275, 1st Cross, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",PAN_3951A0735074896F,GSTIN_1B382335B1118E29,UDYAM_80ADFB464FD6712E,9000514872,contact0065@examplebiz.in,2014-03-05,5,50-100
ENT-00066,Sree Dine Co,Sree Dine Co,Restaurant / Cafe,Service,5610,Green,Bengaluru Urban,BLRU,560102,HSR Layout,Bommanahalli,Ward-174,"No 152, B Main Road, HSR Layout, Bengaluru Urban, Karnataka - 560102",,,UDYAM_60CADBD908A8652C,,,2023-09-05,25,100-500
ENT-00067,Sahana Meds Enterprises,Sahana Meds Enterprises,Pharmacy / Medical Retail,Retail,4772,Green,Bengaluru Urban,BLRU,560029,BTM Layout,South,Ward-176,"No 28, D 1st Cross, BTM Layout, Bengaluru Urban, Karnataka - 560029",,,,9000530710,contact0067@examplebiz.in,2012-04-26,18,50-100
ENT-00068,Vijaya Bites Industries,Vijaya Bites Industries,Restaurant / Cafe,Service,5610,Green,Mysuru,MYS,570001,Devaraja Mohalla,Central,Ward-M01,"No 100, Plot 1st Cross, Devaraja Mohalla, Mysuru, Karnataka - 570001",PAN_18D2A4B74B7DF3F5,GSTIN_52B491C8E1146F7C,UDYAM_ACE1332F42937C82,9000538629,,2015-01-27,8,0-10
ENT-00069,Ravi Health Traders,Ravi Health Traders,Pharmacy / Medical Retail,Retail,4772,Green,Bengaluru Urban,BLRU,560059,Rajajinagar Industrial Suburb,West,Ward-067,"No 85, Shed Main Road, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",PAN_5430CB75C709651E,,,,contact0069@examplebiz.in,2014-12-01,12,10-25
ENT-00070,Sri Spices Solutions,Sri Spices Solutions,Food Processing,Manufacturing,1030,Orange,Bengaluru Urban,BLRU,560001,MG Road,East,Ward-111,"No 22, Sector, MG Road, Bengaluru Urban, Karnataka - 560001",PAN_044439DBFC5F5D89,GSTIN_6C62F1DB040BC3E6,UDYAM_ED3F9A7D056CD250,9000554467,contact0070@examplebiz.in,2019-06-24,85,0-10
ENT-00071,Prakruthi CNC LLP,Prakruthi CNC,Machine Tools,Manufacturing,2819,Orange,Tumakuru,TUM,572106,Antharasanahalli Industrial Area,Tumakuru,Ward-T12,"No 3, A Behind Metro, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",PAN_F70D36755C5937CA,GSTIN_06336E828E872AF8,,9000562386,contact0071@examplebiz.in,2021-08-17,8,0-10
ENT-00072,Siddhi Bakery LLP,Siddhi Bakery,Food Processing,Manufacturing,1030,Orange,Bengaluru Urban,BLRU,560076,Bannerghatta Road,South,Ward-177,"No 83, A Main Road, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",PAN_1C5AC8317B27E0E0,,,,contact0072@examplebiz.in,2015-08-27,8,100-500
ENT-00073,Srinidhi Company,Srinidhi Company,Plastic Moulding,Manufacturing,2220,Red,Bengaluru Urban,BLRU,560037,Whitefield,Mahadevapura,Ward-085,"No 297, D 1st Cross, Whitefield, Bengaluru Urban, Karnataka - 560037",PAN_16FFF79FDBB72FE8,,,9000578224,contact0073@examplebiz.in,2020-08-23,52,25-50
ENT-00074,Kaveri Labels Traders,Kaveri Labels Traders,Printing / Packaging,Manufacturing,1811,Orange,Bengaluru Urban,BLRU,560085,Banashankari,South,Ward-182,"No 129, B Sector, Banashankari, Bengaluru Urban, Karnataka - 560085",PAN_D6A8E0DF0CCC7E6C,GSTIN_B03F9104717A968C,UDYAM_A7DCD6293A584229,9000586143,contact0074@examplebiz.in,2023-04-24,5,0-10
