udyam_record_id,enterprise_name,organisation_type,activity_type,nic_code,district,pin_code,employment_count,registration_date,status,pan_hash,udyam_hash,source_record_id,entity_id_ground_truth
UDYAM-KR-BLRU-2016-000011,NAVYA DEVICES CO,Partnership,Manufacturing,2610,Bengaluru Urban,560058,180,2016-01-27,CLOSED,PAN_A8B2B46C51047944,UDYAM_4D83CEBA4239C745,UDYAM-KR-BLRU-2016-000011,ENT-00020
UDYAM-KR-BLRU-2025-000012,Sri Devices Solutions,Private Limited,Manufacturing,2610,Bengaluru Urban,560102,12,2025-10-02,ACTIVE,PAN_2593B925C4CC393A,UDYAM_17AB19F9CF64732D,UDYAM-KR-BLRU-2025-000012,ENT-00023
UDYAM-KR-BLRU-2018-000013,Bangalore Moulding Associates,LLP,Manufacturing,2220,Bengaluru Urban,560043,,2018-08-25,DORMANT,PAN_8C25986E2674A596,UDYAM_212EC31FCD0E9121,UDYAM-KR-BLRU-2018-000013,ENT-00026
UDYAM-KR-BLRU-2019-000014,Asha Co,Partnership,Manufacturing,1410,Bengaluru Urban,560064,120,2019-06-13,CLOSED,PAN_70AD3CC61D3D7815,,UDYAM-KR-BLRU-2019-000014,ENT-00029
UDYAM-KR-BLRR-2019-000015,M/S Bharath Garments Traders,Proprietorship,Manufacturing,1410,Bengaluru Rural,562110,8,2019-03-11,CLOSED,PAN_F9056F6DC2DB582C,UDYAM_62FBD736C61D9422,UDYAM-KR-BLRR-2019-000015,ENT-00030
UDYAM-KR-BLRU-2023-000016,MYSORE ENTP,Partnership,Manufacturing,2819,Bengaluru Urban,560102,2,2023-07-15,ACTIVE,PAN_8895582F81504CB2,,UDYAM-KR-BLRU-2023-000016,ENT-00031
UDYAM-KR-MYS-2017-000017,M/S Deccan Industries,Partnership,Manufacturing,1410,Mysuru,570018,,2017-03-31,CLOSED,PAN_173C0F7D4925D38A,,UDYAM-KR-MYS-2017-000017,ENT-00033
UDYAM-KR-BLRU-2019-000018,Nandi Cargo Company,Proprietorship,Service,5210,Bengaluru Urban,560085,,2019-12-11,CLOSED,,UDYAM_D796BCE8301DC6FA,UDYAM-KR-BLRU-2019-000018,ENT-00034
UDYAM-KR-BLRU-2025-000019,M/S KAVERI COMPONENTS PVT. LTD.,LLP,Manufacturing,2610,Bengaluru Urban,560102,18,2025-04-16,CLOSED,,,UDYAM-KR-BLRU-2025-000019,ENT-00035
UDYAM-KR-BLRU-2025-000020,Meghana Bites Associates,Private Limited,Service,5610,Bengaluru Urban,560085,,2025-04-06,ACTIVE,PAN_908053A6F6D1D89A,UDYAM_2ECCD801DD0C79ED,UDYAM-KR-BLRU-2025-000020,ENT-00038
UDYAM-KR-MYS-2021-000021,Aditya Circuits Works,Proprietorship,Manufacturing,2610,Mysuru,570016,,2021-06-14,DORMANT,PAN_89974A6C9040BC8F,,UDYAM-KR-MYS-2021-000021,ENT-00042
UDYAM-KR-TUM-2015-000022,Kaveri Press Enterprises,Partnership,Manufacturing,1811,Tumakuru,572101,10,2015-07-06,CLOSED,PAN_4EA33D307B0EDD36,,UDYAM-KR-TUM-2015-000022,ENT-00043
UDYAM-KR-MYS-2017-000023,Aarohi Solutions,Proprietorship,Retail,4772,Mysuru,570016,,2017-10-03,CLOSED,,,UDYAM-KR-MYS-2017-000023,ENT-00044
UDYAM-KR-TUM-2025-000024,Bangalore Garments Solutions,Private Limited,Manufacturing,1410,Tumakuru,572106,18,2025-05-04,ACTIVE,,,UDYAM-KR-TUM-2025-000024,ENT-00045
UDYAM-KR-BLRU-2018-000025,Ravi LLP,Partnership,Retail,4772,Bengaluru Urban,560043,180,2018-08-15,CLOSED,PAN_7500201471E3B7BA,UDYAM_036CD26004F91949,UDYAM-KR-BLRU-2018-000025,ENT-00046
UDYAM-KR-BLRU-2022-000026,M/S Omkar Pvt Ltd,Partnership,Manufacturing,2220,Bengaluru Urban,560043,180,2022-03-22,DORMANT,PAN_70288CFE80E73E3E,UDYAM_9257BA41FA821053,UDYAM-KR-BLRU-2022-000026,ENT-00049
UDYAM-KR-BLRU-2019-000027,Ananya Print Works,LLP,Manufacturing,1811,Bengaluru Urban,560102,25,2019-01-01,CLOSED,PAN_1824862865ABF30F,,UDYAM-KR-BLRU-2019-000027,ENT-00050
UDYAM-KR-BLRU-2025-000028,Varun Enterprises,Proprietorship,Manufacturing,2610,Bengaluru Urban,560076,18,2025-07-12,ACTIVE,,,UDYAM-KR-BLRU-2025-000028,ENT-00051
UDYAM-KR-BLRU-2018-000029,NAVEEN COMPANY,Private Limited,Manufacturing,1410,Bengaluru Urban,560043,,2018-03-06,CLOSED,,,UDYAM-KR-BLRU-2018-000029,ENT-00052
UDYAM-KR-BLRU-2016-000030,Harsha Packaging Enterprises,Proprietorship,Manufacturing,2220,Bengaluru Urban,560059,18,2016-05-05,DORMANT,PAN_C2E0BB3AE997AD15,UDYAM_9F5950A77EE90291,UDYAM-KR-BLRU-2016-000030,ENT-00053
UDYAM-KR-BLRU-2021-000031,SRINIDHI MILLING TRADERS,Private Limited,Manufacturing,1030,Bengaluru Urban,560037,52,2021-02-24,CLOSED,,UDYAM_CCC56ABB7315DBB3,UDYAM-KR-BLRU-2021-000031,ENT-00054
UDYAM-KR-MYS-2024-000032,M/S Prakruthi Electronics Industries,Proprietorship,Manufacturing,2610,Mysuru,570016,52,2024-11-08,ACTIVE,PAN_DEC80A701A04C393,,UDYAM-KR-MYS-2024-000032,ENT-00057
UDYAM-KR-BLRU-2018-000033,Siddhi Systems LLP,Private Limited,Manufacturing,2610,Bengaluru Urban,560043,,2018-03-23,CLOSED,PAN_61DDEBCDB1F47867,UDYAM_AA29C8091FE94621,UDYAM-KR-BLRU-2018-000033,ENT-00058
UDYAM-KR-BLRR-2023-000034,M/S Veda Stitch LLP,LLP,Manufacturing,1410,Bengaluru Rural,562114,,2023-11-05,ACTIVE,PAN_53DFB287DCA51FAF,,UDYAM-KR-BLRR-2023-000034,ENT-00060
UDYAM-KR-BLRU-2018-000035,Veda Pharma Associates,Proprietorship,Retail,4772,Bengaluru Urban,560058,12,2018-03-20,CLOSED,PAN_0B4A08BC3363755D,,UDYAM-KR-BLRU-2018-000035,ENT-00062
UDYAM-KR-BLRU-2017-000036,VEDA DEVICES CO,Proprietorship,Manufacturing,2610,Bengaluru Urban,560034,180,2017-05-02,CLOSED,PAN_351DA89F823C2212,,UDYAM-KR-BLRU-2017-000036,ENT-00064
UDYAM-KR-BLRU-2016-000037,Sri Agro Industries,Partnership,Manufacturing,1030,Bengaluru Urban,560076,5,2016-09-04,CLOSED,PAN_3951A0735074896F,UDYAM_80ADFB464FD6712E,UDYAM-KR-BLRU-2016-000037,ENT-00065
UDYAM-KR-BLRU-2018-000038,M/S Sahana Meds Enterprises,Private Limited,Retail,4772,Bengaluru Urban,560029,,2018-08-18,CLOSED,,,UDYAM-KR-BLRU-2018-000038,ENT-00067
UDYAM-KR-TUM-2024-000039,Prakruthi CNC LLP,Proprietorship,Manufacturing,2819,Tumakuru,572106,8,2024-09-26,ACTIVE,,,UDYAM-KR-TUM-2024-000039,ENT-00071
UDYAM-KR-BLRU-2024-000040,SRINIDHI COMPANY,LLP,Manufacturing,2220,Bengaluru Urban,560037,52,2024-08-05,ACTIVE,PAN_16FFF79FDBB72FE8,,UDYAM-KR-BLRU-2024-000040,ENT-00073
UDYAM-KR-BLRU-2023-000041,Meghana Wear Traders,Proprietorship,Manufacturing,1410,Bengaluru Urban,560058,5,2023-04-08,ACTIVE,,,UDYAM-KR-BLRU-2023-000041,ENT-00081
UDYAM-KR-MYS-2018-000042,Prakruthi Packaging Solutions,Private Limited,Manufacturing,2220,Mysuru,570016,85,2018-11-19,DORMANT,PAN_5CC67906073C93C3,,UDYAM-KR-MYS-2018-000042,ENT-00082
UDYAM-KR-BLRU-2025-000043,NANDI ELECTRONICS SOLUTIONS,Private Limited,Manufacturing,2610,Bengaluru Urban,560100,8,2025-07-30,ACTIVE,,UDYAM_F78F3F5A84986C57,UDYAM-KR-BLRU-2025-000043,ENT-00083
UDYAM-KR-MYS-2018-000044,M/S Mysore Works,Private Limited,Manufacturing,2610,Mysuru,570018,3,2018-06-17,CLOSED,,,UDYAM-KR-MYS-2018-000044,ENT-00085
UDYAM-KR-BLRU-2023-000045,BHARATH TECH ASSOCIATES,Proprietorship,Manufacturing,2610,Bengaluru Urban,560029,18,2023-11-12,ACTIVE,PAN_2DA615F179254D21,,UDYAM-KR-BLRU-2023-000045,ENT-00090
UDYAM-KR-BLRU-2025-000046,M/S Sharma Stitch Enterprises,Partnership,Manufacturing,1410,Bengaluru Urban,560058,,2025-09-04,ACTIVE,,,UDYAM-KR-BLRU-2025-000046,ENT-00091
UDYAM-KR-BLRU-2020-000047,M/S Kavei Systems Pvt Ltd,Partnership,Manufacturing,2610,Bengaluru Urban,560102,10,2020-05-10,CLOSED,PAN_0752B7A29DDA5077,UDYAM_486AC2F9D047E49F,UDYAM-KR-BLRU-2020-000047,ENT-00093
UDYAM-KR-BLRU-2018-000048,Sharma Biryani Pvt Ltd,LLP,Service,5610,Bengaluru Urban,560068,4,2018-07-31,DORMANT,,UDYAM_ED899AFB6B5727AA,UDYAM-KR-BLRU-2018-000048,ENT-00094
UDYAM-KR-BLRR-2022-000049,Mysore Cargo olutions,Private Limited,Service,5210,Bengaluru Rural,562114,,2022-08-14,DORMANT,PAN_E9BD68AFABFF1B32,,UDYAM-KR-BLRR-2022-000049,ENT-00099
UDYAM-KR-TUM-2024-000050,Sharma CNC Enterprises,Partnership,Manufacturing,2819,Tumakuru,572106,12,2024-11-25,DORMANT,PAN_CF3D72FC68ACC925,UDYAM_3F8156D82D9F3F20,UDYAM-KR-TUM-2024-000050,ENT-00102
UDYAM-KR-BLRU-2017-000051,M/S Kaveri Pvt Ltd,Partnership,Manufacturing,2220,Bengaluru Urban,560029,,2017-05-05,DORMANT,PAN_45FE265FDFB35DE8,UDYAM_5EBF7B700AED988D,UDYAM-KR-BLRU-2017-000051,ENT-00105
UDYAM-KR-MYS-2018-000052,Harsha Industries,LLP,Manufacturing,1811,Mysuru,570001,4,2018-04-07,DORMANT,PAN_4E5246BB5DDF018D,,UDYAM-KR-MYS-2018-000052,ENT-00107
UDYAM-KR-BLRU-2023-000053,Mysore Fashions Enterprises,LLP,Manufacturing,1410,Bengaluru Urban,560064,3,2023-05-17,DORMANT,PAN_B5EF6E45EB57FE76,UDYAM_9769E20C926EF700,UDYAM-KR-BLRU-2023-000053,ENT-00108
UDYAM-KR-BLRU-2021-000054,Sharma Chem LLP,LLP,Manufacturing,2029,Bengaluru Urban,560085,,2021-02-13,DORMANT,PAN_1DABC2C1FF2E9BCB,UDYAM_DC548EEEB4B087BD,UDYAM-KR-BLRU-2021-000054,ENT-00110
UDYAM-KR-BLRU-2018-000055,Naveen Polymers Solutions,Proprietorship,Manufacturing,2220,Bengaluru Urban,560102,,2018-05-09,DORMANT,,UDYAM_F43AB8C8AD4BFE52,UDYAM-KR-BLRU-2018-000055,ENT-00111
UDYAM-KR-BLRU-2018-000056,M/SAnanya Solutions,Private Limited,Manufacturing,2029,Bengaluru Urban,560024,120,2018-06-10,CLOSED,PAN_4A21AB8C004EEBFF,,UDYAM-KR-BLRU-2018-000056,ENT-00112
UDYAM-KR-BLRU-2022-000057,M/S Prakruthi Packaging Industries,Private Limited,Manufacturing,1811,Bengaluru Urban,560043,18,2022-02-11,ACTIVE,,,UDYAM-KR-BLRU-2022-000057,ENT-00116
UDYAM-KR-BLRU-2022-000058,Prakruthi Electronics Industries,Proprietorship,Manufacturing,2610,Bengaluru Urban,560076,12,2022-04-26,DORMANT,,UDYAM_B93BD20086D93988,UDYAM-KR-BLRU-2022-000058,ENT-00118
UDYAM-KR-BLRU-2024-000059,Aarohi Apparels Company,Proprietorship,Manufacturing,1410,Bengaluru Urban,560076,120,2024-07-17,ACTIVE,PAN_85F87E236D2A6FCC,UDYAM_BB1D36B7E23905B5,UDYAM-KR-BLRU-2024-000059,ENT-00122
UDYAM-KR-BLRU-2024-000060,SAHANA WORKS COMPANY,Partnership,Manufacturing,2819,Bengaluru Urban,560059,10,2024-01-05,DORMANT,,UDYAM_8163A4B6D866AA63,UDYAM-KR-BLRU-2024-000060,ENT-00124
UDYAM-KR-BLRU-2018-000061,NAVYA SNACKS INDUSTRIES,Private Limited,Manufacturing,1030,Bengaluru Urban,560100,52,2018-11-12,DORMANT,PAN_A783B6C9AF59A03B,UDYAM_757413594D6114AB,UDYAM-KR-BLRU-2018-000061,ENT-00125
UDYAM-KR-BLRU-2015-000062,M/S Sri Devices LLP,LLP,Manufacturing,2610,Bengaluru Urban,560043,,2015-08-15,CLOSED,,UDYAM_A0235AC916403A8B,UDYAM-KR-BLRU-2015-000062,ENT-00129
UDYAM-KR-BLRU-2024-000063,Kaveri Cargo Solutions,Partnership,Service,5210,Bengaluru Urban,560078,180,2024-08-04,DORMANT,,,UDYAM-KR-BLRU-2024-000063,ENT-00130
UDYAM-KR-MYS-2018-000064,ADITYA SYSTEMS LLP,Partnership,Manufacturing,2610,Mysuru,570001,12,2018-07-26,CLOSED,PAN_231E8E36881D713A,,UDYAM-KR-MYS-2018-000064,ENT-00131
UDYAM-KR-BLRU-2023-000065,M/S Udupi Logistics Company,LLP,Service,5210,Bengaluru Urban,560043,25,2023-06-23,DORMANT,,,UDYAM-KR-BLRU-2023-000065,ENT-00134
UDYAM-KR-BLRU-2020-000066,OMKAR AGRO CO,Partnership,Manufacturing,1030,Bengaluru Urban,560100,,2020-12-07,DORMANT,,,UDYAM-KR-BLRU-2020-000066,ENT-00137
UDYAM-KR-BLRU-2022-000067,Omkar Agro Company,Partnership,Manufacturing,1030,Bengaluru Urban,560068,18,2022-11-13,ACTIVE,,UDYAM_65BB39DF3976E569,UDYAM-KR-BLRU-2022-000067,ENT-00140
UDYAM-KR-MYS-2016-000068,M/S NISARGA PACKAGING TRADERS,LLP,Manufacturing,2220,Mysuru,570001,5,2016-01-14,CLOSED,PAN_9242B1A8BB94D8E6,UDYAM_79189F6C5BF1B68B,UDYAM-KR-MYS-2016-000068,ENT-00141
UDYAM-KR-BLRU-2016-000069,M/S Udupi Circuits LLP,LLP,Manufacturing,2610,Bengaluru Urban,560043,10,2016-01-05,CLOSED,,UDYAM_7D65CF22B1600335,UDYAM-KR-BLRU-2016-000069,ENT-00146
UDYAM-KR-MYS-2021-000070,Bangalore Co,Partnership,Manufacturing,1030,Mysuru,570001,,2021-01-17,DORMANT,,,UDYAM-KR-MYS-2021-000070,ENT-00150
UDYAM-KR-BLRR-2017-000071,LAKSHMI GRAPHICS SOLUTIONS,LLP,Manufacturing,1811,Bengaluru Rural,562114,85,2017-01-19,CLOSED,PAN_E0145D13004EEF42,,UDYAM-KR-BLRR-2017-000071,ENT-00151
UDYAM-KR-BLRU-2024-000072,M/S Mysore Industries,LLP,Manufacturing,1030,Bengaluru Urban,560085,8,2024-05-29,ACTIVE,,UDYAM_1F9C6C683DD12F82,UDYAM-KR-BLRU-2024-000072,ENT-00156
UDYAM-KR-BLRU-2020-000073,NAVEEN COATINGS CO,Private Limited,Manufacturing,2029,Bengaluru Urban,560059,8,2020-11-05,DORMANT,PAN_4CECF5C23824B804,,UDYAM-KR-BLRU-2020-000073,ENT-00157
UDYAM-KR-TUM-2021-000074,Bangalore Machining Co,Private Limited,Manufacturing,2819,Tumakuru,572106,18,2021-10-31,DORMANT,PAN_C253452455C25653,UDYAM_88FCB70C071FF8BD,UDYAM-KR-TUM-2021-000074,ENT-00159
UDYAM-KR-TUM-2019-000075,SRINIDHI BITESCO,LLP,Service,5610,Tumakuru,572106,12,2019-08-11,ACTIVE,,,UDYAM-KR-TUM-2019-000075,ENT-00160
UDYAM-KR-BLRU-2016-000076,Bangalore Apparels Enterprises,Proprietorship,Manufacturing,1410,Bengaluru Urban,560064,10,2016-11-18,CLOSED,PAN_188F0257D655F65E,UDYAM_CEC0B6482D141828,UDYAM-KR-BLRU-2016-000076,ENT-00161
UDYAM-KR-BLRU-2025-000077,M/S Ananya CNC LLP,Partnership,Manufacturing,2819,Bengaluru Urban,560037,,2025-05-29,ACTIVE,PAN_B48DAB13DA2391E4,UDYAM_512C5935214F7494,UDYAM-KR-BLRU-2025-000077,ENT-00162
UDYAM-KR-BLRR-2017-000078,Asha Clinic Solutions,LLP,Retail,4772,Bengaluru Rural,562114,,2017-06-30,CLOSED,PAN_4BF31E197F6C8CA4,UDYAM_725F6231D2FB35A5,UDYAM-KR-BLRR-2017-000078,ENT-00163
UDYAM-KR-BLRR-2023-000079,VARUN DINE COMPANY,LLP,Service,5610,Bengaluru Rural,562110,180,2023-02-10,CLOSED,,UDYAM_D1B8F889D2EC3579,UDYAM-KR-BLRR-2023-000079,ENT-00165
UDYAM-KR-BLRU-2018-000080,Sharma Electronics Solutions,Private Limited,Manufacturing,2610,Bengaluru Urban,560001,,2018-11-08,CLOSED,,,UDYAM-KR-BLRU-2018-000080,ENT-00166
UDYAM-KR-MYS-2021-000081,M/S Asha Bakery Co,Proprietorship,Manufacturing,1030,Mysuru,570001,4,2021-01-24,ACTIVE,PAN_12B94F06E81BCB0C,UDYAM_C20580405F2B3956,UDYAM-KR-MYS-2021-000081,ENT-00169
UDYAM-KR-TUM-2021-000082,M/S VIJAYA FASHIONS WORKS,Partnership,Manufacturing,1410,Tumakuru,572106,8,2021-08-18,DORMANT,PAN_EA6738D6060A4803,UDYAM_3B9F909169AC0625,UDYAM-KR-TUM-2021-000082,ENT-00171
UDYAM-KR-BLRU-2016-000083,MS Prakruthi LLP,Proprietorship,Manufacturing,1410,Bengaluru Urban,560085,12,2016-03-25,DORMANT,,,UDYAM-KR-BLRU-2016-000083,ENT-00175
UDYAM-KR-BLRU-2018-000084,Siddhi Warehouse Solutions,Private Limited,Service,5210,Bengaluru Urban,560102,2,2018-05-03,DORMANT,,,UDYAM-KR-BLRU-2018-000084,ENT-00176
UDYAM-KR-MYS-2023-000085,M/S Sree Associates,Partnership,Manufacturing,2819,Mysuru,570018,3,2023-03-29,ACTIVE,,UDYAM_9651B69054FAFA2F,UDYAM-KR-MYS-2023-000085,ENT-00179
UDYAM-KR-BLRU-2025-000086,SRI PVT LTD,Private Limited,Manufacturing,1811,Bengaluru Urban,560102,,2025-11-04,ACTIVE,,UDYAM_98B4ABF624CAF504,UDYAM-KR-BLRU-2025-000086,ENT-00182
UDYAM-KR-BLRU-2017-000087,Varun Components LLP,Private Limited,Manufacturing,2610,Bengaluru Urban,560066,120,2017-05-25,CLOSED,PAN_556CEA8023E9B203,,UDYAM-KR-BLRU-2017-000087,ENT-00184
UDYAM-KR-MYS-2015-000088,SHARMA PVT LTD,Partnership,Manufacturing,2220,Mysuru,570018,180,2015-07-15,CLOSED,PAN_53FF0F575981F6E7,UDYAM_0EB9F5284FA8C47C,UDYAM-KR-MYS-2015-000088,ENT-00185
UDYAM-KR-BLRU-2016-000089,Nisarga Enterprises,LLP,Manufacturing,1410,Bengaluru Urban,560001,12,2016-11-07,CLOSED,,,UDYAM-KR-BLRU-2016-000089,ENT-00186
UDYAM-KR-BLRU-2017-000090,Lakshmi Solvents Company,Proprietorship,Manufacturing,2029,Bengaluru Urban,560029,18,2017-07-15,DORMANT,PAN_068348B7FFFBEC72,,UDYAM-KR-BLRU-2017-000090,ENT-00188
UDYAM-KR-BLRU-2024-000091,Sahana Apparels Co,LLP,Manufacturing,1410,Bengaluru Urban,560037,4,2024-12-13,ACTIVE,PAN_82BF0A28E48531E5,UDYAM_7888386A935B3AC6,UDYAM-KR-BLRU-2024-000091,ENT-00189
UDYAM-KR-BLRU-2017-000092,M/S MEGHANA POLYMERS ASSOCIATES,Partnership,Manufacturing,2220,Bengaluru Urban,560085,,2017-09-12,DORMANT,,,UDYAM-KR-BLRU-2017-000092,ENT-00193
UDYAM-KR-BLRU-2017-000093,Meghana Moulding Industries,Partnership,Manufacturing,2220,Bengaluru Urban,560058,180,2017-05-14,CLOSED,,UDYAM_02B61BECC5693E13,UDYAM-KR-BLRU-2017-000093,ENT-00195
UDYAM-KR-BLRU-2015-000094,M/S Kaveri Bakery LLP,Partnership,Manufacturing,1030,Bengaluru Urban,560059,12,2015-06-05,DORMANT,,UDYAM_8257D1FEE95102A8,UDYAM-KR-BLRU-2015-000094,ENT-00198
UDYAM-KR-BLRR-2023-000095,UDUPI ELECTRONICS LLP,Private Limited,Manufacturing,2610,Bengaluru Rural,562110,,2023-01-30,DORMANT,,,UDYAM-KR-BLRR-2023-000095,ENT-00199
UDYAM-KR-BLRR-2018-000096,M/S Sri Moulding Works,Private Limited,Manufacturing,2220,Bengaluru Rural,562110,,2018-06-27,DORMANT,PAN_BE42AD4FEE81560A,,UDYAM-KR-BLRR-2018-000096,ENT-00200
UDYAM-KR-BLRU-2024-000097,M/S Veda Agro Co,Partnership,Manufacturing,1030,Bengaluru Urban,560059,85,2024-12-30,DORMANT,PAN_359BBEA1FD8C7255,,UDYAM-KR-BLRU-2024-000097,ENT-00202
UDYAM-KR-BLRR-2015-000098,M/S Siddhi Industries,Proprietorship,Retail,4772,Bengaluru Rural,562114,36,2015-01-31,CLOSED,PAN_F7C92716361A4CE9,UDYAM_47F2C51E7A1E6170,UDYAM-KR-BLRR-2015-000098,ENT-00203
UDYAM-KR-MYS-2020-000099,AAROHI SOLUTIONS,Partnership,Manufacturing,1030,Mysuru,570016,,2020-06-06,DORMANT,PAN_16E89EBFC49A5712,,UDYAM-KR-MYS-2020-000099,ENT-00205
UDYAM-KR-BLRR-2022-000100,Veda Associates,Proprietorship,Manufacturing,2819,Bengaluru Rural,562157,12,2022-10-04,DORMANT,,,UDYAM-KR-BLRR-2022-000100,ENT-00206
UDYAM-KR-BLRU-2016-000101,Deccan Coatings Associates,Proprietorship,Manufacturing,2029,Bengaluru Urban,560102,3,2016-01-19,CLOSED,,UDYAM_77E4BFC2D3E3C1ED,UDYAM-KR-BLRU-2016-000101,ENT-00207
UDYAM-KR-MYS-2022-000102,M/S SAHANA WAREHOUSE TRADERS,Proprietorship,Service,5210,Mysuru,570001,,2022-12-16,DORMANT,PAN_89BE03B357BCA9D1,,UDYAM-KR-MYS-2022-000102,ENT-00208
UDYAM-KR-BLRU-2024-000103,Ananya Circuits Enterprises,LLP,Manufacturing,2610,Bengaluru Urban,560085,,2024-08-15,CLOSED,PAN_89D177635C352E51,,UDYAM-KR-BLRU-2024-000103,ENT-00209
UDYAM-KR-BLRU-2024-000104,Lakshmi Electronics LLP,Proprietorship,Manufacturing,2610,Bengaluru Urban,560024,52,2024-07-28,ACTIVE,PAN_738953493A0FA497,,UDYAM-KR-BLRU-2024-000104,ENT-00210
UDYAM-KR-TUM-2017-000105,Udupi Systems Traders,Proprietorship,Manufacturing,2610,Tumakuru,572101,,2017-10-02,CLOSED,PAN_FC237A66E9A54724,,UDYAM-KR-TUM-2017-000105,ENT-00211
UDYAM-KR-BLRU-2015-000106,Bangalore Snacks LLP,Partnership,Manufacturing,1030,Bengaluru Urban,560078,,2015-08-26,CLOSED,PAN_8B7F46C3150F7A0E,,UDYAM-KR-BLRU-2015-000106,ENT-00213
UDYAM-KR-BLRU-2017-000107,Siddhi Industries,Partnership,Manufacturing,2029,Bengaluru Urban,560029,2,2017-01-25,ACTIVE,PAN_B5A69475EBF0A3B0,UDYAM_5A29D0A970881B05,UDYAM-KR-BLRU-2017-000107,ENT-00217
UDYAM-KR-BLRU-2020-000108,Lakshmi Works,Proprietorship,Service,5210,Bengaluru Urban,560085,,2020-04-29,CLOSED,PAN_B8D224DC7798B19F,,UDYAM-KR-BLRU-2020-000108,ENT-00221
UDYAM-KR-MYS-2015-000109,Varun Mold LLP,LLP,Manufacturing,2220,Mysuru,570016,180,2015-07-15,DORMANT,,UDYAM_1B2FD750D63666AA,UDYAM-KR-MYS-2015-000109,ENT-00223
UDYAM-KR-BLRU-2015-000110,Sree Tools LLP,Proprietorship,Manufacturing,2819,Bengaluru Urban,560066,,2015-12-07,CLOSED,PAN_2D9B0A600CB57046,,UDYAM-KR-BLRU-2015-000110,ENT-00226
UDYAM-KR-BLRU-2023-000111,Kaveri Print Company,Private Limited,Manufacturing,1811,Bengaluru Urban,560059,2,2023-03-12,ACTIVE,PAN_60A912FAABF10F02,UDYAM_EC40EEEEFCE34A59,UDYAM-KR-BLRU-2023-000111,ENT-00228
UDYAM-KR-TUM-2021-000112,Lakshmi Medical LLP,Partnership,Retail,4772,Tumakuru,572101,8,2021-03-31,DORMANT,PAN_6050C8E371DDADD8,UDYAM_AD2F73D143F4FE1F,UDYAM-KR-TUM-2021-000112,ENT-00229
UDYAM-KR-MYS-2020-000113,M/S Srinidhi Traders,Private Limited,Manufacturing,2819,Mysuru,570016,3,2020-04-07,CLOSED,PAN_144B2AE572B63DB3,,UDYAM-KR-MYS-2020-000113,ENT-00233
