source_record_id,source_system,source_system_name,entity_id_ground_truth,business_name,trade_name,owner_name_masked,address,locality,district,district_code,pin_code,ward,zone,business_type,business_category,nic_code,pollution_category,pan_hash,gstin_hash,udyam_hash,phone,email,registration_date,last_event_date,status,employee_count,turnover_band_lakh,ingested_at,data_quality_notes
GST-KA-MYS-2024-000005,GST,GST Taxpayer Registry,ENT-00006,DeccanInds,Deccan Industries,Owner A,"151, C 2nd Main, Devaraja Mohalla, Mysuru, KA - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Plastic Moulding,Manufacturing,2220,Red,PAN_70C38193FB6728B8,,,9000047651,contact0006@examplebiz.in,2024-06-27,2024-09-30,DORMANT,,,2026-03-23,gstin_hash
PCB/MYS/CTO/2018/00003,KSPCB,Karnataka State Pollution Control Board,ENT-00006,M/S Deccan Industries,,,"151, C 2nd Main, Devaraja Mohalla, Mysuru, KA - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Plastic Moulding,Manufacturing,2220,Red,,,,9000047651,,2018-01-18,2022-04-22,CLOSED,120,,2026-01-15,pan_hash;gstin_hash;email
LAB-KA-MYS-2016-000002,LABOUR,Labour Department,ENT-00006,Deccan Industres,Deccan Industries,Partner 1,"No. 151, C 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Plastic Moulding,Manufacturing,2220,Red,PAN_70C38193FB6728B8,,,9000047651,contact0006@examplebiz.in,2016-10-09,2017-10-09,CLOSED,,,2026-04-20,gstin_hash
KAR-SHOP-MYS-2024-000003,SHOP,Karnataka Shops and Commercial Establishments,ENT-00006,Deccan Industries,Decan Industries,Director Masked,"151, C 2nd Main, Devaraja Mohalla, Mysuru, K'taka - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Plastic Moulding,Manufacturing,2220,Red,,,UDYAM_414CC424A220C311,9000047651,,2024-11-17,2025-05-06,ACTIVE,120,,2026-05-04,pan_hash;gstin_hash;email
UDYAM-KR-MYS-2023-000003,UDYAM,Udyam / MSME Registry,ENT-00006,Deccan Industries,,Managing Partner,"#151, C 2nd Main, Devaraja Mohalla, Mysuru, K'taka - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Plastic Moulding,Manufacturing,2220,Red,PAN_70C38193FB6728B8,,UDYAM_414CC424A220C311,9000047651,contact0006@examplebiz.in,2023-11-04,2024-08-02,DORMANT,,10-25,2026-03-27,gstin_hash
KAR-SHOP-BLRU-2022-000004,SHOP,Karnataka Shops and Commercial Establishments,ENT-00007,Sree Logistics Pvt Ltd,M/S Sree Logistics,Partner 1,"No 105, B 2nd Main, HSR Layout, Bangalore Urban, KA - 560102",HSR Layout,Bengaluru Urban,BLRU,560102,Ward-174,Bommanahalli,Logistics / Warehouse,Service,5210,Green,,,,9000055570,contact0007@examplebiz.in,2022-04-05,2026-01-04,ACTIVE,,,2026-05-01,pan_hash;gstin_hash
BBMP-TL-BOMM-2015-000001,BBMP,BBMP Trade Licence,ENT-00008,Siddhi Cafe Industries,Siddhi Cafe Industries,,"181, A Near Bus Stop, Electronic City, Bangalore Urban, KA - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Restaurant / Cafe,Service,5610,Green,,,,9000063489,,2015-05-11,2022-06-20,CLOSED,12,100-500,2025-11-24,pan_hash;gstin_hash;email
PCB/BLRU/CTO/2020/00004,KSPCB,Karnataka State Pollution Control Board,ENT-00008,Siddhi Cafe Industries,Siddhi Cafe Inds,Partner 1,"181, A Near Bus Stop, Electronic City, Bangalore Urban, KA",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Restaurant / Cafe,Service,5610,Green,PAN_4E65EEA48AF43A2C,,,,contact0008@examplebiz.in,2020-04-08,2025-08-07,ACTIVE,,100-500,2026-03-30,gstin_hash;phone
LAB-KA-BLRU-2016-000003,LABOUR,Labour Department,ENT-00008,Siddhi Cafe Industries,Siddhi Cafe Industries,Owner B,"No. 181, A Near Bus Stop, Electronic City, Bangalore Urban, Karnataka - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Restaurant / Cafe,Service,5610,Green,,,,,,2016-12-17,2023-12-09,CLOSED,12,100-500,2025-12-07,pan_hash;gstin_hash;phone;email
KAR-SHOP-BLRU-2024-000005,SHOP,Karnataka Shops and Commercial Establishments,ENT-00008,Siddhi Cafe Inds,Siddhi Cafe ndustries,Director Masked,"#181, A Near Bus Stop, Electronic City, Bengaluru Urban, Karnataka - 560100",Electronic City,Bengaluru Urban,BLRU,560037,Ward-192,Bommanahalli,Restaurant / Cafe,Service,5610,Green,,,,,,2024-01-31,2025-12-12,ACTIVE,12,,2025-11-21,pan_hash;gstin_hash;phone;email;pin_drift
UDYAM-KR-BLRU-2018-000004,UDYAM,Udyam / MSME Registry,ENT-00008,Siddhi Cafe Inds,Siddhi Cafe Industries,,"No 181, A Near Bus Stop, Electronic City, B'luru Urban, KA - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Restaurant / Cafe,Service,5610,Green,PAN_4E65EEA48AF43A2C,,,9000063489,contact0008@examplebiz.in,2018-02-14,2021-08-08,CLOSED,12,100-500,2025-11-27,gstin_hash
GST-KA-BLRR-2025-000006,GST,GST Taxpayer Registry,ENT-00009,M/S Srinidhi Trans Works,,Owner B,"284, Shed 1st Crs, Hoskote, Bangalore Rural, KA - 562114",Hoskote,Bengaluru Rural,BLRR,562114,Ward-R04,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,,,,9000071408,,2025-02-23,2025-10-24,ACTIVE,,,2026-03-06,pan_hash;gstin_hash;email
PCB/BLRR/CTE/2019/00005,KSPCB,Karnataka State Pollution Control Board,ENT-00009,Srinidhi Trans Works,Srinidhi Trans Works,Partner 1,"284, Shed 1st Cr, Hoskote, Bengaluru Rural, Karnataka - 562114",Hoskote,Bengaluru Rural,BLRR,562114,Ward-R04,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,,,,,,2019-09-23,2022-01-12,CLOSED,120,500+,2026-02-15,pan_hash;gstin_hash;phone;email
KAR-SHOP-BLRR-2021-000006,SHOP,Karnataka Shops and Commercial Establishments,ENT-00009,Srinidhi rans Works,,Partner 1,"284, Shed 1st Cr, Hoskote, B'luru Rural, KA - 562114",Hoskote,Bengaluru Rural,BLRR,562114,Ward-R04,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,,,,9000071408,,2021-06-22,2023-04-11,CLOSED,,500+,2025-11-14,pan_hash;gstin_hash;email
BBMP-TL-SOUT-2016-000002,BBMP,BBMP Trade Licence,ENT-00010,M/S Ganesh Dine LLP,,Director Masked,"No. 149, B Mn Rd, Banashankari, B'luru Urban, KA - 560085",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Restaurant / Cafe,Service,5610,Green,,,,,,2016-06-25,2024-06-22,DORMANT,25,500+,2025-11-16,pan_hash;gstin_hash;phone;email
GST-KA-BLRU-2025-000007,GST,GST Taxpayer Registry,ENT-00010,Ganesh Dine LLP,,Director Masked,"No. 149, B Main Road, Banashankari, Bengaluru Urban, Karnataka - 560085",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Restaurant / Cafe,Service,5610,Green,PAN_9D3A02B5E38FC0F6,GSTIN_9680680B987EE9AF,,,,2025-01-10,2025-09-20,ACTIVE,25,,2026-02-02,phone;email
KAR-SHOP-BLRU-2022-000007,SHOP,Karnataka Shops and Commercial Establishments,ENT-00010,Ganesh Dine LLP,Ganesh Dine,Managing Partner,"149, B Mn Rd, Banashankari, B'luru Urban, KA - 560085",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Restaurant / Cafe,Service,5610,Green,PAN_9D3A02B5E38FC0F6,,,,,2022-04-27,2025-05-19,ACTIVE,,500+,2026-01-27,gstin_hash;phone;email
UDYAM-KR-BLRU-2015-000005,UDYAM,Udyam / MSME Registry,ENT-00010,Ganesh Dine LLP,Ganesh Dine,Director Masked,"149, B Main Road, Banashankari, Bengaluru Urban, K'taka - 560085",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Restaurant / Cafe,Service,5610,Green,PAN_9D3A02B5E38FC0F6,,UDYAM_25510CB27689351F,9000079327,,2015-08-30,2019-04-13,CLOSED,25,500+,2026-02-12,gstin_hash;email
KFBIS-FAC-BLRU-2023-000004,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00011,Naveen Fashions Traders,Naveen Fashions Traders,Director Masked,"#34, B Main Rd, Bannerghatta Road, B'luru Urban, K'taka - 560076",Bannerghatta Road,Bengaluru Urban,BLRU,560076,Ward-177,South,Textile / Garments,Manufacturing,1410,Green,PAN_8C7374FD50D77AA2,GSTIN_4EC2C607A831562B,,9000087246,,2023-07-10,2025-07-23,ACTIVE,180,,2026-01-27,email
GST-KA-BLRU-2019-000008,GST,GST Taxpayer Registry,ENT-00011,Naveen Fashions Traders,Naveen Fashions Traders,Owner A,"No 34, B Main Rd, Bannerghatta Road, B'luru Urban, KA - 560076",Bannerghatta Road,Bengaluru Urban,BLRU,560076,Ward-177,South,Textile / Garments,Manufacturing,1410,Green,PAN_8C7374FD50D77AA2,GSTIN_4EC2C607A831562B,,9000087246,,2019-08-15,2025-04-06,DORMANT,180,25-50,2026-01-23,email
LAB-KA-BLRU-2020-000004,LABOUR,Labour Department,ENT-00011,Naveen Fashions Traders,,Director Masked,"34, B Main Road, Bannerghatta Road, Bangalore Urban, K'taka - 560076",Bannerghatta Road,Bengaluru Urban,BLRU,560076,Ward-177,South,Textile / Garments,Manufacturing,1410,Green,PAN_8C7374FD50D77AA2,,,9000087246,,2020-10-07,2021-04-22,CLOSED,,25-50,2026-03-04,gstin_hash;email
KAR-SHOP-BLRU-2025-000008,SHOP,Karnataka Shops and Commercial Establishments,ENT-00011,Naveen Fashions Traders,,Owner B,"34, B Main Rd, Bannerghatta Road, B'luru Urban, Karnataka - 560076",Bannerghatta Road,Bengaluru Urban,BLRU,560076,Ward-177,South,Textile / Garments,Manufacturing,1410,Green,,,,9000087246,,2025-03-23,2025-11-06,ACTIVE,,25-50,2026-02-13,pan_hash;gstin_hash;email
UDYAM-KR-BLRU-2016-000006,UDYAM,Udyam / MSME Registry,ENT-00011,NAVEEN FASHIONS TRADERS,Naveen Fashins Traders,Owner B,"No. 34, B Mn Rd, Bannerghatta Road, B'luru Urban, Karnataka - 560076",Bannerghatta Road,Bengaluru Urban,BLRU,560076,Ward-177,South,Textile / Garments,Manufacturing,1410,Green,PAN_8C7374FD50D77AA2,GSTIN_4EC2C607A831562B,UDYAM_89BECB8C05549B04,9000087246,,2016-01-17,2021-09-13,CLOSED,,,2025-11-10,email
KFBIS-FAC-MYS-2019-000005,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00012,Naveen Systems Pvt Ltd,M/S Naveen Systems,Director Masked,"No. 291, D Sector, Devaraja Mohalla, Mysuru, KA - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Electronics Assembly,Manufacturing,2610,Orange,,GSTIN_F4E00424CB03A26C,,,contact0012@examplebiz.in,2019-03-20,2021-05-06,CLOSED,18,10-25,2026-01-27,pan_hash;phone
PCB/MYS/CTO/2023/00006,KSPCB,Karnataka State Pollution Control Board,ENT-00012,Naveen Systems Pvt Ltd,M/S Naveen Systems,Partner 1,"No 291, D Sector, Devaraja Mohalla, Mysuru, K'taka - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Electronics Assembly,Manufacturing,2610,Orange,PAN_BE1A19570FE9AE0F,GSTIN_F4E00424CB03A26C,,9000095165,,2023-05-04,2024-02-21,CLOSED,,10-25,2026-03-10,email
UDYAM-KR-MYS-2020-000007,UDYAM,Udyam / MSME Registry,ENT-00012,Naveen Systems Pvt. Ltd.,Naveen Systems,Director Masked,"No 291, D Sector, Devaraja Mohalla, Mysuru, KA - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Electronics Assembly,Manufacturing,2610,Orange,PAN_BE1A19570FE9AE0F,,,,,2020-05-11,2024-01-01,DORMANT,,,2026-04-05,gstin_hash;phone;email
BBMP-TL-CENT-2021-000003,BBMP,BBMP Trade Licence,ENT-00013,Mysore Bies Works,M/S Mysore Bites Works,,"4, D 2nd Main, Devaraja Mohalla, Mysuru, KA - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Restaurant / Cafe,Service,5610,Green,,GSTIN_66B07237543C6EDC,,,,2021-02-07,2021-05-10,CLOSED,180,500+,2025-11-23,pan_hash;phone;email
GST-KA-MYS-2024-000009,GST,GST Taxpayer Registry,ENT-00013,MYSORE BITES WORKS,Mysore Bites Works,Partner 1,"No. 4, D 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Restaurant / Cafe,Service,5610,Green,PAN_7EA7B232D0E1064D,GSTIN_66B07237543C6EDC,,9000103084,,2024-10-19,2025-06-04,ACTIVE,180,500+,2025-12-12,email
KAR-SHOP-MYS-2015-000009,SHOP,Karnataka Shops and Commercial Establishments,ENT-00013,Mysore Bites Works,,Managing Partner,"No. 4, D 2nd Main, Devaraja Mohalla, Mysuru, K'taka - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Restaurant / Cafe,Service,5610,Green,,,,9000103084,,2015-03-26,2022-03-31,CLOSED,180,,2025-12-27,pan_hash;gstin_hash;email
BBMP-TL-BOMM-2021-000004,BBMP,BBMP Trade Licence,ENT-00014,Siddhi Industrial Inds,Siddhi Industrial Inds,Owner B,"No 243, B Extension, Electronic City, Bengaluru Urban, Karnataka - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Chemical Blending,Manufacturing,2029,Red,,GSTIN_4CBBAC49634564E0,,,,2021-01-12,2022-12-20,CLOSED,2,,2025-11-11,pan_hash;phone;email
KFBIS-FAC-BLRU-2019-000006,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00014,Siddhi Industrial Industries,Siddhi Industrial Industries,Owner B,"No. 243, B Extension, Electronic City, Bengaluru Urban, K'taka - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Chemical Blending,Manufacturing,2029,Red,PAN_58C0287F2DFBF4D1,,,9000111003,,2019-01-01,2019-12-14,CLOSED,2,,2025-12-31,gstin_hash;email
PCB/BLRU/CTE/2018/00007,KSPCB,Karnataka State Pollution Control Board,ENT-00014,Siddhi Industrial Inds,Siddhi Industrial Industries,Owner A,"243, B Extension, Electronic City, B'luru Urban, Karnataka - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Chemical Blending,Manufacturing,2029,Red,,,UDYAM_98AA4B4C505E9FA1,9000111003,,2018-08-21,2021-03-05,CLOSED,,,2026-04-03,pan_hash;gstin_hash;email
LAB-KA-BLRU-2025-000005,LABOUR,Labour Department,ENT-00014,Siddhi Industrial Industries,Siddhi Industria Industries,Partner 1,"#243, B Extension, Electronic City, B'luru Urban, Karnataka - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Chemical Blending,Manufacturing,2029,Red,,,UDYAM_98AA4B4C505E9FA1,9000111003,,2025-05-09,2025-07-18,CLOSED,2,,2025-12-18,pan_hash;gstin_hash;email
KAR-SHOP-BLRU-2017-000010,SHOP,Karnataka Shops and Commercial Establishments,ENT-00014,Siddhi Industrial Industries,Siddhi Industrial Industries,,"#243, B Extension, Electronic City, Bengaluru Urban, KA - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Chemical Blending,Manufacturing,2029,Red,PAN_58C0287F2DFBF4D1,GSTIN_4CBBAC49634564E0,,9000111003,,2017-09-03,2023-07-03,DORMANT,2,10-25,2026-02-19,email
UDYAM-KR-BLRU-2016-000008,UDYAM,Udyam / MSME Registry,ENT-00014,Siddhi Industrial Industries,M/S Siddhi Industrial Industries,Owner B,"#243, B Extension, Electronic City, Bangalore Urban, KA - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Chemical Blending,Manufacturing,2029,Red,PAN_58C0287F2DFBF4D1,,UDYAM_98AA4B4C505E9FA1,9000111003,,2016-04-13,2018-08-01,CLOSED,2,,2026-04-26,gstin_hash;email
BBMP-TL-BENG-2020-000005,BBMP,BBMP Trade Licence,ENT-00015,Meghana Warehouse Traders,Meghana Warehouse Traders,,"#57, D Near Bus Stop, Devanahalli, Bangalore Rural, Karnataka - 562110",Devanahalli,Bengaluru Rural,BLRR,562110,Ward-R01,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,PAN_BB5B3071AA21F9A0,,,,,2020-11-08,2021-02-20,CLOSED,,25-50,2026-01-11,gstin_hash;phone;email
GST-KA-BLRR-2023-000010,GST,GST Taxpayer Registry,ENT-00015,MEGHANA WAREHOUSE TRADERS,Meghana Warehouse Traders,Director Masked,"No 57, D Near Bus Stop, Devanahalli, Bangalore Rural, K'taka - 562110",Devanahalli,Bengaluru Rural,BLRR,562110,Ward-R01,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,PAN_BB5B3071AA21F9A0,,,,,2023-04-27,2024-12-06,DORMANT,,,2026-03-06,gstin_hash;phone;email
LAB-KA-BLRR-2022-000006,LABOUR,Labour Department,ENT-00015,M/S Meghana Warehouse Traders,Meghana Warehouse Traders,,"No. 57, D Near Bus Stop, Devanahalli, Bangalore Rural, KA - 562110",Devanahalli,Bengaluru Rural,BLRR,562110,Ward-R01,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,PAN_BB5B3071AA21F9A0,,,,,2022-01-09,2023-10-15,DORMANT,8,,2026-01-26,gstin_hash;phone;email
UDYAM-KR-BLRR-2023-000009,UDYAM,Udyam / MSME Registry,ENT-00015,MEGHANA WAREHOUSE TRADERS,,Owner B,"No. 57, D Near Bus Stop, Devanahalli, B'luru Rural, Karnataka - 562110",Devanahalli,Bengaluru Rural,BLRR,562110,Ward-R01,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,PAN_BB5B3071AA21F9A0,,UDYAM_3B4A84F61A4AA029,,,2023-01-02,2024-01-20,DORMANT,8,,2025-12-08,gstin_hash;phone;email
GST-KA-BLRR-2017-000011,GST,GST Taxpayer Registry,ENT-00016,M/S Nandi Trans Solutions,Nandi Trans Solutions,Owner B,"#162, Sector, Doddaballapura, B'luru Rural, K'taka - 561203",Doddaballapura,Bengaluru Rural,BLRR,561203,Ward-R09,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,PAN_D072F79BB809F27C,,,,contact0016@examplebiz.in,2017-10-20,2026-05-03,ACTIVE,,,2025-11-10,gstin_hash;phone
LAB-KA-BLRR-2018-000007,LABOUR,Labour Department,ENT-00016,Nandi Trans Solutions,Nandi Trans Solutions,,"No. 162, Sector, Doddaballapura, Bengaluru Rural, K'taka - 561203",Doddaballapura,Bengaluru Rural,BLRR,561203,Ward-R09,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,PAN_D072F79BB809F27C,,,,,2018-07-22,2024-08-29,DORMANT,52,,2025-11-28,gstin_hash;phone;email
KAR-SHOP-BLRR-2016-000011,SHOP,Karnataka Shops and Commercial Establishments,ENT-00016,Nandi Trans Solutions,Nandi Trans Solutions,Director Masked,"162, Sector, Doddaballapura, Bengaluru Rural, Karnataka - 561203",Doddaballapura,Bengaluru Rural,BLRR,561203,Ward-R09,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,,,,9000126841,contact0016@examplebiz.in,2016-12-30,2020-05-17,CLOSED,52,,2026-01-23,pan_hash;gstin_hash
BBMP-TL-BENG-2020-000006,BBMP,BBMP Trade Licence,ENT-00017,Mysore Cafe Traders,Mysore Cafe Traders,Owner B,"No 202, D Service Road, Devanahalli, Bangalore Rural, Karnataka - 562110",Devanahalli,Bengaluru Rural,BLRR,562110,Ward-R01,Bengaluru Rural,Restaurant / Cafe,Service,5610,Green,,,,,,2020-05-14,2020-07-21,CLOSED,3,0-10,2026-03-18,pan_hash;gstin_hash;phone;email
GST-KA-BLRR-2017-000012,GST,GST Taxpayer Registry,ENT-00017,Mysore Cafe Traders,,Owner A,"No 202, D Service Road, Devanahalli, Bangalore Rural, Karnataka - 562110",Devanahalli,Bengaluru Rural,BLRR,562110,Ward-R01,Bengaluru Rural,Restaurant / Cafe,Service,5610,Green,,,,,,2017-06-13,2020-04-15,CLOSED,,0-10,2026-01-30,pan_hash;gstin_hash;phone;email
