labour_registration_no,establishment_name,principal_employer_masked,address,district,pin_code,worker_count,registration_date,last_return_filed_date,status,phone,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
LAB-KA-BLRU-2015-000012,M/S Sree Solutions,Owner B,"#101, A Extension, Banashankari, Bangalore Urban, KA - 560085",Bengaluru Urban,560085,52,2015-01-14,2024-10-16,DORMANT,9000190193,PAN_9E53C1A7284D0EC7,,LAB-KA-BLRU-2015-000012,ENT-00024
LAB-KA-BLRU-2016-000013,M/S Harsha Biryni Works,Partner 1,"#136, C 1st Cr, Rajajinagar Industrial Suburb, B'luru Urban, K'taka",Bengaluru Urban,560059,,2016-05-19,2021-05-15,CLOSED,9000198112,PAN_7999756AA132CF9C,,LAB-KA-BLRU-2016-000013,ENT-00025
LAB-KA-BLRU-2024-000014,Bangalore Moulding Associates,Partner 1,"266, Shed Sector, Bommanahalli, Bangalore Urban, KA - 560068",Bengaluru Urban,560068,18,2024-07-30,2026-01-10,ACTIVE,9000206031,,,LAB-KA-BLRU-2024-000014,ENT-00026
LAB-KA-BLRR-2018-000015,M/S Bharath Garments Traders,Partner 1,"#18, Plot Extension, Devanahalli, Bangalore Rural, KA - 562110",Bengaluru Rural,562110,8,2018-01-07,2025-05-04,ACTIVE,9000237707,PAN_F9056F6DC2DB582C,,LAB-KA-BLRR-2018-000015,ENT-00030
LAB-KA-BLRU-2025-000016,Mysore Enterprises,Partner 1,"No. 256, B Main Road, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,2,2025-10-02,2026-02-03,ACTIVE,,PAN_8895582F81504CB2,,LAB-KA-BLRU-2025-000016,ENT-00031
LAB-KA-BLRR-2021-000017,Omkar LLP,,"161, Shed Near Bus Stop, Doddaballapura, B'luru Rural, KA - 561203",Bengaluru Rural,561203,85,2021-09-28,2024-03-21,DORMANT,9000253545,PAN_539CA18DBEA6A496,GSTIN_3B5BA39EC3C6F8CF,LAB-KA-BLRR-2021-000017,ENT-00032
LAB-KA-MYS-2021-000018,Deccan Industries,Owner B,"No. 125, D Industrial Layout, Nanjangud Road, Mysuru, K'taka - 570018",Mysuru,570018,,2021-04-23,2023-07-13,DORMANT,,,GSTIN_AA5A050C78BFB4EF,LAB-KA-MYS-2021-000018,ENT-00033
LAB-KA-TUM-2020-000019,M/S Nandi Stores LLP,Partner 1,"#4, Main Road, BH Road, Tumakuru, Karnataka - 572101",Tumakuru,572101,52,2020-02-28,2020-06-07,CLOSED,,,,LAB-KA-TUM-2020-000019,ENT-00036
LAB-KA-BLRU-2015-000020,Varun Textiles Industries,Managing Partner,"#252, B Near Bus Stop, Bommanahalli, B'luru Urban, Karnataka - 560068",Bengaluru Urban,560068,,2015-11-09,2021-11-01,CLOSED,9000316897,,,LAB-KA-BLRU-2015-000020,ENT-00040
LAB-KA-MYS-2015-000021,Aditya Circuits Works,,"No 157, B Extension, Hebbal Industrial Estate, Mysuru, K'taka - 570016",Mysuru,570016,3,2015-04-09,2023-06-24,DORMANT,,PAN_89974A6C9040BC8F,,LAB-KA-MYS-2015-000021,ENT-00042
LAB-KA-TUM-2015-000022,Bangalore Garments Solutions,Director Masked,"No 232, A Behind Metro, Antharasanahalli Industrial Estate, Tumakuru, K'taka",Tumakuru,572106,18,2015-07-25,2025-09-30,CLOSED,,,,LAB-KA-TUM-2015-000022,ENT-00045
LAB-KA-BLRU-2022-000023,Nandi Solvents LLP,,"#219, B 3rd Phase, Electronic City, B'luru Urban, K'taka - 560100",Bengaluru Urban,560100,,2022-01-28,2025-03-31,DORMANT,9000372330,,,LAB-KA-BLRU-2022-000023,ENT-00047
LAB-KA-BLRU-2024-000024,Omkar Pvt Ltd,,"No 146, D 3rd Phase, Kalyan Nagar, Bangalore Urban, KA - 560043",Bengaluru Urban,560043,,2024-08-06,2025-11-14,ACTIVE,9000388168,,,LAB-KA-BLRU-2024-000024,ENT-00049
LAB-KA-BLRU-2023-000025,Varun Entp,,"No. 144, Plot Service Road, Bannerghatta Road, B'luru Urban, Karnataka - 560076",Bengaluru Urban,560076,18,2023-02-24,2023-12-02,DORMANT,,,,LAB-KA-BLRU-2023-000025,ENT-00051
LAB-KA-BLRU-2023-000026,Naveen Company,Owner B,"No 150, Shed Service Road, Kalyan Nagar, B'luru Urban, Karnataka - 560043",Bengaluru Urban,560043,10,2023-09-15,2025-07-24,ACTIVE,,,,LAB-KA-BLRU-2023-000026,ENT-00052
LAB-KA-BLRU-2024-000027,Harsha Packaging Enterprises,Owner B,"No 28, Plot 1st Cross, Rajajinagar Industrial Suburb, B'luru Urban, Karnataka - 560059",Bengaluru Urban,560059,18,2024-01-16,2026-01-10,CLOSED,,PAN_C2E0BB3AE997AD15,GSTIN_5C0684CC9D7E8ED6,LAB-KA-BLRU-2024-000027,ENT-00053
LAB-KA-BLRU-2025-000028,BharathMachining Company,Owner A,"114, Plot Extension, Rajajinagar Industrial Suburb, Bengaluru Urban, KA - 560059",Bengaluru Urban,560034,,2025-05-15,2025-09-05,ACTIVE,,,,LAB-KA-BLRU-2025-000028,ENT-00055
LAB-KA-BLRU-2021-000029,Siddhi Systems LLP,Owner B,"#285, D Extension, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",Bengaluru Urban,560043,180,2021-06-20,2026-04-06,ACTIVE,9000459439,,GSTIN_F539CE4A9173FAE5,LAB-KA-BLRU-2021-000029,ENT-00058
LAB-KA-BLRR-2017-000030,Veda Stitch LLP,Owner B,"No 147, A Main Rd, Hoskote, B'luru Rural, Karnataka - 562114",Bengaluru Rural,562114,52,2017-12-04,2018-07-25,CLOSED,9000475277,,,LAB-KA-BLRR-2017-000030,ENT-00060
LAB-KA-BLRR-2021-000031,Srinidhi Labs Industries,Managing Partner,"#287, A Main Rd, Hoskote, Bengaluru Rural, K'taka",Bengaluru Rural,562114,,2021-02-01,2022-12-14,CLOSED,,PAN_77A5109E48B40F39,,LAB-KA-BLRR-2021-000031,ENT-00061
LAB-KA-BLRU-2020-000032,M/S Veda Devices Co,,"#236, B Industrial Layout, Koramangala, Bangalore Urban, KA - 560034",Bengaluru Urban,560034,180,2020-12-24,2023-01-09,CLOSED,,,,LAB-KA-BLRU-2020-000032,ENT-00064
LAB-KA-BLRU-2018-000033,Sree Dine Co,,"No 152, B Main Road, HSR Layout, Bengaluru Urban, K'taka - 560102",Bengaluru Urban,560102,,2018-07-24,2020-07-02,CLOSED,,,,LAB-KA-BLRU-2018-000033,ENT-00066
LAB-KA-TUM-2023-000034,Prakruthi CNCLLP,,"No 3, A Behind Metro, Antharasanahalli Indl Area, Tumakuru, K'taka - 572106",Tumakuru,572106,8,2023-03-30,2025-08-23,ACTIVE,,,,LAB-KA-TUM-2023-000034,ENT-00071
LAB-KA-BLRR-2022-000035,Aditya Medical Pvt. Ltd.,Partner 1,"No. 282, Extension, Hoskote, Bangalore Rural, KA - 562114",Bengaluru Rural,562114,52,2022-08-07,2024-02-03,DORMANT,9000617819,,,LAB-KA-BLRR-2022-000035,ENT-00078
LAB-KA-MYS-2017-000036,Ravi Co,Managing Partner,"No 271, A 1st Crs, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,3,2017-01-02,2026-02-22,ACTIVE,,,,LAB-KA-MYS-2017-000036,ENT-00079
LAB-KA-BLRU-2018-000037,Meghana Coatings Traders,Partner 1,"No 203, B Behind Metro, Bommanahalli, B'luru Urban, Karnataka - 560068",Bengaluru Urban,560068,4,2018-06-04,2019-02-09,CLOSED,,,,LAB-KA-BLRU-2018-000037,ENT-00080
LAB-KA-BLRU-2023-000038,M/S Meghana Wear Traders,Owner A,"No 120, Plot Sector, Peenya Indl Area, Bengaluru Urban, K'taka - 560058",Bengaluru Urban,560058,,2023-09-03,2023-10-13,DORMANT,9000641576,,,LAB-KA-BLRU-2023-000038,ENT-00081
LAB-KA-MYS-2024-000039,Prakruthi Packaging Solutions,,"142, B Behind Metro, Hebbal Industrial Estate, Mysuru, KA",Mysuru,570016,85,2024-04-28,2024-12-31,DORMANT,,,,LAB-KA-MYS-2024-000039,ENT-00082
LAB-KA-BLRU-2019-000040,Kaveri Labs Pvt. Ltd.,Partner 1,"No. 71, A Near Bus Stop, Whitefield, Bengaluru Urban, K'taka",Bengaluru Urban,560037,52,2019-12-15,2021-03-20,CLOSED,,PAN_C8C0EC445E7CA4D7,,LAB-KA-BLRU-2019-000040,ENT-00086
LAB-KA-MYS-2016-000041,Bangalore Works,Owner B,"#139, D 2nd Main, Hebbal Industrial Estate, Mysuru, KA - 570016",Mysuru,570016,18,2016-10-22,2026-01-09,ACTIVE,9000704928,PAN_89B983630B42A1A9,,LAB-KA-MYS-2016-000041,ENT-00089
LAB-KA-BLRU-2020-000042,M/S Bharath Tech Associates,Director Masked,"No. 54, D 3rd Phase, BTM Layout, Bengaluru Urban, K'taka - 560029",Bengaluru Urban,560029,18,2020-11-08,2023-06-03,DORMANT,,,,LAB-KA-BLRU-2020-000042,ENT-00090
LAB-KA-BLRU-2023-000043,Kaveri Systems Pvt. Ltd.,Director Masked,"#51, B 3rd Phase, HSR Layout, Bengaluru Urban, K'taka - 560102",Bengaluru Urban,560102,10,2023-01-20,2025-04-30,DORMANT,9000736604,PAN_0752B7A29DDA5077,,LAB-KA-BLRU-2023-000043,ENT-00093
LAB-KA-BLRU-2021-000044,Sharma Biryani Pvt Ltd,Owner A,"52, Plot 2nd Main, Bommanahalli, Bengaluru Urban, K'taka - 560068",Bengaluru Urban,560068,4,2021-04-21,2024-11-14,DORMANT,,,,LAB-KA-BLRU-2021-000044,ENT-00094
LAB-KA-BLRR-2023-000045,Mysore Cargo Solutions,Director Masked,"No. 62, Shed 1st Cross, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562110,120,2023-10-08,2024-07-05,DORMANT,,,,LAB-KA-BLRR-2023-000045,ENT-00099
LAB-KA-BLRU-2021-000046,Srinidhi Enterprises,Owner A,"No 195, B Behind Metro, Banashankari, Bangalore Urban, Karnataka - 560085",Bengaluru Urban,560085,8,2021-05-12,2024-07-09,DORMANT,,,,LAB-KA-BLRU-2021-000046,ENT-00101
LAB-KA-TUM-2016-000047,Sharma CNC Enterprises,Owner B,"#68, A Mn Rd, Antharasanahalli Industrial Estate, Tumakuru, K'taka - 572106",Tumakuru,572106,12,2016-03-27,2020-03-12,CLOSED,,PAN_CF3D72FC68ACC925,,LAB-KA-TUM-2016-000047,ENT-00102
LAB-KA-BLRU-2018-000048,Aditya Garments Industries,,"No 90, Plot Main Rd, Yelahanka, Bangalore Urban, KA - 560064",Bengaluru Urban,560064,5,2018-10-26,2022-03-21,CLOSED,,PAN_AAFF359F4A465DD0,GSTIN_690CD349B1174245,LAB-KA-BLRU-2018-000048,ENT-00103
LAB-KA-BLRU-2018-000049,Navya Printers Traders,,"#18, Shed Mn Rd, Electronic City, B'luru Urban, Karnataka - 560100",Bengaluru Urban,560100,,2018-11-15,2020-09-05,CLOSED,9000823713,PAN_0EA235E6595FDA7C,,LAB-KA-BLRU-2018-000049,ENT-00104
LAB-KA-BLRR-2024-000050,Naveen Stores LLP,Partner 1,"No. 237, A Service Road, Hoskote, B'luru Rural, Karnataka - 562114",Bengaluru Rural,561203,,2024-02-24,2024-11-21,DORMANT,9000839551,PAN_AC622BC4E03021C2,,LAB-KA-BLRR-2024-000050,ENT-00106
LAB-KA-MYS-2024-000051,Harsha Inds,Partner 1,"#45, Extension, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,4,2024-02-08,2025-04-11,DORMANT,,,GSTIN_FC9EA718D4611229,LAB-KA-MYS-2024-000051,ENT-00107
LAB-KA-BLRU-2025-000052,M/S Mysore Fashions Enterprises,Partner 1,"287, D Service Road, Yelahanka, B'luru Urban, KA - 560064",Bengaluru Urban,560064,3,2025-11-30,2026-04-15,ACTIVE,9000855389,,,LAB-KA-BLRU-2025-000052,ENT-00108
LAB-KA-TUM-2019-000053,Bangalore Packaging Works,,"No 135, A 1st Cross, BH Road, Tumakuru, K'taka - 572101",Tumakuru,572101,,2019-07-23,2025-03-16,DORMANT,,,,LAB-KA-TUM-2019-000053,ENT-00109
LAB-KA-BLRU-2022-000054,Sharma Chem LLP,Partner 1,"#218, B Industrial Layout, Banashankari, Bangalore Urban, Karnataka - 560085",Bengaluru Urban,560085,10,2022-06-21,2025-01-08,DORMANT,9000871227,,,LAB-KA-BLRU-2022-000054,ENT-00110
LAB-KA-BLRU-2024-000055,M/S Naveen Polymers Solutions,,"No 64, Shed Sector, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,18,2024-07-03,2025-03-16,DORMANT,9000879146,,,LAB-KA-BLRU-2024-000055,ENT-00111
LAB-KA-BLRU-2025-000056,Harsha Tools Associates,Owner A,"No 299, C Industrial Layout, MG Road, Bengaluru Urban, K'taka - 560001",Bengaluru Urban,560001,36,2025-01-25,2025-11-17,ACTIVE,,,,LAB-KA-BLRU-2025-000056,ENT-00113
LAB-KA-BLRU-2018-000057,Prakruthi Packaging Industries,Owner A,"259, Industrial Layout, Kalyan Nagar, Bangalore Urban, KA",Bengaluru Urban,560043,18,2018-04-26,2021-05-27,CLOSED,9000918741,,,LAB-KA-BLRU-2018-000057,ENT-00116
LAB-KA-BLRU-2019-000058,Aarohi Apparels Company,Partner 1,"136, D 3rd Phase, Bannerghatta Road, Bangalore Urban, K'taka - 560076",Bengaluru Urban,560076,120,2019-10-03,2021-03-22,CLOSED,,PAN_85F87E236D2A6FCC,,LAB-KA-BLRU-2019-000058,ENT-00122
LAB-KA-BLRU-2022-000059,Sahana Works Company,Managing Partner,"No. 50, Sector, Rajajinagar Industrial Suburb, Bangalore Urban, Karnataka - 560059",Bengaluru Urban,560059,10,2022-05-16,2025-09-28,ACTIVE,,,,LAB-KA-BLRU-2022-000059,ENT-00124
LAB-KA-BLRU-2017-000060,Navya Snacks Industries,Managing Partner,"87, Plot 2nd Main, Electronic City, Bengaluru Urban, Karnataka - 560100",Bengaluru Urban,560100,,2017-02-23,2025-07-18,ACTIVE,,,,LAB-KA-BLRU-2017-000060,ENT-00125
LAB-KA-MYS-2015-000061,M/S Sahana Garments Company,Owner A,"#98, D Extension, Nanjangud Road, Mysuru, Karnataka - 570018",Mysuru,570018,,2015-07-05,2023-08-19,DORMANT,9000997931,,,LAB-KA-MYS-2015-000061,ENT-00126
LAB-KA-MYS-2020-000062,M/S Omkar Graphics Inds,Owner B,"160, A Extension, Hebbal Indl Area, Mysuru, K'taka - 570016",Mysuru,570016,12,2020-01-03,2021-06-05,CLOSED,,PAN_CA44E0E20A38F7EF,,LAB-KA-MYS-2020-000062,ENT-00127
LAB-KA-BLRR-2016-000063,Srinidhi Co,Partner 1,"#144, 3rd Phase, Devanahalli, B'luru Rural, KA - 562110",Bengaluru Rural,562110,120,2016-01-18,2017-11-14,CLOSED,,PAN_0A46A85D32D542DE,,LAB-KA-BLRR-2016-000063,ENT-00128
LAB-KA-BLRU-2025-000064,Udupi Logistics Company,Managing Partner,"No. 271, Near Bus Stop, Kalyan Nagar, Bengaluru Urban, Karnataka",Bengaluru Urban,560043,25,2025-01-15,2025-07-08,CLOSED,,,,LAB-KA-BLRU-2025-000064,ENT-00134
LAB-KA-BLRR-2018-000065,Kaveri Textiles Enterprises,Partner 1,"282, D 3rd Phase, Devanahalli, B'luru Rural, KA - 562110",Bengaluru Rural,562110,120,2018-12-21,2021-09-11,CLOSED,,PAN_23C81105E0EECC7E,,LAB-KA-BLRR-2018-000065,ENT-00135
LAB-KA-BLRU-2020-000066,M/S Aarohi Bakery Industries,Managing Partner,"No. 294, D Extension, Yelahanka, Bengaluru Urban, Karnataka - 560064",Bengaluru Urban,560064,25,2020-03-26,2021-01-24,CLOSED,,PAN_A883E527E0C56927,GSTIN_FFAABB21D4D2FDD2,LAB-KA-BLRU-2020-000066,ENT-00136
LAB-KA-MYS-2022-000067,Nisarga Packaging Traders,Owner A,"249, Shed Industrial Layout, Devaraja Mohalla, Mysuru, K'taka - 570001",Mysuru,570001,5,2022-04-01,2022-10-07,CLOSED,,PAN_9242B1A8BB94D8E6,GSTIN_29D9D9B3327F96E0,LAB-KA-MYS-2022-000067,ENT-00141
LAB-KA-BLRU-2017-000068,M/S Veda Works,Owner B,"#37, C Sector, Bannerghatta Road, B'luru Urban, KA",Bengaluru Urban,560076,,2017-07-21,2025-02-26,DORMANT,,,,LAB-KA-BLRU-2017-000068,ENT-00145
LAB-KA-MYS-2024-000069,Siddhi Supply LLP,Managing Partner,"#21, 2nd Main, Hebbal Industrial Estate, Mysuru, KA - 570016",Mysuru,570016,,2024-05-10,2025-01-22,DORMANT,9001164230,PAN_5B7DDE661287A0E4,,LAB-KA-MYS-2024-000069,ENT-00147
LAB-KA-BLRU-2021-000070,Udupi PharmaWorks,Owner A,"No 293, Plot Service Road, Whitefield Mn Rd, Bangalore Urban, Karnataka - 560066",Bengaluru Urban,560066,36,2021-08-20,2023-09-23,DORMANT,,PAN_90EA63FC67D743F0,,LAB-KA-BLRU-2021-000070,ENT-00149
LAB-KA-BLRR-2025-000071,M/S Lakshmi Graphics Solutions,Director Masked,"No 176, A Extension, Hoskote, B'luru Rural, K'taka - 562114",Bengaluru Rural,562114,85,2025-07-13,2026-02-17,ACTIVE,9001195906,PAN_E0145D13004EEF42,,LAB-KA-BLRR-2025-000071,ENT-00151
LAB-KA-BLRU-2023-000072,Meghana Machining Works,Managing Partner,"No 182, B Mn Rd, Whitefield Mn Rd, B'luru Urban, KA - 560066",Bengaluru Urban,560066,10,2023-01-29,2024-04-21,DORMANT,,PAN_0192D2CF32EDE07B,GSTIN_165B67D7C09F2F11,LAB-KA-BLRU-2023-000072,ENT-00152
LAB-KA-BLRU-2018-000073,Sahana Kitchen Solutions,,"#223, B Industrial Layout, Peenya Industrial Estate, B'luru Urban, KA - 560058",Bengaluru Urban,560058,4,2018-03-25,2023-09-21,DORMANT,,,GSTIN_769BF5CF37091846,LAB-KA-BLRU-2018-000073,ENT-00153
LAB-KA-BLRR-2017-000074,Aditya Chem Co,,"No 57, C 3rd Phase, Doddaballapura, B'luru Rural, KA - 561203",Bengaluru Rural,561203,5,2017-07-11,2017-12-13,CLOSED,,PAN_EE1E19D51BFC0853,GSTIN_CCFB376977FBAAC0,LAB-KA-BLRR-2017-000074,ENT-00155
LAB-KA-BLRU-2019-000075,M/S ysore Industries,Managing Partner,"No. 23, Near Bus Stop, Banashankari, B'luru Urban, KA - 560085",Bengaluru Urban,560085,8,2019-05-01,2022-08-04,CLOSED,9001235501,,,LAB-KA-BLRU-2019-000075,ENT-00156
LAB-KA-TUM-2024-000076,Bangalore Machining Co,Owner A,"257, D Industrial Layout, Antharasanahalli Industrial Estate, Tumakuru, Karnataka - 572106",Tumakuru,572106,18,2024-11-08,2024-12-15,DORMANT,,,GSTIN_389B4747CEC72983,LAB-KA-TUM-2024-000076,ENT-00159
LAB-KA-TUM-2020-000077,M/S Srinidhi Bites Co,,"No. 250, Plot Mn Rd, Antharasanahalli Industrial Area, Tumakuru, K'taka - 572106",Tumakuru,572106,12,2020-04-14,2021-06-17,CLOSED,,,,LAB-KA-TUM-2020-000077,ENT-00160
LAB-KA-BLRU-2015-000078,Ananya CNC LLP,Owner A,"#279, Main Road, Whitefield, Bangalore Urban, Karnataka - 560037",Bengaluru Urban,560037,52,2015-07-20,2016-10-22,CLOSED,9001283015,,,LAB-KA-BLRU-2015-000078,ENT-00162
LAB-KA-BLRU-2023-000079,Sharma Electronics Solutions,,"75, C Behind Metro, MG Road, B'luru Urban, KA - 560001",Bengaluru Urban,560102,180,2023-03-30,2023-10-03,DORMANT,,PAN_84F7688E85795BE8,,LAB-KA-BLRU-2023-000079,ENT-00166
LAB-KA-BLRU-2022-000080,Bharath Spices LLP,Owner A,"#172, D 2nd Main, Whitefield Main Road, Bengaluru Urban, K'taka - 560066",Bengaluru Urban,560066,4,2022-03-04,2024-08-02,DORMANT,,PAN_7D7BC57C3FD1E39E,,LAB-KA-BLRU-2022-000080,ENT-00170
LAB-KA-TUM-2025-000081,Vijaya Fashions Works,Partner 1,"#16, Shed Extension, Antharasanahalli Industrial Estate, Tumakuru, KA - 572106",Tumakuru,572106,8,2025-02-25,2025-05-13,ACTIVE,9001354286,PAN_EA6738D6060A4803,,LAB-KA-TUM-2025-000081,ENT-00171
LAB-KA-BLRU-2025-000082,Asha Solutions,Owner B,"145, D Main Road, Hebbal, Bengaluru Urban, Karnataka - 560024",Bengaluru Urban,560024,5,2025-10-01,2026-01-07,ACTIVE,,,GSTIN_DB66BF7FD5F1EBE6,LAB-KA-BLRU-2025-000082,ENT-00172
LAB-KA-BLRU-2017-000083,Nisarga Trans Enterprises,Director Masked,"28, D Main Rd, Hebbal, Bengaluru Urban, K'taka - 560024",Bengaluru Urban,560024,3,2017-08-17,2024-01-22,DORMANT,,PAN_6FA5D102B0802FD2,,LAB-KA-BLRU-2017-000083,ENT-00173
LAB-KA-BLRU-2019-000084,Bharath Medical Solutions,Director Masked,"154, Plot 2nd Main, Bommanahalli, Bangalore Urban, KA - 560068",Bengaluru Urban,560068,,2019-01-08,2020-06-02,CLOSED,,,GSTIN_C202EF96108DD37F,LAB-KA-BLRU-2019-000084,ENT-00174
LAB-KA-BLRU-2025-000085,Prakruthi LLP,Owner B,"#199, C Near Bus Stop, Banashankari, B'luru Urban, Karnataka - 560085",Bengaluru Urban,560085,12,2025-08-27,2026-03-05,ACTIVE,9001385962,,,LAB-KA-BLRU-2025-000085,ENT-00175
LAB-KA-BLRU-2015-000086,Sri Pvt Ltd,Partner 1,"No 207, Plot 1st Crs, HSR Layout, Bengaluru Urban, K'taka - 560102",Bengaluru Urban,560102,5,2015-08-11,2016-02-14,CLOSED,,,,LAB-KA-BLRU-2015-000086,ENT-00182
LAB-KA-BLRU-2021-000087,Varun Components LLP,Director Masked,"No. 221, B Behind Metro, Whitefield Mn Rd, Bangalore Urban, K'taka - 560066",Bengaluru Urban,560066,120,2021-12-01,2026-04-03,ACTIVE,9001457233,,,LAB-KA-BLRU-2021-000087,ENT-00184
LAB-KA-BLRU-2018-000088,Nisarga Enterprises,Director Masked,"#143, Mn Rd, MG Road, Bangalore Urban, K'taka - 560001",Bengaluru Urban,560001,,2018-11-01,2019-12-17,CLOSED,,,,LAB-KA-BLRU-2018-000088,ENT-00186
LAB-KA-BLRR-2017-000089,Varun Inds Inds,Director Masked,"No. 155, Shed Near Bus Stop, Doddaballapura, Bangalore Rural, KA - 561203",Bengaluru Rural,561203,120,2017-07-23,2025-03-05,DORMANT,,,,LAB-KA-BLRR-2017-000089,ENT-00187
LAB-KA-BLRU-2023-000090,Lakshmi Solvents Company,Managing Partner,"No. 278, Extension, BTM Layout, B'luru Urban, K'taka - 560029",Bengaluru Urban,560029,18,2023-06-04,2024-11-01,DORMANT,,,,LAB-KA-BLRU-2023-000090,ENT-00188
LAB-KA-BLRU-2019-000091,Sahana Apparels Co,,"233, D Behind Metro, Whitefield, Bangalore Urban, Karnataka - 560037",Bengaluru Urban,560037,4,2019-07-10,2023-01-19,CLOSED,9001496828,PAN_82BF0A28E48531E5,,LAB-KA-BLRU-2019-000091,ENT-00189
LAB-KA-BLRU-2017-000092,M/S Veda Meds Works,Director Masked,"#163, C Near Bus Stop, Bommanahalli, Bengaluru Urban, K'taka - 560068",Bengaluru Urban,560068,2,2017-08-16,2022-12-30,CLOSED,9001504747,,,LAB-KA-BLRU-2017-000092,ENT-00190
LAB-KA-BLRR-2017-000093,Siddhi Warehouse Inds,Owner B,"#164, A Industrial Layout, Doddaballapura, Bengaluru Rural, K'taka - 561203",Bengaluru Rural,561203,,2017-04-16,2017-09-29,CLOSED,,,,LAB-KA-BLRR-2017-000093,ENT-00191
LAB-KA-BLRU-2016-000094,Navya Solvent Pvt Ltd,Owner A,"#105, B Service Road, Rajajinagar Industrial Suburb, Bangalore Urban, KA - 560059",Bengaluru Urban,560059,,2016-05-28,2018-05-06,CLOSED,,,GSTIN_B507AFC6DD5E4ACD,LAB-KA-BLRU-2016-000094,ENT-00192
LAB-KA-BLRU-2016-000095,Meghana Polymers Associates,Owner B,"No 197, Shed Industrial Layout, Banashankari, Bangalore Urban, KA - 560085",Bengaluru Urban,560085,2,2016-10-30,2025-03-07,DORMANT,,,,LAB-KA-BLRU-2016-000095,ENT-00193
