trade_license_no,business_name,trade_type,address,ward,zone,pin_code,application_status,valid_from,valid_to,phone,gstin_hash,source_record_id,entity_id_ground_truth
BBMP-TL-NORT-2025-000013,Aditya Circuits Works,Electronics Assembly,"157, B Extension, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Ward-M21,North,570016,Approved,2025-01-08,2026-02-04,,,BBMP-TL-NORT-2025-000013,ENT-00042
BBMP-TL-NORT-2020-000014,Aarohi Solutions,Pharmacy / Medical Retail,"No 37, Behind Metro, Hebbal Indl Area, Mysuru, Karnataka - 570016",Ward-M21,North,570016,Pending Inspection,2020-07-04,2027-07-06,9000348573,,BBMP-TL-NORT-2020-000014,ENT-00044
BBMP-TL-TUMA-2019-000015,Bangalore Garments Solutions,Textile / Garments,"#232, A Behind Metro, Antharasanahalli Industrial Area, Tumakuru, KA - 572106",Ward-T12,Tumakuru,572106,Expired,2019-12-06,2027-08-07,,,BBMP-TL-TUMA-2019-000015,ENT-00045
BBMP-TL-TUMA-2021-000016,Bangalore Die Associates,Restaurant / Cafe,"#65, A Near Bus Stop, Antharasanahalli Industrial Area, Tumakuru, Karnataka",Ward-T12,Tumakuru,572106,Expired,2021-04-08,2026-03-22,,GSTIN_61C9CE29292E03A4,BBMP-TL-TUMA-2021-000016,ENT-00048
BBMP-TL-SOUT-2019-000017,Bharath Graphics Solutions,Printing / Packaging,"No. 262, Sector, Jayanagar, Bengaluru Urban, K'taka - 560078",Ward-168,South,560078,Approved,2019-03-20,2027-04-18,,,BBMP-TL-SOUT-2019-000017,ENT-00056
BBMP-TL-SOUT-2020-000018,Bangalore Apparels Company,Textile / Garments,"249, D 3rd Phase, Nanjangud Road, Mysuru, Karnataka - 570018",Ward-M32,South,570018,Approved,2020-04-06,2026-05-01,,,BBMP-TL-SOUT-2020-000018,ENT-00059
BBMP-TL-BENG-2016-000019,Veda Stitch LLP,Textile / Garments,"#147, A Main Rd, Hoskote, Bengaluru Rural, K'taka - 562114",Ward-R04,Bengaluru Rural,562114,Expired,2016-07-26,2025-04-02,9000475277,,BBMP-TL-BENG-2016-000019,ENT-00060
BBMP-TL-DASA-2021-000020,M/S Veda Pharma Associates,Pharmacy / Medical Retail,"152, Mn Rd, Peenya Industrial Area, Bengaluru Urban, K'taka - 560058",Ward-038,Dasarahalli,560058,Renewal Due,2021-01-27,2027-03-10,9000491115,,BBMP-TL-DASA-2021-000020,ENT-00062
BBMP-TL-BOMM-2016-000021,Sree Dine Co,Restaurant / Cafe,"#152, B Main Rd, HSR Layout, Bengaluru Urban, Karnataka - 560102",Ward-174,Bommanahalli,560102,Renewal Due,2016-04-14,2026-04-04,,,BBMP-TL-BOMM-2016-000021,ENT-00066
BBMP-TL-CENT-2019-000022,Vijaya Bites Industries,Restaurant / Cafe,"100, Plot 1st Cross, Devaraja Mohalla, Mysuru, Karnataka - 570001",Ward-M01,Central,570001,Pending Inspection,2019-09-24,2025-03-26,9000538629,,BBMP-TL-CENT-2019-000022,ENT-00068
BBMP-TL-WEST-2020-000023,Ravi Health Traders,Pharmacy / Medical Retail,"85, Shed Main Road, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Ward-067,West,560059,Approved,2020-06-18,2027-08-02,,,BBMP-TL-WEST-2020-000023,ENT-00069
BBMP-TL-SOUT-2022-000024,M/S Kaveri Labels Traders,Printing / Packaging,"No 129, B Sector, Banashankari, Bangalore Urban, KA",Ward-182,South,560085,Approved,2022-09-17,2027-05-29,,,BBMP-TL-SOUT-2022-000024,ENT-00074
BBMP-TL-BENG-2023-000025,M/S Aditya Medical Pvt Ltd,Pharmacy / Medical Retail,"No. 282, Extension, Hoskote, B'luru Rural, K'taka - 562114",Ward-R04,Bengaluru Rural,562114,Pending Inspection,2023-06-15,2025-02-20,9000617819,GSTIN_9EC6267250B25E31,BBMP-TL-BENG-2023-000025,ENT-00078
BBMP-TL-DASA-2015-000026,Meghana Wear Traders,Textile / Garments,"No. 120, Plot Sector, Peenya Indl Area, B'luru Urban, K'taka - 560058",Ward-038,Dasarahalli,560058,Expired,2015-01-11,2027-09-13,9000641576,,BBMP-TL-DASA-2015-000026,ENT-00081
BBMP-TL-YELA-2024-000027,Veda Kitchen Inds,Restaurant / Cafe,"No 275, Shed 1st Crs, Yelahanka, Bangalore Urban, Karnataka - 560064",Ward-004,Yelahanka,560064,Approved,2024-12-13,2025-08-01,9000665333,,BBMP-TL-YELA-2024-000027,ENT-00084
BBMP-TL-TUMA-2016-000028,Bangalore Co,Restaurant / Cafe,"#217, Near Bus Stop, Antharasanahalli Industrial Area, Tumakuru, KA - 572106",Ward-T12,Tumakuru,572106,Approved,2016-02-26,2025-12-10,,,BBMP-TL-TUMA-2016-000028,ENT-00087
BBMP-TL-SOUT-2018-000029,M/S Bharath Biryani Pvt Ltd,Restaurant / Cafe,"94, D Industrial Layout, Bannerghatta Road, Bangalore Urban, Karnataka - 560076",Ward-177,South,560076,Renewal Due,2018-11-13,2027-05-27,,,BBMP-TL-SOUT-2018-000029,ENT-00088
BBMP-TL-DASA-2016-000030,M/S Sharma Stitch Enterprises,Textile / Garments,"142, D 3rd Phase, Peenya Industrial Estate, Bangalore Urban, Karnataka - 560058",Ward-038,Dasarahalli,560058,Pending Inspection,2016-01-28,2025-03-16,,,BBMP-TL-DASA-2016-000030,ENT-00091
BBMP-TL-WEST-2019-000031,Prakruthi Care Industries,Pharmacy / Medical Retail,"No. 42, C Behind Metro, Rajajinagar Industrial Suburb, Bangalore Urban, K'taka - 560059",Ward-067,West,560059,Expired,2019-07-10,2027-06-29,,,BBMP-TL-WEST-2019-000031,ENT-00092
BBMP-TL-BOMM-2022-000032,Kaveri Systems Pvt Ltd,Electronics Assembly,"No. 51, B 3rd Phase, HSR Layout, Bengaluru Urban, Karnataka - 560102",Ward-174,Bommanahalli,560102,Renewal Due,2022-01-04,2028-03-23,9000736604,,BBMP-TL-BOMM-2022-000032,ENT-00093
BBMP-TL-SOUT-2019-000033,M/S Sharma Biryani Pvt. Ltd.,Restaurant / Cafe,"#52, Plot 2nd Main, Bommanahalli, B'luru Urban, K'taka - 560068",Ward-175,South,560068,Pending Inspection,2019-07-10,2027-03-11,,,BBMP-TL-SOUT-2019-000033,ENT-00094
BBMP-TL-NORT-2025-000034,Ananya Devices Solutions,Electronics Assembly,"No 250, D Extension, Hebbal Industrial Area, Mysuru, KA - 570016",Ward-M21,North,570016,Pending Inspection,2025-04-02,2028-04-23,,,BBMP-TL-NORT-2025-000034,ENT-00096
BBMP-TL-SOUT-2024-000035,M/S Ananya Labs Pvt Ltd,Chemical Blending,"No. 216, Shed Behind Metro, Banashankari, Bengaluru Urban, KA - 560085",Ward-182,South,560085,Pending Inspection,2024-03-23,2026-10-16,,GSTIN_86D7D7F0675821B5,BBMP-TL-SOUT-2024-000035,ENT-00097
BBMP-TL-BENG-2020-000036,Mysore Cargo Solutions,Logistics / Warehouse,"62, Shed 1st Cr, Hoskote, B'luru Rural, Karnataka - 562114",Ward-R04,Bengaluru Rural,562114,Approved,2020-01-12,2027-10-03,,GSTIN_9D23D1FC7C1597DC,BBMP-TL-BENG-2020-000036,ENT-00099
BBMP-TL-EAST-2019-000037,Srinidhi Traders,Food Processing,"235, D Extension, Kalyan Nagar, Bangalore Urban, K'taka - 560043",Ward-025,East,560043,Expired,2019-05-02,2028-01-17,,,BBMP-TL-EAST-2019-000037,ENT-00100
BBMP-TL-YELA-2017-000038,Aditya Garments Industries,Textile / Garments,"90, Plot Main Road, Yelahanka, Bangalore Urban, K'taka - 560064",Ward-004,Yelahanka,560064,Expired,2017-11-20,2025-12-19,,,BBMP-TL-YELA-2017-000038,ENT-00103
BBMP-TL-BOMM-2019-000039,Navya Printers Traders,Printing / Packaging,"No 18, Shed Main Road, Electronic City, Bangalore Urban, KA - 560100",Ward-192,Bommanahalli,560100,Approved,2019-06-07,2026-08-09,,,BBMP-TL-BOMM-2019-000039,ENT-00104
BBMP-TL-BENG-2017-000040,Naveen Stores LLP,Logistics / Warehouse,"No. 237, A Service Road, Hoskote, Bangalore Rural, KA - 562114",Ward-R04,Bengaluru Rural,562114,Expired,2017-05-05,2026-07-28,,,BBMP-TL-BENG-2017-000040,ENT-00106
BBMP-TL-DASA-2015-000041,Nandi Bakery Pvt. Ltd.,Food Processing,"No. 99, A 3rd Phase, Peenya Industrial Area, Bengaluru Urban, Karnataka",Ward-038,Dasarahalli,560058,Renewal Due,2015-01-05,2027-11-19,,,BBMP-TL-DASA-2015-000041,ENT-00114
BBMP-TL-BENG-2016-000042,M/S Aarohi Medical Works,Pharmacy / Medical Retail,"No. 281, A 3rd Phase, Devanahalli, Bengaluru Rural, Karnataka - 562110",Ward-R01,Bengaluru Rural,562110,Renewal Due,2016-10-26,2027-08-15,,,BBMP-TL-BENG-2016-000042,ENT-00120
BBMP-TL-BOMM-2025-000043,M/S Sree Clinic Industries,Pharmacy / Medical Retail,"#36, Sector, HSR Layout, Bengaluru Urban, K'taka - 560102",Ward-174,Bommanahalli,560102,Expired,2025-07-29,2028-04-20,9000958336,,BBMP-TL-BOMM-2025-000043,ENT-00121
BBMP-TL-YELA-2020-000044,M/S Nisarga Industrial Co,Restaurant / Cafe,"No. 194, A Behind Metro, Hebbal, Bangalore Urban, KA - 560024",Ward-021,Yelahanka,560024,Pending Inspection,2020-12-27,2027-01-08,,,BBMP-TL-YELA-2020-000044,ENT-00123
BBMP-TL-BENG-2022-000045,M/S Srinidhi Co,Pharmacy / Medical Retail,"No. 144, 3rd Phase, Devanahalli, B'luru Rural, Karnataka - 562110",Ward-R01,Bengaluru Rural,562110,Expired,2022-06-26,2026-01-16,9001013769,,BBMP-TL-BENG-2022-000045,ENT-00128
BBMP-TL-EAST-2020-000046,Sri Devices LLP,Electronics Assembly,"#2, A Sector, Kalyan Nagar, B'luru Urban, K'taka - 560043",Ward-025,East,560043,Approved,2020-04-15,2025-10-24,,,BBMP-TL-EAST-2020-000046,ENT-00129
BBMP-TL-BENG-2020-000047,Sri Kitchen Entp,Restaurant / Cafe,"No. 128, A Extension, Hoskote, Bangalore Rural, K'taka - 562114",Ward-R04,Bengaluru Rural,562114,Renewal Due,2020-03-13,2027-04-27,9001045445,,BBMP-TL-BENG-2020-000047,ENT-00132
BBMP-TL-YELA-2019-000048,Aarohi Bakery Industries,Food Processing,"294, D Extension, Yelahanka, Bengaluru Urban, Karnataka - 560064",Ward-004,Yelahanka,560064,Renewal Due,2019-06-14,2025-08-10,9001077121,,BBMP-TL-YELA-2019-000048,ENT-00136
BBMP-TL-CENT-2023-000049,Meghana Meals Inds,Restaurant / Cafe,"244, B 1st Cr, Devaraja Mohalla, Mysuru, Karnataka - 570001",Ward-M01,Central,570001,Pending Inspection,2023-01-25,2026-06-22,9001092959,,BBMP-TL-CENT-2023-000049,ENT-00138
BBMP-TL-MAHA-2023-000050,Harsha Works Co,Machine Tools,"No. 1, D 2nd Main, Whitefield, Bangalore Urban, KA - 560037",Ward-085,Mahadevapura,560037,Expired,2023-01-20,2028-02-13,,,BBMP-TL-MAHA-2023-000050,ENT-00139
BBMP-TL-BENG-2019-000051,Lakshmi Pharma Works,Pharmacy / Medical Retail,"147, B Extension, Bagalur, B'luru Rural, K'taka - 562157",Ward-R07,Bengaluru Rural,562157,Expired,2019-03-15,2028-01-22,,,BBMP-TL-BENG-2019-000051,ENT-00142
BBMP-TL-SOUT-2024-000052,Siddhi Pvt Ltd,Electronics Assembly,"#57, Shed 1st Cross, Jayanagar, B'luru Urban, Karnataka - 560078",Ward-168,South,560078,Renewal Due,2024-02-08,2028-01-31,,,BBMP-TL-SOUT-2024-000052,ENT-00143
BBMP-TL-YELA-2025-000053,M/S Varun Meals Solutions,Restaurant / Cafe,"No 50, Plot Industrial Layout, Yelahanka, Bengaluru Urban, KA - 560064",Ward-004,Yelahanka,560064,Expired,2025-02-24,2026-08-30,,,BBMP-TL-YELA-2025-000053,ENT-00144
BBMP-TL-NORT-2019-000054,Siddhi Supply LLP,Logistics / Warehouse,"21, 2nd Main, Hebbal Industrial Estate, Mysuru, K'taka - 570016",Ward-M21,North,570016,Pending Inspection,2019-01-11,2026-06-29,9001164230,,BBMP-TL-NORT-2019-000054,ENT-00147
BBMP-TL-DASA-2017-000055,Sahana Kitchen Solutions,Restaurant / Cafe,"#223, B Industrial Layout, Peenya Industrial Estate, Bangalore Urban, K'taka - 560058",Ward-038,Dasarahalli,560058,Approved,2017-03-15,2026-03-22,,,BBMP-TL-DASA-2017-000055,ENT-00153
BBMP-TL-SOUT-2021-000056,Omkar Labs Co,Chemical Blending,"No 94, Shed 3rd Phase, Bommanahalli, B'luru Urban, K'taka - 560068",Ward-175,South,560068,Approved,2021-05-14,2027-11-27,,,BBMP-TL-SOUT-2021-000056,ENT-00158
BBMP-TL-TUMA-2018-000057,Srinidhi Bites Co,Restaurant / Cafe,"250, Plot Main Road, Antharasanahalli Indl Area, Tumakuru, KA - 572106",Ward-T12,Tumakuru,572106,Pending Inspection,2018-04-23,2026-11-12,,,BBMP-TL-TUMA-2018-000057,ENT-00160
BBMP-TL-YELA-2020-000058,Bangalore Apparels Enterprises,Textile / Garments,"#61, D Behind Metro, Yelahanka, Bengaluru Urban, KA - 560064",Ward-004,Yelahanka,560064,Pending Inspection,2020-02-15,2027-04-06,,,BBMP-TL-YELA-2020-000058,ENT-00161
BBMP-TL-BENG-2023-000059,Asha Clinic Solutions,Pharmacy / Medical Retail,"#231, Shed Near Bus Stop, Hoskote, Bangalore Rural, KA - 562114",Ward-R04,Bengaluru Rural,562114,Pending Inspection,2023-04-13,2025-11-16,9001290934,,BBMP-TL-BENG-2023-000059,ENT-00163
BBMP-TL-DASA-2016-000060,Sahana Kitchen Solutions,Electronics Assembly,"#49, C 2nd Main, Peenya Industrial Estate, Bengaluru Urban, Karnataka",Ward-038,Dasarahalli,560034,Expired,2016-10-13,2025-02-28,9001298853,,BBMP-TL-DASA-2016-000060,ENT-00164
BBMP-TL-EAST-2019-000061,M/S Sharma Electronics Solutions,Electronics Assembly,"No. 75, C Behind Metro, MG Road, B'luru Urban, Karnataka - 560001",Ward-111,East,560001,Renewal Due,2019-06-15,2025-10-01,9001314691,,BBMP-TL-EAST-2019-000061,ENT-00166
BBMP-TL-BENG-2021-000062,Ganesh Kitchen LLP,Restaurant / Cafe,"166, A 3rd Phase, Devanahalli, Bangalore Rural, KA - 562110",Ward-R01,Bengaluru Rural,562110,Approved,2021-08-15,2025-12-04,,,BBMP-TL-BENG-2021-000062,ENT-00168
BBMP-TL-MAHA-2017-000063,Bharath Spices LLP,Food Processing,"172, D 2nd Main, Whitefield Main Road, B'luru Urban, KA - 560066",Ward-083,Mahadevapura,560066,Approved,2017-08-21,2026-01-27,9001346367,,BBMP-TL-MAHA-2017-000063,ENT-00170
BBMP-TL-TUMA-2018-000064,M/S Vijaya Fashions Works,Textile / Garments,"No 16, Shed Extension, Antharasanahalli Indl Area, Tumakuru, Karnataka - 572106",Ward-T12,Tumakuru,572106,Approved,2018-11-21,2026-04-25,9001354286,,BBMP-TL-TUMA-2018-000064,ENT-00171
BBMP-TL-YELA-2015-000065,Nisarga Trans Enterprises,Logistics / Warehouse,"No 28, D Mn Rd, Hebbal, Bengaluru Urban, K'taka - 560024",Ward-021,Yelahanka,560024,Pending Inspection,2015-11-14,2025-12-12,,,BBMP-TL-YELA-2015-000065,ENT-00173
BBMP-TL-SOUT-2019-000066,M/S Bharath Medical Soluions,Pharmacy / Medical Retail,"No. 154, Plot 2nd Main, Bommanahalli, B'luru Urban, K'taka - 560068",Ward-175,South,560068,Renewal Due,2019-04-15,2026-10-15,,,BBMP-TL-SOUT-2019-000066,ENT-00174
BBMP-TL-BOMM-2024-000067,Siddhi Warehouse Solutions,Logistics / Warehouse,"#267, Shed 3rd Phase, HSR Layout, Bangalore Urban, K'taka",Ward-174,Bommanahalli,560102,Pending Inspection,2024-07-26,2025-09-30,,,BBMP-TL-BOMM-2024-000067,ENT-00176
BBMP-TL-SOUT-2015-000068,Kaveri Meds Associates,Pharmacy / Medical Retail,"No. 263, C 2nd Main, Nanjangud Road, Mysuru, Karnataka - 570018",Ward-M32,South,570018,Expired,2015-05-09,2027-08-12,,,BBMP-TL-SOUT-2015-000068,ENT-00178
BBMP-TL-SOUT-2022-000069,Srinidhi Injection Enterprises,Plastic Moulding,"No 49, Service Road, Bannerghatta Road, Bengaluru Urban, K'taka - 560076",Ward-177,South,560076,Pending Inspection,2022-11-30,2025-08-02,9001433476,GSTIN_40F797D77A68121F,BBMP-TL-SOUT-2022-000069,ENT-00181
BBMP-TL-SOUT-2019-000070,Sharma Pvt Ltd,Plastic Moulding,"117, C 2nd Main, Nanjangud Road, Mysuru, Karnataka - 570018",Ward-M32,South,570018,Pending Inspection,2019-01-01,2025-10-04,9001465152,,BBMP-TL-SOUT-2019-000070,ENT-00185
BBMP-TL-EAST-2023-000071,Nisarga Enterprises,Textile / Garments,"No. 143, Mn Rd, MG Road, B'luru Urban, K'taka - 560001",Ward-111,East,560001,Renewal Due,2023-07-16,2028-04-13,9001473071,,BBMP-TL-EAST-2023-000071,ENT-00186
BBMP-TL-MAHA-2022-000072,Sahana Apparels Co,Textile / Garments,"No 233, D Behind Metro, Whitefield, Bengaluru Urban, K'taka - 560037",Ward-085,Mahadevapura,560037,Expired,2022-05-03,2027-09-07,9001496828,GSTIN_4B2BED23B3F6EB55,BBMP-TL-MAHA-2022-000072,ENT-00189
BBMP-TL-SOUT-2019-000073,Veda Meds Works,Pharmacy / Medical Retail,"163, C Near Bus Stop, Bommanahalli, Bangalore Urban, K'taka - 560068",Ward-175,South,560068,Pending Inspection,2019-05-08,2026-08-31,9001504747,,BBMP-TL-SOUT-2019-000073,ENT-00190
BBMP-TL-BENG-2015-000074,M/S Siddhi Warehouse Industries,Logistics / Warehouse,"164, A Industrial Layout, Doddaballapura, Bangalore Rural, KA - 561203",Ward-R09,Bengaluru Rural,561203,Approved,2015-10-20,2027-09-26,,GSTIN_9D678C75C70F73FC,BBMP-TL-BENG-2015-000074,ENT-00191
BBMP-TL-WEST-2022-000075,M/S Navya Solvents Pvt Ltd,Chemical Blending,"105, B Service Road, Rajajinagar Industrial Suburb, Bangalore Urban, Karnataka - 560059",Ward-067,West,560059,Pending Inspection,2022-10-07,2024-11-09,,,BBMP-TL-WEST-2022-000075,ENT-00192
BBMP-TL-SOUT-2016-000076,Prakruthi Bites Company,Restaurant / Cafe,"31, A Behind Metro, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Ward-175,South,560068,Expired,2016-09-04,2025-02-02,9001560180,GSTIN_8CF36EEFA70284B0,BBMP-TL-SOUT-2016-000076,ENT-00197
BBMP-TL-WEST-2018-000077,Kaveri Bakery LLP,Food Processing,"No. 17, B Industrial Layout, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Ward-067,West,560059,Renewal Due,2018-08-24,2025-07-02,,,BBMP-TL-WEST-2018-000077,ENT-00198
BBMP-TL-SOUT-2019-000078,M/S Harsha Meals Associates,Restaurant / Cafe,"No. 175, B 3rd Phase, Nanjangud Road, Mysuru, K'taka - 570018",Ward-M32,South,570018,Pending Inspection,2019-06-21,2027-02-20,9001591856,,BBMP-TL-SOUT-2019-000078,ENT-00201
BBMP-TL-WEST-2017-000079,Veda Agro Co,Food Processing,"#125, B Extension, Rajajinagar Industrial Suburb, Bengaluru Urban, K'taka - 560059",Ward-067,West,560059,Expired,2017-12-26,2026-05-08,,GSTIN_8D0ABEA5F0A9CE51,BBMP-TL-WEST-2017-000079,ENT-00202
BBMP-TL-BENG-2018-000080,Siddhi Industries,Pharmacy / Medical Retail,"48, Plot Service Road, Hoskote, B'luru Rural, Karnataka - 562114",Ward-R04,Bengaluru Rural,562114,Expired,2018-10-22,2027-08-08,,,BBMP-TL-BENG-2018-000080,ENT-00203
BBMP-TL-SOUT-2021-000081,M/S Nisarga Clinic LLP,Pharmacy / Medical Retail,"#274, Shed Industrial Layout, Bommanahalli, Bangalore Urban, K'taka - 560068",Ward-175,South,560066,Pending Inspection,2021-10-13,2024-11-17,9001615613,,BBMP-TL-SOUT-2021-000081,ENT-00204
BBMP-TL-NORT-2017-000082,Aarohi Solutions,Food Processing,"No 17, A 1st Cross, Hebbal Industrial Estate, Mysuru, KA - 570016",Ward-M21,North,570016,Renewal Due,2017-12-14,2025-06-25,9001623532,,BBMP-TL-NORT-2017-000082,ENT-00205
BBMP-TL-YELA-2017-000083,M/S Ravi TextilesCompany,Textile / Garments,"No 296, D 2nd Main, Hebbal, B'luru Urban, Karnataka - 560024",Ward-021,Yelahanka,560024,Pending Inspection,2017-05-08,2027-02-09,,,BBMP-TL-YELA-2017-000083,ENT-00212
BBMP-TL-NORT-2024-000084,Veda Cafe Industries,Restaurant / Cafe,"#284, Plot 3rd Phase, Hebbal Indl Area, Mysuru, Karnataka",Ward-M21,North,570016,Expired,2024-07-25,2025-10-30,9001710641,,BBMP-TL-NORT-2024-000084,ENT-00216
BBMP-TL-YELA-2020-000085,Ananya Associates,Textile / Garments,"#171, Shed Industrial Layout, Hebbal, B'luru Urban, Karnataka - 560024",Ward-021,Yelahanka,560024,Renewal Due,2020-11-03,2026-07-01,,,BBMP-TL-YELA-2020-000085,ENT-00220
BBMP-TL-SOUT-2025-000086,Lakshmi Works,Logistics / Warehouse,"#72, 2nd Main, Banashankari, B'luru Urban, Karnataka - 560085",Ward-182,South,560085,Pending Inspection,2025-10-25,2026-10-14,,,BBMP-TL-SOUT-2025-000086,ENT-00221
BBMP-TL-TUMA-2023-000087,Lakshmi Medical LLP,Pharmacy / Medical Retail,"257, A Near Bus Stop, BH Road, Tumakuru, Karnataka - 572101",Ward-T01,Tumakuru,572101,Expired,2023-02-14,2025-07-22,,,BBMP-TL-TUMA-2023-000087,ENT-00229
BBMP-TL-BENG-2019-000088,Kaveri Meds Pvt Ltd,Pharmacy / Medical Retail,"No 8, Plot Behind Metro, Bagalur, Bengaluru Rural, KA",Ward-R07,Bengaluru Rural,562157,Renewal Due,2019-08-13,2027-04-29,,GSTIN_C5634421BA171F7C,BBMP-TL-BENG-2019-000088,ENT-00230
BBMP-TL-YELA-2022-000089,M/S Prakruthi Biryani Solutions,Restaurant / Cafe,"No. 202, B Behind Metro, Yelahanka, Bangalore Urban, Karnataka - 560064",Ward-004,Yelahanka,560064,Pending Inspection,2022-07-20,2027-06-09,9001853183,GSTIN_5E35136DA83447D1,BBMP-TL-YELA-2022-000089,ENT-00234
BBMP-TL-SOUT-2017-000090,M/S Bharath Cargo Pvt Ltd,Logistics / Warehouse,"#196, B Service Road, Koramangala, Bengaluru Urban, KA - 560034",Ward-151,South-East,560034,Renewal Due,2017-03-20,2026-09-17,9001869021,,BBMP-TL-SOUT-2017-000090,ENT-00236
BBMP-TL-TUMA-2018-000091,M/S Aditya Labels Enterprises,Printing / Packaging,"No 296, Shed Behind Metro, BH Road, Tumakuru, Karnataka - 572101",Ward-T01,Tumakuru,572106,Expired,2018-12-19,2026-01-11,9001892778,,BBMP-TL-TUMA-2018-000091,ENT-00239
BBMP-TL-SOUT-2023-000092,Sahana Industries Co,Machine Tools,"299, Main Rd, Nanjangud Road, Mysuru, KA - 570018",Ward-M32,South,570018,Expired,2023-05-02,2027-09-14,9001900697,,BBMP-TL-SOUT-2023-000092,ENT-00240
BBMP-TL-SOUT-2018-000093,M/S Nisarga Clinic Solutions,Pharmacy / Medical Retail,"No. 136, A Main Road, BTM Layout, Bengaluru Urban, K'taka",Ward-176,South,560029,Approved,2018-05-09,2027-03-13,9001916535,,BBMP-TL-SOUT-2018-000093,ENT-00242
BBMP-TL-WEST-2019-000094,Naveen LLP,Textile / Garments,"#214, Plot 3rd Phase, Rajajinagar Industrial Suburb, B'luru Urban, KA - 560059",Ward-067,West,560059,Pending Inspection,2019-08-26,2025-01-14,,,BBMP-TL-WEST-2019-000094,ENT-00244
