ubid,business_name,risk_score,risk_level,activity_status,last_activity_date,linked_departments,risk_reasons
KA-BLRU-560037-000086,Kaveri Labs Pvt Ltd,90,High,CLOSED,2020-10-17,FACTORY|KSPCB|LABOUR,No compliance activity for more than 36 months | No linked GST registry signal | 1 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-MYS-570018-000126,Sahana Garments Company,90,High,DORMANT,2024-01-24,GST|LABOUR|SHOP,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560059-000198,Kaveri Bakery LLP,88,High,DORMANT,2024-06-23,BBMP|GST|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560066-000269,Nisarga Printers Pvt Ltd,87,High,DORMANT,2024-05-24,BBMP|GST|LABOUR|SHOP,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560085-000034,Nandi Cargo Company,82,High,CLOSED,2022-07-25,GST|UDYAM,No compliance activity for more than 36 months | 1 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-BLRU-560059-000202,Veda Agro Co,82,High,DORMANT,2024-08-31,BBMP|GST|SHOP|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560059-000244,Naveen LLP,81,High,DORMANT,2024-01-26,BBMP|GST|SHOP,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | Dormant status inferred from event stream
KA-BLRU-560024-000112,Ananya Solutions,80,High,CLOSED,2022-03-26,FACTORY|KSPCB|UDYAM,No compliance activity for more than 36 months | No linked GST registry signal | Closed/deregistered or long-inactive status
KA-BLRU-560085-000193,Meghana Polymers Associates,80,High,DORMANT,2024-10-21,GST|LABOUR|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | Dormant status inferred from event stream
KA-BLRR-562157-000230,Kaveri Meds Pvt Ltd,80,High,CLOSED,2022-01-16,BBMP|SHOP,No compliance activity for more than 36 months | No linked GST registry signal | Closed/deregistered or long-inactive status
KA-BLRU-560037-000317,Nisarga Labels Pvt Ltd,80,High,DORMANT,2024-12-28,KSPCB|LABOUR|SHOP|UDYAM,No compliance activity in the last 12 months | Manufacturing business has no linked Factories Act record | No linked GST registry signal | 2 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560078-000213,Bangalore Snacks LLP,79,High,CLOSED,2023-06-18,GST|KSPCB|LABOUR|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked Factories Act record | Closed/deregistered or long-inactive status
KA-BLRU-560064-000250,Aarohi Graphics Solutions,79,High,DORMANT,2024-06-10,GST|LABOUR|SHOP,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | Dormant status inferred from event stream
KA-BLRU-560029-000242,Nisarga Clinic Solutions,76,High,CLOSED,2021-02-14,BBMP|GST,No compliance activity for more than 36 months | 1 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-BLRU-560076-000065,Sri Agro Industries,74,High,DORMANT,2024-08-06,GST|SHOP|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | Dormant status inferred from event stream
KA-BLRR-562110-000165,Varun Dine Company,74,High,CLOSED,2022-12-12,GST|SHOP|UDYAM,No compliance activity for more than 36 months | Closed/deregistered or long-inactive status
KA-MYS-570001-000177,Srinidhi Health Traders,72,High,CLOSED,2022-04-07,GST|SHOP,No compliance activity for more than 36 months | Closed/deregistered or long-inactive status
KA-TUM-572101-000036,Nandi Stores LLP,71,High,CLOSED,2022-06-07,GST|LABOUR,No compliance activity for more than 36 months | Closed/deregistered or long-inactive status
KA-BLRU-560085-000004,Asha Trans LLP,69,Medium,CLOSED,2021-04-01,GST,No compliance activity for more than 36 months | Closed/deregistered or long-inactive status
KA-BLRR-562114-000203,Siddhi Industries,69,Medium,CLOSED,2023-05-19,BBMP|UDYAM,No compliance activity for more than 18 months | No linked GST registry signal | 1 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-BLRU-560029-000067,Sahana Meds Enterprises,68,Medium,CLOSED,2020-12-11,GST|SHOP|UDYAM,No compliance activity for more than 36 months | Closed/deregistered or long-inactive status
KA-BLRU-560066-000075,Ravi Tech Associates,67,Medium,CLOSED,2022-12-16,FACTORY|GST|KSPCB|SHOP,No compliance activity for more than 36 months | Closed/deregistered or long-inactive status
KA-BLRU-560043-000214,Srinidhi Works,67,Medium,CLOSED,2021-01-19,GST|LABOUR,No compliance activity for more than 36 months | Closed/deregistered or long-inactive status
KA-TUM-572101-000239,Aditya Labels Enterprises,67,Medium,DORMANT,2023-11-07,BBMP|FACTORY|GST|SHOP|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560037-000225,Asha Enterprises,66,Medium,CLOSED,2023-05-29,GST|LABOUR|SHOP,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-BLRU-560001-000070,Sri Spices Solutions,65,Medium,DORMANT,2024-07-28,GST|KSPCB|SHOP,No compliance activity for more than 18 months | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560043-000273,Mysore Industries,65,Medium,DORMANT,2023-12-09,GST|KSPCB|SHOP|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560059-000312,Naveen Printers Solutions,65,Medium,DORMANT,2024-09-15,BBMP|KSPCB|LABOUR|SHOP,No compliance activity for more than 18 months | Manufacturing business has no linked Factories Act record | No linked GST registry signal | Dormant status inferred from event stream
KA-TUM-572106-000102,Sharma CNC Enterprises,64,Medium,DORMANT,2024-06-11,GST|KSPCB|LABOUR|SHOP|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked Factories Act record | Dormant status inferred from event stream
KA-MYS-570018-000313,Nandi Foods Industries,64,Medium,DORMANT,2024-11-14,BBMP|FACTORY,No compliance activity in the last 12 months | Manufacturing business has no linked KSPCB consent record | No linked GST registry signal | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-MYS-570016-000082,Prakruthi Packaging Solutions,63,Medium,DORMANT,2025-01-19,FACTORY|KSPCB|LABOUR|UDYAM,No compliance activity in the last 12 months | No linked GST registry signal | 3 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560102-000207,Deccan Coatings Associates,63,Medium,DORMANT,2024-05-21,GST|KSPCB|LABOUR|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked Factories Act record | Dormant status inferred from event stream
KA-MYS-570016-000021,Prakruthi Packaging Solutions,62,Medium,DORMANT,2023-11-02,GST|KSPCB|LABOUR,No compliance activity for more than 18 months | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560100-000196,Sri Foods Company,62,Medium,DORMANT,2024-10-07,FACTORY|GST|LABOUR|SHOP,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Dormant status inferred from event stream
KA-MYS-570016-000233,Srinidhi Traders,62,Medium,DORMANT,2024-02-04,GST|KSPCB|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560068-000020,Navya Devices Co,61,Medium,DORMANT,2023-10-04,FACTORY|GST|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Dormant status inferred from event stream
KA-TUM-572106-000298,Aditya Works,61,Medium,CLOSED,2023-07-08,GST|SHOP,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-BLRU-560029-000218,Ananya Electronics Co,60,Medium,DORMANT,2024-11-19,GST|KSPCB|LABOUR|SHOP,No compliance activity in the last 12 months | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560076-000115,Bangalore Care Works,59,Medium,DORMANT,2024-05-05,GST|SHOP,No compliance activity for more than 18 months | 2 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560085-000041,Meghana Bites Associates,58,Medium,DORMANT,2024-09-11,BBMP|SHOP,No compliance activity for more than 18 months | No linked GST registry signal | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560043-000046,Ravi LLP,58,Medium,DORMANT,2024-04-24,GST|SHOP|UDYAM,No compliance activity for more than 18 months | 2 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-MYS-570001-000150,Bangalore Company,56,Medium,DORMANT,2024-01-03,GST|KSPCB|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked Factories Act record | Dormant status inferred from event stream
KA-BLRR-562114-000163,Asha Clinic Solutions,55,Medium,DORMANT,2024-03-09,BBMP|GST|SHOP|UDYAM,No compliance activity for more than 18 months | 2 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-MYS-570018-000185,Sharma Pvt Ltd,55,Medium,DORMANT,2024-04-01,BBMP|FACTORY|KSPCB|SHOP|UDYAM,No compliance activity for more than 18 months | No linked GST registry signal | Dormant status inferred from event stream
KA-BLRU-560037-000001,Omkar Works,54,Medium,DORMANT,2024-10-12,SHOP,No compliance activity for more than 18 months | No linked GST registry signal | Dormant status inferred from event stream
KA-BLRU-560043-000052,Naveen Company,54,Medium,ACTIVE,2026-04-25,GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | 2 unresolved/notice complaint signals
KA-BLRU-560085-000097,Ananya Labs Pvt Ltd,54,Medium,DORMANT,2025-02-27,BBMP|FACTORY|KSPCB,No compliance activity in the last 12 months | No linked GST registry signal | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560100-000292,Udupi Health Works,54,Medium,DORMANT,2023-10-19,BBMP|GST|SHOP,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRR-561203-000003,Veda Devices Works,53,Medium,DORMANT,2024-05-19,FACTORY|GST|KSPCB,No compliance activity for more than 18 months | 2 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560076-000235,Sahana Industries,53,Medium,ACTIVE,2025-02-06,GST|LABOUR|SHOP|UDYAM,No compliance activity in the last 12 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record
KA-MYS-570001-000068,Vijaya Bites Industries,52,Medium,DORMANT,2024-07-20,BBMP|SHOP,No compliance activity for more than 18 months | No linked GST registry signal | Dormant status inferred from event stream
KA-BLRU-560059-000092,Prakruthi Care Industries,52,Medium,DORMANT,2025-03-08,BBMP|SHOP,No compliance activity in the last 12 months | No linked GST registry signal | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-TUM-572101-000109,Bangalore Packaging Works,52,Medium,DORMANT,2025-01-09,FACTORY|GST|KSPCB|LABOUR,No compliance activity in the last 12 months | 2 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560001-000306,Nandi Moulding Company,52,Medium,DORMANT,2024-04-28,FACTORY|GST|KSPCB|LABOUR|UDYAM,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRR-562114-000132,Sri Kitchen Enterprises,51,Medium,DORMANT,2023-12-26,BBMP|GST|SHOP,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560058-000153,Sahana Kitchen Solutions,51,Medium,DORMANT,2024-09-22,BBMP|GST|LABOUR|SHOP,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560034-000314,Srinidhi Labels Company,51,Medium,ACTIVE,2026-01-24,LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | No linked GST registry signal
KA-BLRU-560029-000105,Kaveri Pvt Ltd,49,Medium,DORMANT,2023-12-24,FACTORY|GST|KSPCB|UDYAM,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560085-000148,Vijaya Tools Solutions,49,Medium,DORMANT,2025-02-09,FACTORY|GST|SHOP,No compliance activity in the last 12 months | Manufacturing business has no linked KSPCB consent record | Dormant status inferred from event stream
KA-BLRR-562110-000291,Lakshmi Meds Pvt Ltd,49,Medium,DORMANT,2023-10-12,GST|SHOP|UDYAM,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-MYS-570016-000022,Ravi Plastics Works,48,Medium,DORMANT,2025-01-25,FACTORY|KSPCB|LABOUR|SHOP,No compliance activity in the last 12 months | No linked GST registry signal | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-MYS-570001-000012,Naveen Systems Pvt Ltd,47,Medium,DORMANT,2024-08-07,FACTORY|KSPCB|UDYAM,No compliance activity for more than 18 months | No linked GST registry signal | Dormant status inferred from event stream
KA-MYS-570001-000077,Ananya Pharma Traders,47,Medium,DORMANT,2024-06-01,SHOP,No compliance activity for more than 18 months | No linked GST registry signal | Dormant status inferred from event stream
KA-BLRU-560024-000222,Ganesh Cafe Company,47,Medium,DORMANT,2024-09-25,GST|SHOP,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560066-000271,Bangalore Traders,47,Medium,DORMANT,2024-01-20,BBMP|GST|SHOP|UDYAM,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560059-000302,Kaveri Wear Works,47,Medium,ACTIVE,2026-02-11,GST|KSPCB|LABOUR|UDYAM,Manufacturing business has no linked Factories Act record | 3 unresolved/notice complaint signals
KA-TUM-572106-000048,Bangalore Dine Associates,46,Medium,DORMANT,2023-09-21,BBMP|SHOP,No compliance activity for more than 18 months | No linked GST registry signal | Dormant status inferred from event stream
KA-BLRU-560024-000212,Ravi Textiles Company,46,Medium,ACTIVE,2026-05-02,BBMP|GST|SHOP,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals
KA-BLRU-560078-000299,Srinidhi Press Works,46,Medium,DORMANT,2024-10-20,FACTORY|GST|KSPCB|SHOP,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-MYS-570018-000033,Deccan Industries,45,Medium,ACTIVE,2026-04-12,GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals
KA-BLRU-560076-000279,Varun Traders,45,Medium,DORMANT,2024-09-15,GST|SHOP,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-MYS-570016-000042,Aditya Circuits Works,44,Medium,ACTIVE,2026-02-26,BBMP|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record
KA-BLRU-560078-000056,Bharath Graphics Solutions,44,Medium,ACTIVE,2025-10-14,BBMP|GST|SHOP,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record
KA-BLRR-562110-000120,Aarohi Medical Works,44,Medium,DORMANT,2024-05-30,BBMP|FACTORY|GST|SHOP,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560064-000136,Aarohi Bakery Industries,44,Medium,ACTIVE,2026-04-29,BBMP|FACTORY|GST|LABOUR,Manufacturing business has no linked KSPCB consent record | 4 unresolved/notice complaint signals
KA-BLRU-560085-000175,Prakruthi LLP,44,Medium,ACTIVE,2025-11-10,GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals
KA-BLRU-560085-000024,Sree Solutions,42,Medium,ACTIVE,2025-10-13,GST|LABOUR|SHOP,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record
KA-BLRR-562157-000281,Navya Garments Works,42,Medium,ACTIVE,2026-02-27,BBMP|GST|UDYAM,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals
KA-BLRR-562114-000078,Aditya Medical Pvt Ltd,41,Medium,DORMANT,2024-06-21,BBMP|GST|LABOUR|SHOP,No compliance activity for more than 18 months | Dormant status inferred from event stream
KA-MYS-570016-000079,Ravi Co,41,Medium,ACTIVE,2025-08-11,GST|LABOUR|SHOP,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record
KA-BLRU-560064-000305,Omkar Health Enterprises,41,Medium,DORMANT,2025-01-26,BBMP|GST|SHOP|UDYAM,No compliance activity in the last 12 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560064-000103,Aditya Garments Industries,40,Medium,ACTIVE,2026-02-08,BBMP|GST|LABOUR,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record
KA-BLRU-560064-000108,Mysore Fashions Enterprises,40,Medium,ACTIVE,2025-10-22,FACTORY|GST|LABOUR|UDYAM,Manufacturing business has no linked KSPCB consent record | 2 unresolved/notice complaint signals
KA-BLRU-560037-000189,Sahana Apparels Co,40,Medium,ACTIVE,2026-05-04,BBMP|FACTORY|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | 2 unresolved/notice complaint signals
KA-BLRU-560102-000050,Ananya Print Works,39,Medium,ACTIVE,2025-08-15,GST|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record
KA-BLRU-560034-000119,Ravi Solutions,39,Medium,ACTIVE,2025-01-07,GST|KSPCB,No compliance activity in the last 12 months | Manufacturing business has no linked Factories Act record
KA-BLRU-560043-000154,Navya Trans Co,39,Medium,DORMANT,2025-04-30,GST|SHOP,No compliance activity in the last 12 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560076-000289,Aarohi Bakery Associates,39,Medium,ACTIVE,2026-04-08,BBMP|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record
KA-BLRR-562110-000015,Meghana Warehouse Traders,38,Medium,DORMANT,2025-04-22,BBMP|GST|LABOUR|UDYAM,No compliance activity in the last 12 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560066-000152,Meghana Machining Works,38,Medium,ACTIVE,2026-04-13,GST|KSPCB|LABOUR|SHOP,Manufacturing business has no linked Factories Act record | 2 unresolved/notice complaint signals
KA-BLRR-562114-000106,Naveen Stores LLP,37,Medium,DORMANT,2025-01-18,BBMP|LABOUR,No compliance activity in the last 12 months | No linked GST registry signal | Dormant status inferred from event stream
KA-MYS-570018-000059,Bangalore Apparels Company,36,Medium,ACTIVE,2026-04-26,BBMP|FACTORY|GST,Manufacturing business has no linked KSPCB consent record | 2 unresolved/notice complaint signals
KA-BLRU-560068-000094,Sharma Biryani Pvt Ltd,36,Medium,DORMANT,2025-03-21,BBMP|GST|LABOUR|SHOP|UDYAM,No compliance activity in the last 12 months | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560100-000125,Navya Snacks Industries,36,Medium,ACTIVE,2025-09-15,FACTORY|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | 2 unresolved/notice complaint signals
KA-BLRU-560034-000236,Bharath Cargo Pvt Ltd,36,Medium,DORMANT,2024-02-24,BBMP|GST|SHOP,No compliance activity for more than 18 months | Dormant status inferred from event stream
KA-TUM-572101-000043,Kaveri Press Enterprises,35,Medium,ACTIVE,2025-10-31,GST|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record
KA-BLRU-560076-000051,Varun Enterprises,35,Medium,ACTIVE,2025-12-10,GST|KSPCB|LABOUR|SHOP|UDYAM,Manufacturing business has no linked Factories Act record | 2 unresolved/notice complaint signals
KA-BLRU-560043-000146,Udupi Circuits LLP,35,Medium,ACTIVE,2025-12-28,FACTORY|GST|UDYAM,Manufacturing business has no linked KSPCB consent record | 2 unresolved/notice complaint signals
KA-MYS-570018-000201,Harsha Meals Associates,35,Medium,DORMANT,2025-01-21,BBMP|GST|LABOUR|SHOP,No compliance activity in the last 12 months | Dormant status inferred from event stream
KA-BLRU-560058-000308,Sree Mold Traders,35,Medium,ACTIVE,2025-11-06,GST|SHOP,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record
KA-BLRU-560029-000098,Ganesh Works,34,Low,ACTIVE,2026-04-26,KSPCB|SHOP,Manufacturing business has no linked Factories Act record | No linked GST registry signal
KA-BLRU-560037-000139,Harsha Works Co,34,Low,ACTIVE,2026-05-02,BBMP|KSPCB|SHOP,Manufacturing business has no linked Factories Act record | No linked GST registry signal | 1 unresolved/notice complaint signals
KA-MYS-570016-000205,Aarohi Solutions,34,Low,ACTIVE,2026-04-29,BBMP|FACTORY|UDYAM,Manufacturing business has no linked KSPCB consent record | No linked GST registry signal
KA-TUM-572101-000211,Udupi Systems Traders,34,Low,ACTIVE,2025-11-21,GST|LABOUR|UDYAM,Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record
KA-BLRU-560029-000090,Bharath Tech Associates,33,Low,ACTIVE,2026-04-20,FACTORY|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | 1 unresolved/notice complaint signals
KA-BLRU-560078-000143,Siddhi Pvt Ltd,33,Low,ACTIVE,2026-01-26,BBMP|FACTORY|GST|SHOP,Manufacturing business has no linked KSPCB consent record | 1 unresolved/notice complaint signals
KA-BLRU-560037-000162,Ananya CNC LLP,33,Low,ACTIVE,2025-10-18,GST|KSPCB|LABOUR|SHOP|UDYAM,Manufacturing business has no linked Factories Act record | 2 unresolved/notice complaint signals
KA-BLRU-560001-000166,Sharma Electronics Solutions,33,Low,ACTIVE,2025-09-07,BBMP|KSPCB|LABOUR|SHOP|UDYAM,Manufacturing business has no linked Factories Act record | No linked GST registry signal | 1 unresolved/notice complaint signals
KA-MYS-570016-000254,Srinidhi LLP,33,Low,DORMANT,2025-04-08,BBMP|GST|SHOP|UDYAM,No compliance activity in the last 12 months | Dormant status inferred from event stream
KA-BLRU-560100-000008,Siddhi Cafe Industries,32,Low,ACTIVE,2026-01-10,BBMP|KSPCB|LABOUR|SHOP|UDYAM,No linked GST registry signal | 2 unresolved/notice complaint signals
KA-BLRU-560064-000029,Asha Co,32,Low,ACTIVE,2025-11-01,FACTORY|GST|UDYAM,Manufacturing business has no linked KSPCB consent record | 2 unresolved/notice complaint signals
KA-MYS-570016-000057,Prakruthi Electronics Industries,32,Low,ACTIVE,2025-09-13,FACTORY|GST|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | 2 unresolved/notice complaint signals
KA-MYS-570016-000096,Ananya Devices Solutions,32,Low,ACTIVE,2025-08-18,BBMP|FACTORY|GST|SHOP,Manufacturing business has no linked KSPCB consent record | 2 unresolved/notice complaint signals
KA-BLRU-560085-000101,Srinidhi Enterprises,32,Low,DORMANT,2024-11-22,FACTORY|GST|KSPCB|LABOUR|SHOP,No compliance activity in the last 12 months | Dormant status inferred from event stream
