source_record_id,source_system,business_name_raw,business_name_normalized,address_raw,address_normalized,district,pin_code,business_type,business_category,pan_hash_present,gstin_hash_present,phone_present,blocking_key_pin_category,blocking_key_pin_name4,status,last_event_date,entity_id_ground_truth
LAB-KA-BLRU-2025-000001,LABOUR,Sharma Coatings Co,SHARMA COATINGS,"7, Plot Service Road, Rajajinagar Industrial Suburb, Bengaluru Urban, K'taka - 560059",7 PLOT SERVICE RD RAJAJINAGAR IND SUBURB BANGALORE URBAN K TAKA 560059,Bengaluru Urban,560059,Chemical Blending,Manufacturing,False,False,False,560059::Manufacturing,560059::SHAR,ACTIVE,2025-05-10,ENT-00005
KAR-SHOP-BLRU-2016-000002,SHOP,Shama Coatings Co,SHAMA COATINGS,"No 7, Plot Service Road, Rajajinagar Industrial Suburb, Bangalore Urban, KA - 560059",NO 7 PLOT SERVICE RD RAJAJINAGAR IND SUBURB BANGALORE URBAN KA 560059,Bengaluru Urban,560059,Chemical Blending,Manufacturing,False,False,False,560059::Manufacturing,560059::SHAM,CLOSED,2017-10-30,ENT-00005
UDYAM-KR-BLRU-2024-000002,UDYAM,Sharma Coatings Co,SHARMA COATINGS,"No 7, Plot Service Road, Rajajinagar Industrial Suburb, B'luru Urban, KA - 560059",NO 7 PLOT SERVICE RD RAJAJINAGAR IND SUBURB B LURU URBAN KA 560059,Bengaluru Urban,560059,Chemical Blending,Manufacturing,False,False,True,560059::Manufacturing,560059::SHAR,ACTIVE,2026-01-15,ENT-00005
KFBIS-FAC-MYS-2018-000003,FACTORY,Deccan Industries,DECCAN INDUSTRIES,"#151, C 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",151 C 2ND MN DEVARAJA MOHALLA MYSURU KARNATAKA 570001,Mysuru,570001,Plastic Moulding,Manufacturing,False,False,True,570001::Manufacturing,570001::DECC,ACTIVE,2025-08-16,ENT-00006
GST-KA-MYS-2024-000005,GST,DeccanInds,DECCANINDS,"151, C 2nd Main, Devaraja Mohalla, Mysuru, KA - 570001",151 C 2ND MN DEVARAJA MOHALLA MYSURU KA 570001,Mysuru,570001,Plastic Moulding,Manufacturing,True,False,True,570001::Manufacturing,570001::DECC,DORMANT,2024-09-30,ENT-00006
PCB/MYS/CTO/2018/00003,KSPCB,M/S Deccan Industries,DECCAN INDUSTRIES,"151, C 2nd Main, Devaraja Mohalla, Mysuru, KA - 570001",151 C 2ND MN DEVARAJA MOHALLA MYSURU KA 570001,Mysuru,570001,Plastic Moulding,Manufacturing,False,False,True,570001::Manufacturing,570001::DECC,CLOSED,2022-04-22,ENT-00006
LAB-KA-MYS-2016-000002,LABOUR,Deccan Industres,DECCAN INDUSTRES,"No. 151, C 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",NO 151 C 2ND MN DEVARAJA MOHALLA MYSURU KARNATAKA 570001,Mysuru,570001,Plastic Moulding,Manufacturing,True,False,True,570001::Manufacturing,570001::DECC,CLOSED,2017-10-09,ENT-00006
KAR-SHOP-MYS-2024-000003,SHOP,Deccan Industries,DECCAN INDUSTRIES,"151, C 2nd Main, Devaraja Mohalla, Mysuru, K'taka - 570001",151 C 2ND MN DEVARAJA MOHALLA MYSURU K TAKA 570001,Mysuru,570001,Plastic Moulding,Manufacturing,False,False,True,570001::Manufacturing,570001::DECC,ACTIVE,2025-05-06,ENT-00006
UDYAM-KR-MYS-2023-000003,UDYAM,Deccan Industries,DECCAN INDUSTRIES,"#151, C 2nd Main, Devaraja Mohalla, Mysuru, K'taka - 570001",151 C 2ND MN DEVARAJA MOHALLA MYSURU K TAKA 570001,Mysuru,570001,Plastic Moulding,Manufacturing,True,False,True,570001::Manufacturing,570001::DECC,DORMANT,2024-08-02,ENT-00006
KAR-SHOP-BLRU-2022-000004,SHOP,Sree Logistics Pvt Ltd,SREE LOGISTICS,"No 105, B 2nd Main, HSR Layout, Bangalore Urban, KA - 560102",NO 105 B 2ND MN HSR LAYOUT BANGALORE URBAN KA 560102,Bengaluru Urban,560102,Logistics / Warehouse,Service,False,False,True,560102::Service,560102::SREE,ACTIVE,2026-01-04,ENT-00007
BBMP-TL-BOMM-2015-000001,BBMP,Siddhi Cafe Industries,SIDDHI CAFE INDUSTRIES,"181, A Near Bus Stop, Electronic City, Bangalore Urban, KA - 560100",181 A NEAR BUS STOP ELECTRONIC CITY BANGALORE URBAN KA 560100,Bengaluru Urban,560100,Restaurant / Cafe,Service,False,False,True,560100::Service,560100::SIDD,CLOSED,2022-06-20,ENT-00008
PCB/BLRU/CTO/2020/00004,KSPCB,Siddhi Cafe Industries,SIDDHI CAFE INDUSTRIES,"181, A Near Bus Stop, Electronic City, Bangalore Urban, KA",181 A NEAR BUS STOP ELECTRONIC CITY BANGALORE URBAN KA,Bengaluru Urban,560100,Restaurant / Cafe,Service,True,False,False,560100::Service,560100::SIDD,ACTIVE,2025-08-07,ENT-00008
LAB-KA-BLRU-2016-000003,LABOUR,Siddhi Cafe Industries,SIDDHI CAFE INDUSTRIES,"No. 181, A Near Bus Stop, Electronic City, Bangalore Urban, Karnataka - 560100",NO 181 A NEAR BUS STOP ELECTRONIC CITY BANGALORE URBAN KARNATAKA 560100,Bengaluru Urban,560100,Restaurant / Cafe,Service,False,False,False,560100::Service,560100::SIDD,CLOSED,2023-12-09,ENT-00008
KAR-SHOP-BLRU-2024-000005,SHOP,Siddhi Cafe Inds,SIDDHI CAFE INDS,"#181, A Near Bus Stop, Electronic City, Bengaluru Urban, Karnataka - 560100",181 A NEAR BUS STOP ELECTRONIC CITY BANGALORE URBAN KARNATAKA 560100,Bengaluru Urban,560037,Restaurant / Cafe,Service,False,False,False,560037::Service,560037::SIDD,ACTIVE,2025-12-12,ENT-00008
UDYAM-KR-BLRU-2018-000004,UDYAM,Siddhi Cafe Inds,SIDDHI CAFE INDS,"No 181, A Near Bus Stop, Electronic City, B'luru Urban, KA - 560100",NO 181 A NEAR BUS STOP ELECTRONIC CITY B LURU URBAN KA 560100,Bengaluru Urban,560100,Restaurant / Cafe,Service,True,False,True,560100::Service,560100::SIDD,CLOSED,2021-08-08,ENT-00008
GST-KA-BLRR-2025-000006,GST,M/S Srinidhi Trans Works,SRINIDHI TRANS WORKS,"284, Shed 1st Crs, Hoskote, Bangalore Rural, KA - 562114",284 SHED 1ST CRS HOSKOTE BANGALORE RURAL KA 562114,Bengaluru Rural,562114,Logistics / Warehouse,Service,False,False,True,562114::Service,562114::SRIN,ACTIVE,2025-10-24,ENT-00009
PCB/BLRR/CTE/2019/00005,KSPCB,Srinidhi Trans Works,SRINIDHI TRANS WORKS,"284, Shed 1st Cr, Hoskote, Bengaluru Rural, Karnataka - 562114",284 SHED 1ST CR HOSKOTE BANGALORE RURAL KARNATAKA 562114,Bengaluru Rural,562114,Logistics / Warehouse,Service,False,False,False,562114::Service,562114::SRIN,CLOSED,2022-01-12,ENT-00009
KAR-SHOP-BLRR-2021-000006,SHOP,Srinidhi rans Works,SRINIDHI RANS WORKS,"284, Shed 1st Cr, Hoskote, B'luru Rural, KA - 562114",284 SHED 1ST CR HOSKOTE B LURU RURAL KA 562114,Bengaluru Rural,562114,Logistics / Warehouse,Service,False,False,True,562114::Service,562114::SRIN,CLOSED,2023-04-11,ENT-00009
BBMP-TL-SOUT-2016-000002,BBMP,M/S Ganesh Dine LLP,GANESH DINE,"No. 149, B Mn Rd, Banashankari, B'luru Urban, KA - 560085",NO 149 B MN RD BANASHANKARI B LURU URBAN KA 560085,Bengaluru Urban,560085,Restaurant / Cafe,Service,False,False,False,560085::Service,560085::GANE,DORMANT,2024-06-22,ENT-00010
GST-KA-BLRU-2025-000007,GST,Ganesh Dine LLP,GANESH DINE,"No. 149, B Main Road, Banashankari, Bengaluru Urban, Karnataka - 560085",NO 149 B MN RD BANASHANKARI BANGALORE URBAN KARNATAKA 560085,Bengaluru Urban,560085,Restaurant / Cafe,Service,True,True,False,560085::Service,560085::GANE,ACTIVE,2025-09-20,ENT-00010
KAR-SHOP-BLRU-2022-000007,SHOP,Ganesh Dine LLP,GANESH DINE,"149, B Mn Rd, Banashankari, B'luru Urban, KA - 560085",149 B MN RD BANASHANKARI B LURU URBAN KA 560085,Bengaluru Urban,560085,Restaurant / Cafe,Service,True,False,False,560085::Service,560085::GANE,ACTIVE,2025-05-19,ENT-00010
UDYAM-KR-BLRU-2015-000005,UDYAM,Ganesh Dine LLP,GANESH DINE,"149, B Main Road, Banashankari, Bengaluru Urban, K'taka - 560085",149 B MN RD BANASHANKARI BANGALORE URBAN K TAKA 560085,Bengaluru Urban,560085,Restaurant / Cafe,Service,True,False,True,560085::Service,560085::GANE,CLOSED,2019-04-13,ENT-00010
KFBIS-FAC-BLRU-2023-000004,FACTORY,Naveen Fashions Traders,NAVEEN FASHIONS TRADERS,"#34, B Main Rd, Bannerghatta Road, B'luru Urban, K'taka - 560076",34 B MN RD BANNERGHATTA RD B LURU URBAN K TAKA 560076,Bengaluru Urban,560076,Textile / Garments,Manufacturing,True,True,True,560076::Manufacturing,560076::NAVE,ACTIVE,2025-07-23,ENT-00011
GST-KA-BLRU-2019-000008,GST,Naveen Fashions Traders,NAVEEN FASHIONS TRADERS,"No 34, B Main Rd, Bannerghatta Road, B'luru Urban, KA - 560076",NO 34 B MN RD BANNERGHATTA RD B LURU URBAN KA 560076,Bengaluru Urban,560076,Textile / Garments,Manufacturing,True,True,True,560076::Manufacturing,560076::NAVE,DORMANT,2025-04-06,ENT-00011
LAB-KA-BLRU-2020-000004,LABOUR,Naveen Fashions Traders,NAVEEN FASHIONS TRADERS,"34, B Main Road, Bannerghatta Road, Bangalore Urban, K'taka - 560076",34 B MN RD BANNERGHATTA RD BANGALORE URBAN K TAKA 560076,Bengaluru Urban,560076,Textile / Garments,Manufacturing,True,False,True,560076::Manufacturing,560076::NAVE,CLOSED,2021-04-22,ENT-00011
KAR-SHOP-BLRU-2025-000008,SHOP,Naveen Fashions Traders,NAVEEN FASHIONS TRADERS,"34, B Main Rd, Bannerghatta Road, B'luru Urban, Karnataka - 560076",34 B MN RD BANNERGHATTA RD B LURU URBAN KARNATAKA 560076,Bengaluru Urban,560076,Textile / Garments,Manufacturing,False,False,True,560076::Manufacturing,560076::NAVE,ACTIVE,2025-11-06,ENT-00011
UDYAM-KR-BLRU-2016-000006,UDYAM,NAVEEN FASHIONS TRADERS,NAVEEN FASHIONS TRADERS,"No. 34, B Mn Rd, Bannerghatta Road, B'luru Urban, Karnataka - 560076",NO 34 B MN RD BANNERGHATTA RD B LURU URBAN KARNATAKA 560076,Bengaluru Urban,560076,Textile / Garments,Manufacturing,True,True,True,560076::Manufacturing,560076::NAVE,CLOSED,2021-09-13,ENT-00011
KFBIS-FAC-MYS-2019-000005,FACTORY,Naveen Systems Pvt Ltd,NAVEEN SYSTEMS,"No. 291, D Sector, Devaraja Mohalla, Mysuru, KA - 570001",NO 291 D SECTOR DEVARAJA MOHALLA MYSURU KA 570001,Mysuru,570001,Electronics Assembly,Manufacturing,False,True,False,570001::Manufacturing,570001::NAVE,CLOSED,2021-05-06,ENT-00012
PCB/MYS/CTO/2023/00006,KSPCB,Naveen Systems Pvt Ltd,NAVEEN SYSTEMS,"No 291, D Sector, Devaraja Mohalla, Mysuru, K'taka - 570001",NO 291 D SECTOR DEVARAJA MOHALLA MYSURU K TAKA 570001,Mysuru,570001,Electronics Assembly,Manufacturing,True,True,True,570001::Manufacturing,570001::NAVE,CLOSED,2024-02-21,ENT-00012
UDYAM-KR-MYS-2020-000007,UDYAM,Naveen Systems Pvt. Ltd.,NAVEEN SYSTEMS,"No 291, D Sector, Devaraja Mohalla, Mysuru, KA - 570001",NO 291 D SECTOR DEVARAJA MOHALLA MYSURU KA 570001,Mysuru,570001,Electronics Assembly,Manufacturing,True,False,False,570001::Manufacturing,570001::NAVE,DORMANT,2024-01-01,ENT-00012
BBMP-TL-CENT-2021-000003,BBMP,Mysore Bies Works,MYSORE BIES WORKS,"4, D 2nd Main, Devaraja Mohalla, Mysuru, KA - 570001",4 D 2ND MN DEVARAJA MOHALLA MYSURU KA 570001,Mysuru,570001,Restaurant / Cafe,Service,False,True,False,570001::Service,570001::MYSO,CLOSED,2021-05-10,ENT-00013
GST-KA-MYS-2024-000009,GST,MYSORE BITES WORKS,MYSORE BITES WORKS,"No. 4, D 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",NO 4 D 2ND MN DEVARAJA MOHALLA MYSURU KARNATAKA 570001,Mysuru,570001,Restaurant / Cafe,Service,True,True,True,570001::Service,570001::MYSO,ACTIVE,2025-06-04,ENT-00013
KAR-SHOP-MYS-2015-000009,SHOP,Mysore Bites Works,MYSORE BITES WORKS,"No. 4, D 2nd Main, Devaraja Mohalla, Mysuru, K'taka - 570001",NO 4 D 2ND MN DEVARAJA MOHALLA MYSURU K TAKA 570001,Mysuru,570001,Restaurant / Cafe,Service,False,False,True,570001::Service,570001::MYSO,CLOSED,2022-03-31,ENT-00013
BBMP-TL-BOMM-2021-000004,BBMP,Siddhi Industrial Inds,SIDDHI INDUSTRIAL INDS,"No 243, B Extension, Electronic City, Bengaluru Urban, Karnataka - 560100",NO 243 B EXTENSION ELECTRONIC CITY BANGALORE URBAN KARNATAKA 560100,Bengaluru Urban,560100,Chemical Blending,Manufacturing,False,True,False,560100::Manufacturing,560100::SIDD,CLOSED,2022-12-20,ENT-00014
KFBIS-FAC-BLRU-2019-000006,FACTORY,Siddhi Industrial Industries,SIDDHI INDUSTRIAL INDUSTRIES,"No. 243, B Extension, Electronic City, Bengaluru Urban, K'taka - 560100",NO 243 B EXTENSION ELECTRONIC CITY BANGALORE URBAN K TAKA 560100,Bengaluru Urban,560100,Chemical Blending,Manufacturing,True,False,True,560100::Manufacturing,560100::SIDD,CLOSED,2019-12-14,ENT-00014
PCB/BLRU/CTE/2018/00007,KSPCB,Siddhi Industrial Inds,SIDDHI INDUSTRIAL INDS,"243, B Extension, Electronic City, B'luru Urban, Karnataka - 560100",243 B EXTENSION ELECTRONIC CITY B LURU URBAN KARNATAKA 560100,Bengaluru Urban,560100,Chemical Blending,Manufacturing,False,False,True,560100::Manufacturing,560100::SIDD,CLOSED,2021-03-05,ENT-00014
LAB-KA-BLRU-2025-000005,LABOUR,Siddhi Industrial Industries,SIDDHI INDUSTRIAL INDUSTRIES,"#243, B Extension, Electronic City, B'luru Urban, Karnataka - 560100",243 B EXTENSION ELECTRONIC CITY B LURU URBAN KARNATAKA 560100,Bengaluru Urban,560100,Chemical Blending,Manufacturing,False,False,True,560100::Manufacturing,560100::SIDD,CLOSED,2025-07-18,ENT-00014
KAR-SHOP-BLRU-2017-000010,SHOP,Siddhi Industrial Industries,SIDDHI INDUSTRIAL INDUSTRIES,"#243, B Extension, Electronic City, Bengaluru Urban, KA - 560100",243 B EXTENSION ELECTRONIC CITY BANGALORE URBAN KA 560100,Bengaluru Urban,560100,Chemical Blending,Manufacturing,True,True,True,560100::Manufacturing,560100::SIDD,DORMANT,2023-07-03,ENT-00014
UDYAM-KR-BLRU-2016-000008,UDYAM,Siddhi Industrial Industries,SIDDHI INDUSTRIAL INDUSTRIES,"#243, B Extension, Electronic City, Bangalore Urban, KA - 560100",243 B EXTENSION ELECTRONIC CITY BANGALORE URBAN KA 560100,Bengaluru Urban,560100,Chemical Blending,Manufacturing,True,False,True,560100::Manufacturing,560100::SIDD,CLOSED,2018-08-01,ENT-00014
BBMP-TL-BENG-2020-000005,BBMP,Meghana Warehouse Traders,MEGHANA WAREHOUSE TRADERS,"#57, D Near Bus Stop, Devanahalli, Bangalore Rural, Karnataka - 562110",57 D NEAR BUS STOP DEVANAHALLI BANGALORE RURAL KARNATAKA 562110,Bengaluru Rural,562110,Logistics / Warehouse,Service,True,False,False,562110::Service,562110::MEGH,CLOSED,2021-02-20,ENT-00015
GST-KA-BLRR-2023-000010,GST,MEGHANA WAREHOUSE TRADERS,MEGHANA WAREHOUSE TRADERS,"No 57, D Near Bus Stop, Devanahalli, Bangalore Rural, K'taka - 562110",NO 57 D NEAR BUS STOP DEVANAHALLI BANGALORE RURAL K TAKA 562110,Bengaluru Rural,562110,Logistics / Warehouse,Service,True,False,False,562110::Service,562110::MEGH,DORMANT,2024-12-06,ENT-00015
LAB-KA-BLRR-2022-000006,LABOUR,M/S Meghana Warehouse Traders,MEGHANA WAREHOUSE TRADERS,"No. 57, D Near Bus Stop, Devanahalli, Bangalore Rural, KA - 562110",NO 57 D NEAR BUS STOP DEVANAHALLI BANGALORE RURAL KA 562110,Bengaluru Rural,562110,Logistics / Warehouse,Service,True,False,False,562110::Service,562110::MEGH,DORMANT,2023-10-15,ENT-00015
UDYAM-KR-BLRR-2023-000009,UDYAM,MEGHANA WAREHOUSE TRADERS,MEGHANA WAREHOUSE TRADERS,"No. 57, D Near Bus Stop, Devanahalli, B'luru Rural, Karnataka - 562110",NO 57 D NEAR BUS STOP DEVANAHALLI B LURU RURAL KARNATAKA 562110,Bengaluru Rural,562110,Logistics / Warehouse,Service,True,False,False,562110::Service,562110::MEGH,DORMANT,2024-01-20,ENT-00015
GST-KA-BLRR-2017-000011,GST,M/S Nandi Trans Solutions,NANDI TRANS SOLUTIONS,"#162, Sector, Doddaballapura, B'luru Rural, K'taka - 561203",162 SECTOR DODDABALLAPURA B LURU RURAL K TAKA 561203,Bengaluru Rural,561203,Logistics / Warehouse,Service,True,False,False,561203::Service,561203::NAND,ACTIVE,2026-05-03,ENT-00016
LAB-KA-BLRR-2018-000007,LABOUR,Nandi Trans Solutions,NANDI TRANS SOLUTIONS,"No. 162, Sector, Doddaballapura, Bengaluru Rural, K'taka - 561203",NO 162 SECTOR DODDABALLAPURA BANGALORE RURAL K TAKA 561203,Bengaluru Rural,561203,Logistics / Warehouse,Service,True,False,False,561203::Service,561203::NAND,DORMANT,2024-08-29,ENT-00016
KAR-SHOP-BLRR-2016-000011,SHOP,Nandi Trans Solutions,NANDI TRANS SOLUTIONS,"162, Sector, Doddaballapura, Bengaluru Rural, Karnataka - 561203",162 SECTOR DODDABALLAPURA BANGALORE RURAL KARNATAKA 561203,Bengaluru Rural,561203,Logistics / Warehouse,Service,False,False,True,561203::Service,561203::NAND,CLOSED,2020-05-17,ENT-00016
BBMP-TL-BENG-2020-000006,BBMP,Mysore Cafe Traders,MYSORE CAFE TRADERS,"No 202, D Service Road, Devanahalli, Bangalore Rural, Karnataka - 562110",NO 202 D SERVICE RD DEVANAHALLI BANGALORE RURAL KARNATAKA 562110,Bengaluru Rural,562110,Restaurant / Cafe,Service,False,False,False,562110::Service,562110::MYSO,CLOSED,2020-07-21,ENT-00017
GST-KA-BLRR-2017-000012,GST,Mysore Cafe Traders,MYSORE CAFE TRADERS,"No 202, D Service Road, Devanahalli, Bangalore Rural, Karnataka - 562110",NO 202 D SERVICE RD DEVANAHALLI BANGALORE RURAL KARNATAKA 562110,Bengaluru Rural,562110,Restaurant / Cafe,Service,False,False,False,562110::Service,562110::MYSO,CLOSED,2020-04-15,ENT-00017
LAB-KA-BLRR-2019-000008,LABOUR,M/S Mysore Cafe Traders,MYSORE CAFE TRADERS,"#202, D Service Road, Devanahalli, Bengaluru Rural, Karnataka - 562110",202 D SERVICE RD DEVANAHALLI BANGALORE RURAL KARNATAKA 562110,Bengaluru Rural,562110,Restaurant / Cafe,Service,False,False,False,562110::Service,562110::MYSO,ACTIVE,2025-10-04,ENT-00017
BBMP-TL-MAHA-2015-000007,BBMP,Mysore Mold Solutions,MYSORE MOLD SOLUTIONS,"215, A Mn Rd, Whitefield Mn Rd, Bangalore Urban, K'taka - 560066",215 A MN RD WHITEFIELD MN RD BANGALORE URBAN K TAKA 560066,Bengaluru Urban,560066,Plastic Moulding,Manufacturing,False,True,True,560066::Manufacturing,560066::MYSO,CLOSED,2016-08-28,ENT-00018
KFBIS-FAC-BLRU-2024-000007,FACTORY,Mysore Mold Solutions,MYSORE MOLD SOLUTIONS,"#215, A Main Rd, Whitefield Main Rd, B'luru Urban, Karnataka - 560066",215 A MN RD WHITEFIELD MN RD B LURU URBAN KARNATAKA 560066,Bengaluru Urban,560066,Plastic Moulding,Manufacturing,True,True,True,560066::Manufacturing,560066::MYSO,ACTIVE,2025-10-13,ENT-00018
GST-KA-BLRU-2022-000013,GST,MYSORE MOLD SOLUTIONS,MYSORE MOLD SOLUTIONS,"No. 215, A Main Rd, Whitefield Main Rd, Bengaluru Urban, K'taka - 560066",NO 215 A MN RD WHITEFIELD MN RD BANGALORE URBAN K TAKA 560066,Bengaluru Urban,560066,Plastic Moulding,Manufacturing,True,True,True,560066::Manufacturing,560066::MYSO,ACTIVE,2026-02-14,ENT-00018
PCB/BLRU/CTO/2015/00008,KSPCB,Mysore Mold Solutions,MYSORE MOLD SOLUTIONS,"No 215, A Main Road, Whitefield Main Road, Bangalore Urban, Karnataka",NO 215 A MN RD WHITEFIELD MN RD BANGALORE URBAN KARNATAKA,Bengaluru Urban,560066,Plastic Moulding,Manufacturing,False,False,False,560066::Manufacturing,560066::MYSO,DORMANT,2024-11-14,ENT-00018
KAR-SHOP-BLRU-2015-000012,SHOP,Mysore Mold Solutions,MYSORE MOLD SOLUTIONS,"#215, A Main Road, Whitefield Main Road, Bengaluru Urban, K'taka - 560066",215 A MN RD WHITEFIELD MN RD BANGALORE URBAN K TAKA 560066,Bengaluru Urban,560066,Plastic Moulding,Manufacturing,False,True,False,560066::Manufacturing,560066::MYSO,ACTIVE,2026-02-16,ENT-00018
UDYAM-KR-BLRU-2018-000010,UDYAM,MYSORE MOLD SOLUTIONS,MYSORE MOLD SOLUTIONS,"No. 215, A Mn Rd, Whitefield Mn Rd, Bengaluru Urban, K'taka - 560066",NO 215 A MN RD WHITEFIELD MN RD BANGALORE URBAN K TAKA 560066,Bengaluru Urban,560066,Plastic Moulding,Manufacturing,True,True,False,560066::Manufacturing,560066::MYSO,CLOSED,2023-02-21,ENT-00018
KFBIS-FAC-BLRR-2016-000008,FACTORY,Vea Coatings Works,VEA COATINGS WORKS,"201, B Service Road, Devanahalli, B'luru Rural, K'taka - 562110",201 B SERVICE RD DEVANAHALLI B LURU RURAL K TAKA 562110,Bengaluru Rural,562110,Chemical Blending,Manufacturing,False,False,True,562110::Manufacturing,562110::VEA ,CLOSED,2017-03-08,ENT-00019
GST-KA-BLRR-2017-000014,GST,Veda Coatings Works,VEDA COATINGS WORKS,"No 201, B Service Road, Devanahalli, B'luru Rural, K'taka - 562110",NO 201 B SERVICE RD DEVANAHALLI B LURU RURAL K TAKA 562110,Bengaluru Rural,562110,Chemical Blending,Manufacturing,False,False,True,562110::Manufacturing,562110::VEDA,DORMANT,2024-01-02,ENT-00019
PCB/BLRR/CTE/2018/00009,KSPCB,Veda Coatings Works,VEDA COATINGS WORKS,"No. 201, B Service Road, Devanahalli, Bangalore Rural, KA - 562110",NO 201 B SERVICE RD DEVANAHALLI BANGALORE RURAL KA 562110,Bengaluru Rural,562110,Chemical Blending,Manufacturing,False,False,True,562110::Manufacturing,562110::VEDA,ACTIVE,2026-02-20,ENT-00019
KAR-SHOP-BLRR-2016-000013,SHOP,Veda Coatings Works,VEDA COATINGS WORKS,"201, B Service Road, Devanahalli, B'luru Rural, Karnataka",201 B SERVICE RD DEVANAHALLI B LURU RURAL KARNATAKA,Bengaluru Rural,562110,Chemical Blending,Manufacturing,False,False,False,562110::Manufacturing,562110::VEDA,CLOSED,2016-06-26,ENT-00019
