ubid,business_name,district,pin_code,status,linked_departments,progress_identity_verified_pct,progress_department_linkage_pct,risk_score,risk_level,human_review_required
KA-BLRU-560059-000027,Sree Electronics Industries,Bengaluru Urban,560059,CLOSED,FACTORY|GST,84,36,100,High,True
KA-MYS-570016-000028,Bangalore Solutions,Mysuru,570016,ACTIVE,BBMP|SHOP,72,36,26,Low,True
KA-BLRU-560064-000029,Asha Co,Bengaluru Urban,560064,ACTIVE,FACTORY|GST|UDYAM,99,54,32,Low,False
KA-BLRR-562110-000030,Bharath Garments Traders,Bengaluru Rural,562110,ACTIVE,FACTORY|GST|LABOUR|SHOP|UDYAM,99,90,18,Low,False
KA-BLRU-560102-000031,Mysore Enterprises,Bengaluru Urban,560102,ACTIVE,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,99,100,7,Low,False
KA-BLRR-561203-000032,Omkar LLP,Bengaluru Rural,561203,ACTIVE,GST|LABOUR|SHOP,99,54,7,Low,False
KA-MYS-570018-000033,Deccan Industries,Mysuru,570018,ACTIVE,GST|LABOUR|SHOP|UDYAM,99,72,45,Medium,False
KA-BLRU-560085-000034,Nandi Cargo Company,Bengaluru Urban,560085,CLOSED,GST|UDYAM,96,36,82,High,False
KA-BLRU-560102-000035,Kaveri Components Pvt Ltd,Bengaluru Urban,560102,ACTIVE,GST|KSPCB|SHOP|UDYAM,82,72,22,Low,True
KA-TUM-572101-000036,Nandi Stores LLP,Tumakuru,572101,CLOSED,GST|LABOUR,96,36,71,High,False
KA-BLRR-562114-000037,Kaveri Cafe LLP,Bengaluru Rural,562114,ACTIVE,FACTORY|GST|SHOP,99,54,20,Low,False
KA-BLRU-560085-000038,Meghana Bites Associates,Bengaluru Urban,560085,ACTIVE,GST|SHOP|UDYAM,99,54,12,Low,False
KA-BLRU-560024-000039,Nisarga Industrial Co,Bengaluru Urban,560024,ACTIVE,FACTORY|KSPCB,96,36,22,Low,False
KA-BLRU-560068-000040,Varun Textiles Industries,Bengaluru Urban,560068,CLOSED,BBMP|GST|LABOUR|SHOP,82,72,100,High,True
KA-BLRU-560085-000041,Meghana Bites Associates,Bengaluru Urban,560085,DORMANT,BBMP|SHOP,84,36,58,Medium,True
KA-MYS-570016-000042,Aditya Circuits Works,Mysuru,570016,ACTIVE,BBMP|GST|LABOUR|SHOP|UDYAM,99,90,44,Medium,False
KA-TUM-572101-000043,Kaveri Press Enterprises,Tumakuru,572101,ACTIVE,GST|SHOP|UDYAM,99,54,35,Medium,False
KA-MYS-570016-000044,Aarohi Solutions,Mysuru,570016,ACTIVE,BBMP|GST|UDYAM,77,54,6,Low,True
KA-TUM-572106-000045,Bangalore Garments Solutions,Tumakuru,572106,ACTIVE,BBMP|FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,97,100,0,Low,False
KA-BLRU-560043-000046,Ravi LLP,Bengaluru Urban,560043,DORMANT,GST|SHOP|UDYAM,99,54,58,Medium,False
KA-BLRU-560100-000047,Nandi Solvents LLP,Bengaluru Urban,560100,ACTIVE,FACTORY|GST|KSPCB|LABOUR,99,72,21,Low,False
KA-TUM-572106-000048,Bangalore Dine Associates,Tumakuru,572106,DORMANT,BBMP|SHOP,84,36,46,Medium,True
KA-BLRU-560043-000049,Omkar Pvt Ltd,Bengaluru Urban,560043,ACTIVE,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,99,100,22,Low,False
KA-BLRU-560102-000050,Ananya Print Works,Bengaluru Urban,560102,ACTIVE,GST|SHOP|UDYAM,99,54,39,Medium,False
KA-BLRU-560076-000051,Varun Enterprises,Bengaluru Urban,560076,ACTIVE,GST|KSPCB|LABOUR|SHOP|UDYAM,87,90,35,Medium,False
KA-BLRU-560043-000052,Naveen Company,Bengaluru Urban,560043,ACTIVE,GST|LABOUR|SHOP|UDYAM,94,72,54,Medium,False
KA-BLRU-560059-000053,Harsha Packaging Enterprises,Bengaluru Urban,560059,ACTIVE,FACTORY|KSPCB|LABOUR|SHOP|UDYAM,99,90,10,Low,False
KA-BLRU-560037-000054,Srinidhi Milling Traders,Bengaluru Urban,560037,ACTIVE,GST|KSPCB|SHOP|UDYAM,94,72,26,Low,False
KA-BLRU-560059-000055,Bharath Machining Company,Bengaluru Urban,560059,ACTIVE,FACTORY|GST|KSPCB|LABOUR|SHOP,99,90,2,Low,False
KA-BLRU-560078-000056,Bharath Graphics Solutions,Bengaluru Urban,560078,ACTIVE,BBMP|GST|SHOP,89,54,44,Medium,False
KA-MYS-570016-000057,Prakruthi Electronics Industries,Mysuru,570016,ACTIVE,FACTORY|GST|SHOP|UDYAM,99,72,32,Low,False
KA-BLRU-560043-000058,Siddhi Systems LLP,Bengaluru Urban,560043,ACTIVE,GST|KSPCB|LABOUR|SHOP|UDYAM,99,90,23,Low,False
KA-MYS-570018-000059,Bangalore Apparels Company,Mysuru,570018,ACTIVE,BBMP|FACTORY|GST,77,54,36,Medium,True
KA-BLRR-562114-000060,Veda Stitch LLP,Bengaluru Rural,562114,ACTIVE,BBMP|FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,99,100,9,Low,False
KA-BLRR-562114-000061,Srinidhi Labs Industries,Bengaluru Rural,562114,ACTIVE,FACTORY|GST|KSPCB|LABOUR,94,72,0,Low,False
KA-BLRU-560058-000062,Veda Pharma Associates,Bengaluru Urban,560058,CLOSED,BBMP|UDYAM,96,36,90,High,False
KA-TUM-572101-000063,Lakshmi Graphics Works,Tumakuru,572101,ACTIVE,FACTORY|GST|KSPCB,77,54,10,Low,True
KA-BLRU-560034-000064,Veda Devices Co,Bengaluru Urban,560034,ACTIVE,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,99,100,4,Low,False
KA-BLRU-560076-000065,Sri Agro Industries,Bengaluru Urban,560076,DORMANT,GST|SHOP|UDYAM,99,54,74,High,False
KA-BLRU-560102-000066,Sree Dine Co,Bengaluru Urban,560102,CLOSED,BBMP|LABOUR|SHOP,77,54,90,High,True
KA-BLRU-560029-000067,Sahana Meds Enterprises,Bengaluru Urban,560029,CLOSED,GST|SHOP|UDYAM,77,54,68,Medium,True
KA-MYS-570001-000068,Vijaya Bites Industries,Mysuru,570001,DORMANT,BBMP|SHOP,72,36,52,Medium,True
KA-BLRU-560059-000069,Ravi Health Traders,Bengaluru Urban,560059,ACTIVE,BBMP,67,18,20,Low,True
KA-BLRU-560001-000070,Sri Spices Solutions,Bengaluru Urban,560001,DORMANT,GST|KSPCB|SHOP,99,54,65,Medium,False
KA-TUM-572106-000071,Prakruthi CNC LLP,Tumakuru,572106,ACTIVE,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,99,100,0,Low,False
KA-BLRU-560076-000072,Siddhi Bakery LLP,Bengaluru Urban,560076,CLOSED,FACTORY|GST,84,36,95,High,True
KA-BLRU-560037-000073,Srinidhi Company,Bengaluru Urban,560037,ACTIVE,FACTORY|GST|KSPCB|SHOP|UDYAM,99,90,27,Low,False
KA-BLRU-560085-000074,Kaveri Labels Traders,Bengaluru Urban,560085,ACTIVE,BBMP|FACTORY|KSPCB,89,54,18,Low,False
KA-BLRU-560066-000075,Ravi Tech Associates,Bengaluru Urban,560066,CLOSED,FACTORY|GST|KSPCB|SHOP,99,72,67,Medium,False
KA-TUM-572106-000076,Bangalore Coatings Co,Tumakuru,572106,ACTIVE,FACTORY|KSPCB,96,36,22,Low,False
KA-MYS-570001-000077,Ananya Pharma Traders,Mysuru,570001,DORMANT,SHOP,67,18,47,Medium,True
KA-BLRR-562114-000078,Aditya Medical Pvt Ltd,Bengaluru Rural,562114,DORMANT,BBMP|GST|LABOUR|SHOP,99,72,41,Medium,False
KA-MYS-570016-000079,Ravi Co,Mysuru,570016,ACTIVE,GST|LABOUR|SHOP,89,54,41,Medium,False
KA-BLRU-560068-000080,Meghana Coatings Traders,Bengaluru Urban,560068,DORMANT,FACTORY|GST|KSPCB|LABOUR,94,72,16,Low,False
KA-BLRU-560058-000081,Meghana Wear Traders,Bengaluru Urban,560058,ACTIVE,BBMP|FACTORY|GST|LABOUR|SHOP|UDYAM,92,100,26,Low,False
KA-MYS-570016-000082,Prakruthi Packaging Solutions,Mysuru,570016,DORMANT,FACTORY|KSPCB|LABOUR|UDYAM,99,72,63,Medium,False
KA-BLRU-560100-000083,Nandi Electronics Solutions,Bengaluru Urban,560100,ACTIVE,FACTORY|GST|SHOP|UDYAM,82,72,24,Low,True
KA-BLRU-560064-000084,Veda Kitchen Industries,Bengaluru Urban,560064,ACTIVE,BBMP|SHOP,84,36,24,Low,True
KA-MYS-570018-000085,Mysore Works,Mysuru,570018,CLOSED,FACTORY|GST|SHOP|UDYAM,82,72,97,High,True
KA-BLRU-560037-000086,Kaveri Labs Pvt Ltd,Bengaluru Urban,560037,CLOSED,FACTORY|KSPCB|LABOUR,89,54,90,High,False
KA-TUM-572106-000087,Bangalore Co,Tumakuru,572106,ACTIVE,BBMP|GST,96,36,0,Low,False
KA-BLRU-560076-000088,Bharath Biryani Pvt Ltd,Bengaluru Urban,560076,ACTIVE,BBMP|KSPCB|SHOP,89,54,9,Low,False
KA-MYS-570016-000089,Bangalore Works,Mysuru,570016,ACTIVE,FACTORY|GST|LABOUR,99,54,18,Low,False
KA-BLRU-560029-000090,Bharath Tech Associates,Bengaluru Urban,560029,ACTIVE,FACTORY|GST|LABOUR|SHOP|UDYAM,99,90,33,Low,False
KA-BLRU-560058-000091,Sharma Stitch Enterprises,Bengaluru Urban,560058,ACTIVE,BBMP|FACTORY|GST|SHOP|UDYAM,87,90,20,Low,False
KA-BLRU-560059-000092,Prakruthi Care Industries,Bengaluru Urban,560059,DORMANT,BBMP|SHOP,84,36,52,Medium,True
KA-BLRU-560102-000093,Kaveri Systems Pvt Ltd,Bengaluru Urban,560102,ACTIVE,BBMP|FACTORY|GST|KSPCB|LABOUR|UDYAM,99,100,3,Low,False
KA-BLRU-560068-000094,Sharma Biryani Pvt Ltd,Bengaluru Urban,560068,DORMANT,BBMP|GST|LABOUR|SHOP|UDYAM,87,90,36,Medium,False
KA-BLRU-560029-000095,Deccan Packaging Traders,Bengaluru Urban,560029,ACTIVE,FACTORY|GST|KSPCB|SHOP,82,72,5,Low,True
KA-MYS-570016-000096,Ananya Devices Solutions,Mysuru,570016,ACTIVE,BBMP|FACTORY|GST|SHOP,94,72,32,Low,False
KA-BLRU-560085-000097,Ananya Labs Pvt Ltd,Bengaluru Urban,560085,DORMANT,BBMP|FACTORY|KSPCB,99,54,54,Medium,False
KA-BLRU-560029-000098,Ganesh Works,Bengaluru Urban,560029,ACTIVE,KSPCB|SHOP,96,36,34,Low,False
KA-BLRR-562114-000099,Mysore Cargo Solutions,Bengaluru Rural,562114,ACTIVE,BBMP|GST|LABOUR|SHOP|UDYAM,99,90,7,Low,False
KA-BLRU-560043-000100,Srinidhi Traders,Bengaluru Urban,560043,ACTIVE,BBMP|GST|KSPCB,77,54,23,Low,True
KA-BLRU-560085-000101,Srinidhi Enterprises,Bengaluru Urban,560085,DORMANT,FACTORY|GST|KSPCB|LABOUR|SHOP,87,90,32,Low,False
KA-TUM-572106-000102,Sharma CNC Enterprises,Tumakuru,572106,DORMANT,GST|KSPCB|LABOUR|SHOP|UDYAM,99,90,64,Medium,False
KA-BLRU-560064-000103,Aditya Garments Industries,Bengaluru Urban,560064,ACTIVE,BBMP|GST|LABOUR,99,54,40,Medium,False
KA-BLRU-560100-000104,Navya Printers Traders,Bengaluru Urban,560100,ACTIVE,BBMP|FACTORY|GST|KSPCB|LABOUR|SHOP,99,100,5,Low,False
KA-BLRU-560029-000105,Kaveri Pvt Ltd,Bengaluru Urban,560029,DORMANT,FACTORY|GST|KSPCB|UDYAM,99,72,49,Medium,False
KA-BLRR-562114-000106,Naveen Stores LLP,Bengaluru Rural,562114,DORMANT,BBMP|LABOUR,84,36,37,Medium,True
KA-MYS-570001-000107,Harsha Industries,Mysuru,570001,DORMANT,LABOUR|SHOP|UDYAM,99,54,100,High,False
KA-BLRU-560064-000108,Mysore Fashions Enterprises,Bengaluru Urban,560064,ACTIVE,FACTORY|GST|LABOUR|UDYAM,94,72,40,Medium,False
KA-TUM-572101-000109,Bangalore Packaging Works,Tumakuru,572101,DORMANT,FACTORY|GST|KSPCB|LABOUR,94,72,52,Medium,False
KA-BLRU-560085-000110,Sharma Chem LLP,Bengaluru Urban,560085,ACTIVE,FACTORY|GST|KSPCB|LABOUR|UDYAM,99,90,13,Low,False
KA-BLRU-560102-000111,Naveen Polymers Solutions,Bengaluru Urban,560102,ACTIVE,FACTORY|GST|KSPCB|LABOUR|UDYAM,99,90,7,Low,False
KA-BLRU-560024-000112,Ananya Solutions,Bengaluru Urban,560024,CLOSED,FACTORY|KSPCB|UDYAM,99,54,80,High,False
KA-BLRU-560001-000113,Harsha Tools Associates,Bengaluru Urban,560001,ACTIVE,FACTORY|KSPCB|LABOUR|SHOP,94,72,19,Low,False
KA-BLRU-560058-000114,Nandi Bakery Pvt Ltd,Bengaluru Urban,560058,ACTIVE,BBMP|FACTORY|GST|SHOP,82,72,19,Low,True
KA-BLRU-560076-000115,Bangalore Care Works,Bengaluru Urban,560076,DORMANT,GST|SHOP,72,36,59,Medium,True
KA-BLRU-560043-000116,Prakruthi Packaging Industries,Bengaluru Urban,560043,ACTIVE,GST|KSPCB|LABOUR|SHOP|UDYAM,99,90,22,Low,False
KA-TUM-572106-000117,Mysore Printers Company,Tumakuru,572106,CLOSED,FACTORY,67,18,100,High,True
KA-BLRU-560076-000118,Prakruthi Electronics Industries,Bengaluru Urban,560076,ACTIVE,FACTORY|GST|SHOP|UDYAM,82,72,24,Low,True
KA-BLRU-560034-000119,Ravi Solutions,Bengaluru Urban,560034,ACTIVE,GST|KSPCB,72,36,39,Medium,True
KA-BLRR-562110-000120,Aarohi Medical Works,Bengaluru Rural,562110,DORMANT,BBMP|FACTORY|GST|SHOP,94,72,44,Medium,False
KA-BLRU-560102-000121,Sree Clinic Industries,Bengaluru Urban,560102,ACTIVE,BBMP|FACTORY|GST|SHOP,99,72,13,Low,False
KA-BLRU-560076-000122,Aarohi Apparels Company,Bengaluru Urban,560076,ACTIVE,FACTORY|LABOUR|SHOP|UDYAM,99,72,29,Low,False
KA-BLRU-560024-000123,Nisarga Industrial Co,Bengaluru Urban,560024,ACTIVE,BBMP|GST|KSPCB|SHOP,82,72,8,Low,True
KA-BLRU-560059-000124,Sahana Works Company,Bengaluru Urban,560059,ACTIVE,FACTORY|KSPCB|LABOUR|SHOP|UDYAM,87,90,14,Low,False
KA-BLRU-560100-000125,Navya Snacks Industries,Bengaluru Urban,560100,ACTIVE,FACTORY|GST|LABOUR|SHOP|UDYAM,99,90,36,Medium,False
KA-MYS-570018-000126,Sahana Garments Company,Mysuru,570018,DORMANT,GST|LABOUR|SHOP,77,54,90,High,True
KA-MYS-570016-000127,Omkar Graphics Industries,Mysuru,570016,ACTIVE,GST|KSPCB|LABOUR,89,54,22,Low,False
KA-BLRR-562110-000128,Srinidhi Co,Bengaluru Rural,562110,ACTIVE,BBMP|GST|LABOUR|SHOP,99,72,6,Low,False
KA-BLRU-560043-000129,Sri Devices LLP,Bengaluru Urban,560043,ACTIVE,BBMP|GST|KSPCB|UDYAM,82,72,32,Low,True
KA-BLRU-560058-000130,Kaveri Cargo Solutions,Bengaluru Urban,560058,ACTIVE,GST|SHOP|UDYAM,77,54,0,Low,True
KA-MYS-570001-000131,Aditya Systems LLP,Mysuru,570001,ACTIVE,KSPCB|UDYAM,96,36,30,Low,False
KA-BLRR-562114-000132,Sri Kitchen Enterprises,Bengaluru Rural,562114,DORMANT,BBMP|GST|SHOP,77,54,51,Medium,True
KA-MYS-570001-000133,Sri Moulding Works,Mysuru,570001,ACTIVE,FACTORY|GST|KSPCB|SHOP,82,72,3,Low,True
KA-BLRU-560043-000134,Udupi Logistics Company,Bengaluru Urban,560043,ACTIVE,GST|LABOUR|UDYAM,99,54,2,Low,False
KA-BLRR-562110-000135,Kaveri Textiles Enterprises,Bengaluru Rural,562110,ACTIVE,FACTORY|GST|LABOUR|SHOP,94,72,25,Low,False
KA-BLRU-560064-000136,Aarohi Bakery Industries,Bengaluru Urban,560064,ACTIVE,BBMP|FACTORY|GST|LABOUR,99,72,44,Medium,False
KA-BLRU-560100-000137,Omkar Agro Co,Bengaluru Urban,560100,ACTIVE,GST|KSPCB|SHOP|UDYAM,99,72,18,Low,False
KA-MYS-570001-000138,Meghana Meals Industries,Mysuru,570001,DORMANT,BBMP|GST|SHOP,77,54,29,Low,True
KA-BLRU-560037-000139,Harsha Works Co,Bengaluru Urban,560037,ACTIVE,BBMP|KSPCB|SHOP,77,54,34,Low,True
KA-BLRU-560068-000140,Omkar Agro Company,Bengaluru Urban,560068,ACTIVE,FACTORY|KSPCB|SHOP|UDYAM,82,72,16,Low,True
KA-MYS-570001-000141,Nisarga Packaging Traders,Mysuru,570001,ACTIVE,FACTORY|GST|KSPCB|LABOUR|UDYAM,99,90,13,Low,False
KA-BLRR-562157-000142,Lakshmi Pharma Works,Bengaluru Rural,562157,ACTIVE,BBMP|SHOP,72,36,14,Low,True
KA-BLRU-560078-000143,Siddhi Pvt Ltd,Bengaluru Urban,560078,ACTIVE,BBMP|FACTORY|GST|SHOP,99,72,33,Low,False
KA-BLRU-560064-000144,Varun Meals Solutions,Bengaluru Urban,560064,ACTIVE,BBMP|GST|SHOP,99,54,10,Low,False
KA-BLRU-560076-000145,Veda Works,Bengaluru Urban,560076,ACTIVE,GST|KSPCB|LABOUR|SHOP,94,72,14,Low,False
KA-BLRU-560043-000146,Udupi Circuits LLP,Bengaluru Urban,560043,ACTIVE,FACTORY|GST|UDYAM,77,54,35,Medium,True
KA-MYS-570016-000147,Siddhi Supply LLP,Mysuru,570016,ACTIVE,BBMP|GST|LABOUR,89,54,19,Low,False
KA-BLRU-560085-000148,Vijaya Tools Solutions,Bengaluru Urban,560085,DORMANT,FACTORY|GST|SHOP,89,54,49,Medium,False
KA-BLRU-560066-000149,Udupi Pharma Works,Bengaluru Urban,560066,ACTIVE,GST|LABOUR|SHOP,99,54,1,Low,False
KA-MYS-570001-000150,Bangalore Company,Mysuru,570001,DORMANT,GST|KSPCB|UDYAM,77,54,56,Medium,True
KA-BLRR-562114-000151,Lakshmi Graphics Solutions,Bengaluru Rural,562114,ACTIVE,FACTORY|GST|KSPCB|LABOUR|UDYAM,99,90,0,Low,False
KA-BLRU-560066-000152,Meghana Machining Works,Bengaluru Urban,560066,ACTIVE,GST|KSPCB|LABOUR|SHOP,99,72,38,Medium,False
KA-BLRU-560058-000153,Sahana Kitchen Solutions,Bengaluru Urban,560058,DORMANT,BBMP|GST|LABOUR|SHOP,99,72,51,Medium,False
KA-BLRU-560043-000154,Navya Trans Co,Bengaluru Urban,560043,DORMANT,GST|SHOP,84,36,39,Medium,True
KA-BLRR-561203-000155,Aditya Chem Co,Bengaluru Rural,561203,ACTIVE,FACTORY|GST|KSPCB|LABOUR,99,72,0,Low,False
KA-BLRU-560085-000156,Mysore Industries,Bengaluru Urban,560085,ACTIVE,GST|KSPCB|LABOUR|SHOP|UDYAM,99,90,18,Low,False
KA-BLRU-560059-000157,Naveen Coatings Co,Bengaluru Urban,560059,ACTIVE,FACTORY|GST|KSPCB|SHOP|UDYAM,99,90,14,Low,False
KA-BLRU-560068-000158,Omkar Labs Co,Bengaluru Urban,560068,ACTIVE,BBMP|FACTORY|GST|KSPCB,99,72,11,Low,False
KA-TUM-572106-000159,Bangalore Machining Co,Tumakuru,572106,ACTIVE,FACTORY|GST|KSPCB|LABOUR|UDYAM,99,90,27,Low,False
KA-TUM-572106-000160,Srinidhi Bites Co,Tumakuru,572106,ACTIVE,BBMP|GST|LABOUR|SHOP|UDYAM,87,90,1,Low,False
KA-BLRU-560064-000161,Bangalore Apparels Enterprises,Bengaluru Urban,560064,CLOSED,BBMP|GST|SHOP|UDYAM,94,72,100,High,False
KA-BLRU-560037-000162,Ananya CNC LLP,Bengaluru Urban,560037,ACTIVE,GST|KSPCB|LABOUR|SHOP|UDYAM,99,90,33,Low,False
KA-BLRR-562114-000163,Asha Clinic Solutions,Bengaluru Rural,562114,DORMANT,BBMP|GST|SHOP|UDYAM,99,72,55,Medium,False
KA-BLRU-560058-000164,Sahana Kitchen Solutions,Bengaluru Urban,560058,ACTIVE,BBMP|FACTORY|GST|SHOP,94,72,28,Low,False
KA-BLRR-562110-000165,Varun Dine Company,Bengaluru Rural,562110,CLOSED,GST|SHOP|UDYAM,89,54,74,High,False
KA-BLRU-560001-000166,Sharma Electronics Solutions,Bengaluru Urban,560001,ACTIVE,BBMP|KSPCB|LABOUR|SHOP|UDYAM,99,90,33,Low,False
KA-BLRU-560024-000167,Asha Labs Solutions,Bengaluru Urban,560024,ACTIVE,GST|KSPCB,96,36,17,Low,False
KA-BLRR-562110-000168,Ganesh Kitchen LLP,Bengaluru Rural,562110,ACTIVE,BBMP|GST|SHOP,99,54,6,Low,False
KA-MYS-570001-000169,Asha Bakery Co,Mysuru,570001,ACTIVE,GST|KSPCB|UDYAM,99,54,14,Low,False
KA-BLRU-560066-000170,Bharath Spices LLP,Bengaluru Urban,560066,ACTIVE,BBMP|FACTORY|GST|KSPCB|LABOUR|SHOP,99,100,6,Low,False
KA-TUM-572106-000171,Vijaya Fashions Works,Tumakuru,572106,ACTIVE,BBMP|FACTORY|GST|LABOUR|SHOP|UDYAM,99,100,22,Low,False
KA-BLRU-560024-000172,Asha Solutions,Bengaluru Urban,560024,ACTIVE,GST|KSPCB|LABOUR|SHOP,99,72,23,Low,False
KA-BLRU-560024-000173,Nisarga Trans Enterprises,Bengaluru Urban,560024,ACTIVE,BBMP|FACTORY|GST|KSPCB|LABOUR,99,90,13,Low,False
KA-BLRU-560068-000174,Bharath Medical Solutions,Bengaluru Urban,560068,DORMANT,BBMP|LABOUR|SHOP,89,54,29,Low,False
KA-BLRU-560085-000175,Prakruthi LLP,Bengaluru Urban,560085,ACTIVE,GST|LABOUR|SHOP|UDYAM,94,72,44,Medium,False
KA-BLRU-560102-000176,Siddhi Warehouse Solutions,Bengaluru Urban,560102,ACTIVE,BBMP|GST|UDYAM,89,54,4,Low,False
KA-MYS-570001-000177,Srinidhi Health Traders,Mysuru,570001,CLOSED,GST|SHOP,96,36,72,High,False
KA-MYS-570018-000178,Kaveri Meds Associates,Mysuru,570018,ACTIVE,BBMP|GST|SHOP,89,54,7,Low,False
KA-MYS-570018-000179,Sree Associates,Mysuru,570018,ACTIVE,GST|KSPCB|UDYAM,99,54,31,Low,False
KA-MYS-570018-000180,Varun Industrial Associates,Mysuru,570018,ACTIVE,FACTORY|GST|KSPCB,99,54,0,Low,False
KA-BLRU-560076-000181,Srinidhi Injection Enterprises,Bengaluru Urban,560076,ACTIVE,BBMP|FACTORY|KSPCB,99,54,31,Low,False
KA-BLRU-560102-000182,Sri Pvt Ltd,Bengaluru Urban,560102,ACTIVE,FACTORY|GST|LABOUR|SHOP|UDYAM,99,90,27,Low,False
KA-BLRR-562114-000183,Ravi Agro Associates,Bengaluru Rural,562114,ACTIVE,KSPCB|SHOP,96,36,28,Low,False
KA-BLRU-560066-000184,Varun Components LLP,Bengaluru Urban,560066,ACTIVE,FACTORY|GST|LABOUR|SHOP|UDYAM,99,90,23,Low,False
KA-MYS-570018-000185,Sharma Pvt Ltd,Mysuru,570018,DORMANT,BBMP|FACTORY|KSPCB|SHOP|UDYAM,99,90,55,Medium,False
KA-BLRU-560001-000186,Nisarga Enterprises,Bengaluru Urban,560001,ACTIVE,BBMP|FACTORY|LABOUR|SHOP|UDYAM,99,90,30,Low,False
KA-BLRR-561203-000187,Varun Industries Industries,Bengaluru Rural,561203,DORMANT,LABOUR|SHOP,72,36,100,High,True
